Method,Metric,Curve_1_N,Curve_1_Mean,Curve_1_SD,Curve_1_CI95_Lower,Curve_1_CI95_Upper,Curve_2_N,Curve_2_Mean,Curve_2_SD,Curve_2_CI95_Lower,Curve_2_CI95_Upper,Curve_3_N,Curve_3_Mean,Curve_3_SD,Curve_3_CI95_Lower,Curve_3_CI95_Upper,Curve_4_N,Curve_4_Mean,Curve_4_SD,Curve_4_CI95_Lower,Curve_4_CI95_Upper,Curve_5_N,Curve_5_Mean,Curve_5_SD,Curve_5_CI95_Lower,Curve_5_CI95_Upper,Curve_6_N,Curve_6_Mean,Curve_6_SD,Curve_6_CI95_Lower,Curve_6_CI95_Upper,Omnibus_Test,Omnibus_Stat,Omnibus_p,Omnibus_Sig,Curve_1_vs_Curve_2_Test,Curve_1_vs_Curve_2_SW_p_A,Curve_1_vs_Curve_2_SW_p_B,Curve_1_vs_Curve_2_Stat,Curve_1_vs_Curve_2_Mean_Diff,Curve_1_vs_Curve_2_CI95_Lower,Curve_1_vs_Curve_2_CI95_Upper,Curve_1_vs_Curve_2_Cohen_d,Curve_1_vs_Curve_2_p_raw,Curve_1_vs_Curve_2_Sig_raw,Curve_1_vs_Curve_3_Test,Curve_1_vs_Curve_3_SW_p_A,Curve_1_vs_Curve_3_SW_p_B,Curve_1_vs_Curve_3_Stat,Curve_1_vs_Curve_3_Mean_Diff,Curve_1_vs_Curve_3_CI95_Lower,Curve_1_vs_Curve_3_CI95_Upper,Curve_1_vs_Curve_3_Cohen_d,Curve_1_vs_Curve_3_p_raw,Curve_1_vs_Curve_3_Sig_raw,Curve_1_vs_Curve_4_Test,Curve_1_vs_Curve_4_SW_p_A,Curve_1_vs_Curve_4_SW_p_B,Curve_1_vs_Curve_4_Stat,Curve_1_vs_Curve_4_Mean_Diff,Curve_1_vs_Curve_4_CI95_Lower,Curve_1_vs_Curve_4_CI95_Upper,Curve_1_vs_Curve_4_Cohen_d,Curve_1_vs_Curve_4_p_raw,Curve_1_vs_Curve_4_Sig_raw,Curve_1_vs_Curve_5_Test,Curve_1_vs_Curve_5_SW_p_A,Curve_1_vs_Curve_5_SW_p_B,Curve_1_vs_Curve_5_Stat,Curve_1_vs_Curve_5_Mean_Diff,Curve_1_vs_Curve_5_CI95_Lower,Curve_1_vs_Curve_5_CI95_Upper,Curve_1_vs_Curve_5_Cohen_d,Curve_1_vs_Curve_5_p_raw,Curve_1_vs_Curve_5_Sig_raw,Curve_1_vs_Curve_6_Test,Curve_1_vs_Curve_6_SW_p_A,Curve_1_vs_Curve_6_SW_p_B,Curve_1_vs_Curve_6_Stat,Curve_1_vs_Curve_6_Mean_Diff,Curve_1_vs_Curve_6_CI95_Lower,Curve_1_vs_Curve_6_CI95_Upper,Curve_1_vs_Curve_6_Cohen_d,Curve_1_vs_Curve_6_p_raw,Curve_1_vs_Curve_6_Sig_raw,Curve_2_vs_Curve_3_Test,Curve_2_vs_Curve_3_SW_p_A,Curve_2_vs_Curve_3_SW_p_B,Curve_2_vs_Curve_3_Stat,Curve_2_vs_Curve_3_Mean_Diff,Curve_2_vs_Curve_3_CI95_Lower,Curve_2_vs_Curve_3_CI95_Upper,Curve_2_vs_Curve_3_Cohen_d,Curve_2_vs_Curve_3_p_raw,Curve_2_vs_Curve_3_Sig_raw,Curve_2_vs_Curve_4_Test,Curve_2_vs_Curve_4_SW_p_A,Curve_2_vs_Curve_4_SW_p_B,Curve_2_vs_Curve_4_Stat,Curve_2_vs_Curve_4_Mean_Diff,Curve_2_vs_Curve_4_CI95_Lower,Curve_2_vs_Curve_4_CI95_Upper,Curve_2_vs_Curve_4_Cohen_d,Curve_2_vs_Curve_4_p_raw,Curve_2_vs_Curve_4_Sig_raw,Curve_2_vs_Curve_5_Test,Curve_2_vs_Curve_5_SW_p_A,Curve_2_vs_Curve_5_SW_p_B,Curve_2_vs_Curve_5_Stat,Curve_2_vs_Curve_5_Mean_Diff,Curve_2_vs_Curve_5_CI95_Lower,Curve_2_vs_Curve_5_CI95_Upper,Curve_2_vs_Curve_5_Cohen_d,Curve_2_vs_Curve_5_p_raw,Curve_2_vs_Curve_5_Sig_raw,Curve_2_vs_Curve_6_Test,Curve_2_vs_Curve_6_SW_p_A,Curve_2_vs_Curve_6_SW_p_B,Curve_2_vs_Curve_6_Stat,Curve_2_vs_Curve_6_Mean_Diff,Curve_2_vs_Curve_6_CI95_Lower,Curve_2_vs_Curve_6_CI95_Upper,Curve_2_vs_Curve_6_Cohen_d,Curve_2_vs_Curve_6_p_raw,Curve_2_vs_Curve_6_Sig_raw,Curve_3_vs_Curve_4_Test,Curve_3_vs_Curve_4_SW_p_A,Curve_3_vs_Curve_4_SW_p_B,Curve_3_vs_Curve_4_Stat,Curve_3_vs_Curve_4_Mean_Diff,Curve_3_vs_Curve_4_CI95_Lower,Curve_3_vs_Curve_4_CI95_Upper,Curve_3_vs_Curve_4_Cohen_d,Curve_3_vs_Curve_4_p_raw,Curve_3_vs_Curve_4_Sig_raw,Curve_3_vs_Curve_5_Test,Curve_3_vs_Curve_5_SW_p_A,Curve_3_vs_Curve_5_SW_p_B,Curve_3_vs_Curve_5_Stat,Curve_3_vs_Curve_5_Mean_Diff,Curve_3_vs_Curve_5_CI95_Lower,Curve_3_vs_Curve_5_CI95_Upper,Curve_3_vs_Curve_5_Cohen_d,Curve_3_vs_Curve_5_p_raw,Curve_3_vs_Curve_5_Sig_raw,Curve_3_vs_Curve_6_Test,Curve_3_vs_Curve_6_SW_p_A,Curve_3_vs_Curve_6_SW_p_B,Curve_3_vs_Curve_6_Stat,Curve_3_vs_Curve_6_Mean_Diff,Curve_3_vs_Curve_6_CI95_Lower,Curve_3_vs_Curve_6_CI95_Upper,Curve_3_vs_Curve_6_Cohen_d,Curve_3_vs_Curve_6_p_raw,Curve_3_vs_Curve_6_Sig_raw,Curve_4_vs_Curve_5_Test,Curve_4_vs_Curve_5_SW_p_A,Curve_4_vs_Curve_5_SW_p_B,Curve_4_vs_Curve_5_Stat,Curve_4_vs_Curve_5_Mean_Diff,Curve_4_vs_Curve_5_CI95_Lower,Curve_4_vs_Curve_5_CI95_Upper,Curve_4_vs_Curve_5_Cohen_d,Curve_4_vs_Curve_5_p_raw,Curve_4_vs_Curve_5_Sig_raw,Curve_4_vs_Curve_6_Test,Curve_4_vs_Curve_6_SW_p_A,Curve_4_vs_Curve_6_SW_p_B,Curve_4_vs_Curve_6_Stat,Curve_4_vs_Curve_6_Mean_Diff,Curve_4_vs_Curve_6_CI95_Lower,Curve_4_vs_Curve_6_CI95_Upper,Curve_4_vs_Curve_6_Cohen_d,Curve_4_vs_Curve_6_p_raw,Curve_4_vs_Curve_6_Sig_raw,Curve_5_vs_Curve_6_Test,Curve_5_vs_Curve_6_SW_p_A,Curve_5_vs_Curve_6_SW_p_B,Curve_5_vs_Curve_6_Stat,Curve_5_vs_Curve_6_Mean_Diff,Curve_5_vs_Curve_6_CI95_Lower,Curve_5_vs_Curve_6_CI95_Upper,Curve_5_vs_Curve_6_Cohen_d,Curve_5_vs_Curve_6_p_raw,Curve_5_vs_Curve_6_Sig_raw
RAF_NoCritic,RE,20,5.0,0.0,5.0,5.0,27,4.8148,0.3958,4.6582,4.9714,23,5.0,0.0,5.0,5.0,16,5.0,0.0,5.0,5.0,20,5.0,0.0,5.0,5.0,24,4.9167,0.2823,4.7974,5.0359,Kruskal-Wallis,13.9393,0.016,*,Mann-Whitney U,,0.0,320.0,0.1852,0.0286,0.3418,0.6155,0.0462,*,Mann-Whitney U,,,230.0,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,160.0,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,200.0,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,0.0,260.0,0.0833,-0.0359,0.2026,0.3989,0.2028,,Mann-Whitney U,0.0,,253.0,-0.1852,-0.3418,-0.0286,-0.6356,0.0328,*,Mann-Whitney U,0.0,,176.0,-0.1852,-0.3418,-0.0286,-0.5875,0.0739,,Mann-Whitney U,0.0,,220.0,-0.1852,-0.3418,-0.0286,-0.6155,0.0462,*,Mann-Whitney U,0.0,0.0,291.0,-0.1019,-0.294,0.0903,-0.2933,0.3036,,Mann-Whitney U,,,184.0,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,230.0,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,0.0,299.0,0.0833,-0.0359,0.2026,0.4129,0.1709,,Mann-Whitney U,,,160.0,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,0.0,208.0,0.0833,-0.0359,0.2026,0.3794,0.2571,,Mann-Whitney U,,0.0,260.0,0.0833,-0.0359,0.2026,0.3989,0.2028,
RAF_NoCritic,CH,20,5.0,0.0,5.0,5.0,27,4.963,0.1925,4.8868,5.0391,23,4.9565,0.2085,4.8664,5.0467,16,4.8125,0.4031,4.5977,5.0273,20,5.0,0.0,5.0,5.0,24,4.9583,0.2041,4.8721,5.0445,Kruskal-Wallis,9.191,0.1017,,Mann-Whitney U,,0.0,280.0,0.037,-0.0391,0.1132,0.2532,0.4136,,Mann-Whitney U,,0.0,240.0,0.0435,-0.0467,0.1336,0.2847,0.3757,,Mann-Whitney U,,0.0,190.0,0.1875,-0.0273,0.4023,0.7003,0.0499,*,Mann-Whitney U,,,200.0,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,0.0,250.0,0.0417,-0.0445,0.1279,0.2758,0.3858,,Mann-Whitney U,0.0,0.0,312.5,0.0064,-0.1086,0.1215,0.0322,0.9315,,Mann-Whitney U,0.0,0.0,248.5,0.1505,-0.0742,0.3751,0.5225,0.1101,,Mann-Whitney U,0.0,,260.0,-0.037,-0.1132,0.0391,-0.2532,0.4136,,Mann-Whitney U,0.0,0.0,325.5,0.0046,-0.1075,0.1168,0.0234,0.9552,,Mann-Whitney U,0.0,0.0,210.5,0.144,-0.0845,0.3725,0.4755,0.1579,,Mann-Whitney U,0.0,,220.0,-0.0435,-0.1336,0.0467,-0.2847,0.3757,,Mann-Whitney U,0.0,0.0,275.5,-0.0018,-0.1231,0.1195,-0.0088,1.0,,Mann-Whitney U,0.0,,130.0,-0.1875,-0.4023,0.0273,-0.7003,0.0499,*,Mann-Whitney U,0.0,0.0,164.0,-0.1458,-0.3732,0.0815,-0.4878,0.1441,,Mann-Whitney U,,0.0,250.0,0.0417,-0.0445,0.1279,0.2758,0.3858,
RAF_NoCritic,EM,20,4.05,0.2236,3.9453,4.1547,27,4.1481,0.362,4.0049,4.2914,23,4.1304,0.3444,3.9815,4.2793,16,4.0625,0.25,3.9293,4.1957,20,4.05,0.2236,3.9453,4.1547,24,4.125,0.3378,3.9823,4.2677,Kruskal-Wallis,2.441,0.7853,,Mann-Whitney U,0.0,0.0,243.5,-0.0981,-0.271,0.0747,-0.3154,0.295,,Mann-Whitney U,0.0,0.0,211.5,-0.0804,-0.2575,0.0967,-0.273,0.3838,,Mann-Whitney U,0.0,0.0,158.0,-0.0125,-0.1759,0.1509,-0.0531,0.9042,,Mann-Whitney U,0.0,0.0,200.0,0.0,-0.1431,0.1431,0.0,1.0,,Mann-Whitney U,0.0,0.0,222.0,-0.075,-0.2471,0.0971,-0.2571,0.4076,,Mann-Whitney U,0.0,0.0,316.0,0.0177,-0.1835,0.2189,0.05,0.8714,,Mann-Whitney U,0.0,0.0,234.5,0.0856,-0.1035,0.2748,0.2631,0.4154,,Mann-Whitney U,0.0,0.0,296.5,0.0981,-0.0747,0.271,0.3154,0.295,,Mann-Whitney U,0.0,0.0,331.5,0.0231,-0.1739,0.2202,0.066,0.8246,,Mann-Whitney U,0.0,0.0,196.5,0.0679,-0.125,0.2608,0.2194,0.5145,,Mann-Whitney U,0.0,0.0,248.5,0.0804,-0.0967,0.2575,0.273,0.3838,,Mann-Whitney U,0.0,0.0,277.5,0.0054,-0.1951,0.206,0.0159,0.9706,,Mann-Whitney U,0.0,0.0,162.0,0.0125,-0.1509,0.1759,0.0531,0.9042,,Mann-Whitney U,0.0,0.0,180.0,-0.0625,-0.251,0.126,-0.2041,0.5413,,Mann-Whitney U,0.0,0.0,222.0,-0.075,-0.2471,0.0971,-0.2571,0.4076,
RAF_NoCritic,SU,20,3.05,0.2236,2.9453,3.1547,27,3.0,0.0,3.0,3.0,23,2.9565,0.2085,2.8664,3.0467,16,3.0,0.0,3.0,3.0,20,3.0,0.0,3.0,3.0,24,3.0,0.0,3.0,3.0,Kruskal-Wallis,6.0293,0.3034,,Mann-Whitney U,0.0,,283.5,0.05,-0.0547,0.1547,0.3441,0.2632,,Mann-Whitney U,0.0,0.0,251.0,0.0935,-0.0405,0.2275,0.4335,0.1714,,Mann-Whitney U,0.0,,168.0,0.05,-0.0547,0.1547,0.2991,0.4017,,Mann-Whitney U,0.0,,210.0,0.05,-0.0547,0.1547,0.3162,0.3421,,Mann-Whitney U,0.0,,252.0,0.05,-0.0547,0.1547,0.3325,0.2938,,Mann-Whitney U,,0.0,324.0,0.0435,-0.0467,0.1336,0.308,0.2968,,Mann-Whitney U,,,216.0,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,270.0,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,324.0,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,0.0,,176.0,-0.0435,-0.1336,0.0467,-0.2704,0.4343,,Mann-Whitney U,0.0,,220.0,-0.0435,-0.1336,0.0467,-0.2847,0.3757,,Mann-Whitney U,0.0,,264.0,-0.0435,-0.1336,0.0467,-0.2982,0.3276,,Mann-Whitney U,,,160.0,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,192.0,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,240.0,0.0,0.0,0.0,0.0,1.0,
RAF_NoCritic,EG,20,4.8,0.4104,4.6079,4.9921,27,4.1852,0.3958,4.0286,4.3418,23,4.6522,0.487,4.4416,4.8628,16,4.0625,0.25,3.9293,4.1957,20,4.5,0.513,4.2599,4.7401,24,4.25,0.4423,4.0632,4.4368,Kruskal-Wallis,34.7783,0.0,***,Mann-Whitney U,0.0,0.0,436.0,0.6148,0.3738,0.8558,1.5292,0.0,***,Mann-Whitney U,0.0,0.0,264.0,0.1478,-0.1286,0.4242,0.3263,0.2939,,Mann-Whitney U,0.0,0.0,278.0,0.7375,0.5113,0.9637,2.1141,0.0,***,Mann-Whitney U,0.0,0.0,260.0,0.3,0.0021,0.5979,0.6458,0.0515,,Mann-Whitney U,0.0,0.0,372.0,0.55,0.2901,0.8099,1.2845,0.0003,***,Mann-Whitney U,0.0,0.0,165.5,-0.467,-0.7231,-0.2109,-1.0614,0.0009,***,Mann-Whitney U,0.0,0.0,242.5,0.1227,-0.0764,0.3217,0.3509,0.2765,,Mann-Whitney U,0.0,0.0,185.0,-0.3148,-0.5945,-0.0351,-0.7011,0.0244,*,Mann-Whitney U,0.0,0.0,303.0,-0.0648,-0.3025,0.1729,-0.1549,0.5872,,Mann-Whitney U,0.0,0.0,292.5,0.5897,0.3475,0.8318,1.4458,0.0003,***,Mann-Whitney U,0.0,0.0,265.0,0.1522,-0.1576,0.4619,0.3048,0.3257,,Mann-Whitney U,0.0,0.0,387.0,0.4022,0.1284,0.676,0.8655,0.0063,**,Mann-Whitney U,0.0,0.0,90.0,-0.4375,-0.7048,-0.1702,-1.0469,0.0056,**,Mann-Whitney U,0.0,0.0,156.0,-0.1875,-0.41,0.035,-0.4957,0.1366,,Mann-Whitney U,0.0,0.0,300.0,0.25,-0.0456,0.5456,0.5257,0.0924,
RAF_NoCritic,CX,20,3.95,0.2236,3.8453,4.0547,27,3.9259,0.2669,3.8204,4.0315,23,3.913,0.2881,3.7885,4.0376,16,4.0625,0.25,3.9293,4.1957,20,4.0,0.0,4.0,4.0,24,4.0,0.2949,3.8755,4.1245,Kruskal-Wallis,5.0569,0.409,,Mann-Whitney U,0.0,0.0,276.5,0.0241,-0.1204,0.1685,0.0965,0.7605,,Mann-Whitney U,0.0,0.0,238.5,0.037,-0.1209,0.1949,0.142,0.659,,Mann-Whitney U,0.0,0.0,142.5,-0.1125,-0.2759,0.0509,-0.4775,0.1729,,Mann-Whitney U,0.0,,190.0,-0.05,-0.1547,0.0547,-0.3162,0.3421,,Mann-Whitney U,0.0,0.0,228.5,-0.05,-0.208,0.108,-0.1887,0.5529,,Mann-Whitney U,0.0,0.0,314.5,0.0129,-0.1463,0.172,0.0465,0.8847,,Mann-Whitney U,0.0,0.0,187.5,-0.1366,-0.3011,0.0279,-0.5236,0.1112,,Mann-Whitney U,0.0,,250.0,-0.0741,-0.1796,0.0315,-0.3651,0.2302,,Mann-Whitney U,0.0,0.0,301.0,-0.0741,-0.2333,0.0851,-0.2642,0.3622,,Mann-Whitney U,0.0,0.0,157.5,-0.1495,-0.3254,0.0265,-0.5469,0.1081,,Mann-Whitney U,0.0,,210.0,-0.087,-0.2115,0.0376,-0.412,0.1931,,Mann-Whitney U,0.0,0.0,253.0,-0.087,-0.2582,0.0843,-0.2982,0.3223,,Mann-Whitney U,0.0,,170.0,0.0625,-0.0707,0.1957,0.3764,0.2882,,Mann-Whitney U,0.0,0.0,203.5,0.0625,-0.1135,0.2385,0.2248,0.506,,Mann-Whitney U,,0.0,240.0,0.0,-0.1245,0.1245,0.0,1.0,
RAF_NoCritic,OV,20,4.3083,0.1242,4.2502,4.3664,27,4.1729,0.1566,4.1109,4.2348,23,4.2681,0.1485,4.2039,4.3323,16,4.1667,0.0861,4.1208,4.2125,20,4.2583,0.1008,4.2112,4.3055,24,4.2083,0.1412,4.1487,4.268,Kruskal-Wallis,22.9168,0.0004,***,Mann-Whitney U,0.0,0.0012,414.5,0.1355,0.0529,0.218,0.9418,0.0009,***,Mann-Whitney U,0.0,0.0006,257.0,0.0402,-0.0438,0.1242,0.2918,0.4454,,Mann-Whitney U,0.0,0.0002,266.0,0.1416,0.0702,0.2131,1.2991,0.0002,***,Mann-Whitney U,0.0,0.0001,252.5,0.05,-0.0225,0.1225,0.442,0.1044,,Mann-Whitney U,0.0,0.0004,346.5,0.1,0.0192,0.1807,0.7475,0.0063,**,Mann-Whitney U,0.0012,0.0006,187.5,-0.0953,-0.1822,-0.0083,-0.6227,0.0108,*,Mann-Whitney U,0.0012,0.0002,223.0,0.0062,-0.0686,0.081,0.0456,0.8474,,Mann-Whitney U,0.0012,0.0001,177.0,-0.0855,-0.1613,-0.0096,-0.6291,0.0269,*,Mann-Whitney U,0.0012,0.0004,281.5,-0.0355,-0.1193,0.0483,-0.2373,0.3661,,Mann-Whitney U,0.0006,0.0002,276.0,0.1014,0.0249,0.1779,0.7987,0.0045,**,Mann-Whitney U,0.0006,0.0001,257.5,0.0098,-0.0677,0.0873,0.0759,0.4664,,Mann-Whitney U,0.0006,0.0004,358.5,0.0598,-0.0255,0.145,0.4127,0.059,,Mann-Whitney U,0.0002,0.0001,89.0,-0.0916,-0.155,-0.0283,-0.9692,0.0092,**,Mann-Whitney U,0.0002,0.0004,156.0,-0.0417,-0.1145,0.0312,-0.3403,0.237,,Mann-Whitney U,0.0001,0.0004,293.5,0.05,-0.0239,0.1239,0.4015,0.1584,
RAF_Critic,RE,21,5.0,0.0,5.0,5.0,17,4.7647,0.4372,4.5399,4.9895,16,5.0,0.0,5.0,5.0,18,4.8333,0.3835,4.6426,5.024,18,5.0,0.0,5.0,5.0,21,4.8571,0.3586,4.6939,5.0204,Kruskal-Wallis,11.7125,0.0389,*,Mann-Whitney U,,0.0,220.5,0.2353,0.0105,0.4601,0.8072,0.0219,*,Mann-Whitney U,,,168.0,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,0.0,220.5,0.1667,-0.024,0.3574,0.6412,0.0585,,Mann-Whitney U,,,189.0,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,0.0,252.0,0.1429,-0.0204,0.3061,0.5634,0.0805,,Mann-Whitney U,0.0,,104.0,-0.2353,-0.4601,-0.0105,-0.7491,0.0448,*,Mann-Whitney U,0.0,0.0,142.5,-0.0686,-0.3525,0.2152,-0.1672,0.6339,,Mann-Whitney U,0.0,,117.0,-0.2353,-0.4601,-0.0105,-0.7728,0.0336,*,Mann-Whitney U,0.0,0.0,162.0,-0.0924,-0.3613,0.1764,-0.2337,0.4843,,Mann-Whitney U,,0.0,168.0,0.1667,-0.024,0.3574,0.5963,0.099,,Mann-Whitney U,,,144.0,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,0.0,192.0,0.1429,-0.0204,0.3061,0.527,0.1277,,Mann-Whitney U,0.0,,135.0,-0.1667,-0.3574,0.024,-0.6146,0.08,,Mann-Whitney U,0.0,0.0,184.5,-0.0238,-0.2665,0.2188,-0.0643,0.8569,,Mann-Whitney U,,0.0,216.0,0.1429,-0.0204,0.3061,0.5419,0.1059,
RAF_Critic,CH,21,5.0,0.0,5.0,5.0,17,4.8824,0.3321,4.7116,5.0531,16,5.0,0.0,5.0,5.0,18,4.8889,0.3234,4.7281,5.0497,18,5.0,0.0,5.0,5.0,21,4.8571,0.3586,4.6939,5.0204,Kruskal-Wallis,7.4576,0.1888,,Mann-Whitney U,,0.0,199.5,0.1176,-0.0531,0.2884,0.5314,0.1198,,Mann-Whitney U,,,168.0,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,0.0,210.0,0.1111,-0.0497,0.2719,0.5069,0.1307,,Mann-Whitney U,,,189.0,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,0.0,252.0,0.1429,-0.0204,0.3061,0.5634,0.0805,,Mann-Whitney U,0.0,,120.0,-0.1176,-0.2884,0.0531,-0.4931,0.1769,,Mann-Whitney U,0.0,0.0,152.0,-0.0065,-0.2322,0.2191,-0.0199,0.9761,,Mann-Whitney U,0.0,,135.0,-0.1176,-0.2884,0.0531,-0.5087,0.151,,Mann-Whitney U,0.0,0.0,183.0,0.0252,-0.2027,0.2531,0.0726,0.8411,,Mann-Whitney U,,0.0,160.0,0.1111,-0.0497,0.2719,0.4714,0.1896,,Mann-Whitney U,,,144.0,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,0.0,192.0,0.1429,-0.0204,0.3061,0.527,0.1277,,Mann-Whitney U,0.0,,144.0,-0.1111,-0.2719,0.0497,-0.4859,0.163,,Mann-Whitney U,0.0,0.0,195.0,0.0317,-0.1896,0.2531,0.0926,0.7891,,Mann-Whitney U,,0.0,216.0,0.1429,-0.0204,0.3061,0.5419,0.1059,
RAF_Critic,EM,21,4.0476,0.2182,3.9483,4.147,17,4.1765,0.393,3.9744,4.3785,16,4.125,0.3416,3.943,4.307,18,4.2778,0.4609,4.0486,4.507,18,4.1111,0.3234,3.9503,4.2719,21,4.3333,0.483,4.1135,4.5532,Kruskal-Wallis,7.835,0.1656,,Mann-Whitney U,0.0,0.0,155.5,-0.1289,-0.3488,0.0911,-0.4179,0.2141,,Mann-Whitney U,0.0,0.0,155.0,-0.0774,-0.2792,0.1244,-0.2785,0.4178,,Mann-Whitney U,0.0,0.0,145.5,-0.2302,-0.4753,0.015,-0.6554,0.0526,,Mann-Whitney U,0.0,0.0,177.0,-0.0635,-0.2473,0.1203,-0.2337,0.4829,,Mann-Whitney U,0.0,0.0,157.5,-0.2857,-0.5227,-0.0487,-0.7623,0.0208,*,Mann-Whitney U,0.0,0.0,143.0,0.0515,-0.2096,0.3125,0.1395,0.7063,,Mann-Whitney U,0.0,0.0,137.5,-0.1013,-0.3954,0.1928,-0.236,0.4962,,Mann-Whitney U,0.0,0.0,163.0,0.0654,-0.1835,0.3142,0.1822,0.6051,,Mann-Whitney U,0.0,0.0,150.5,-0.1569,-0.4451,0.1313,-0.3523,0.29,,Mann-Whitney U,0.0,0.0,122.0,-0.1528,-0.4346,0.129,-0.3733,0.2897,,Mann-Whitney U,0.0,0.0,146.0,0.0139,-0.2195,0.2473,0.0418,0.9261,,Mann-Whitney U,0.0,0.0,133.0,-0.2083,-0.4838,0.0671,-0.4866,0.1548,,Mann-Whitney U,0.0,0.0,189.0,0.1667,-0.1042,0.4375,0.4186,0.2215,,Mann-Whitney U,0.0,0.0,178.5,-0.0556,-0.3624,0.2513,-0.1175,0.7246,,Mann-Whitney U,0.0,0.0,147.0,-0.2222,-0.4863,0.0418,-0.5325,0.1093,
