Method,Metric,Curve_1_N,Curve_1_Mean,Curve_1_SD,Curve_1_CI95_Lower,Curve_1_CI95_Upper,Curve_2_N,Curve_2_Mean,Curve_2_SD,Curve_2_CI95_Lower,Curve_2_CI95_Upper,Curve_3_N,Curve_3_Mean,Curve_3_SD,Curve_3_CI95_Lower,Curve_3_CI95_Upper,Curve_4_N,Curve_4_Mean,Curve_4_SD,Curve_4_CI95_Lower,Curve_4_CI95_Upper,Curve_5_N,Curve_5_Mean,Curve_5_SD,Curve_5_CI95_Lower,Curve_5_CI95_Upper,Curve_6_N,Curve_6_Mean,Curve_6_SD,Curve_6_CI95_Lower,Curve_6_CI95_Upper,Omnibus_Test,Omnibus_Stat,Omnibus_p,Omnibus_Sig,Curve_1_vs_Curve_2_Test,Curve_1_vs_Curve_2_SW_p_A,Curve_1_vs_Curve_2_SW_p_B,Curve_1_vs_Curve_2_Stat,Curve_1_vs_Curve_2_Mean_Diff,Curve_1_vs_Curve_2_CI95_Lower,Curve_1_vs_Curve_2_CI95_Upper,Curve_1_vs_Curve_2_Cohen_d,Curve_1_vs_Curve_2_p_raw,Curve_1_vs_Curve_2_Sig_raw,Curve_1_vs_Curve_3_Test,Curve_1_vs_Curve_3_SW_p_A,Curve_1_vs_Curve_3_SW_p_B,Curve_1_vs_Curve_3_Stat,Curve_1_vs_Curve_3_Mean_Diff,Curve_1_vs_Curve_3_CI95_Lower,Curve_1_vs_Curve_3_CI95_Upper,Curve_1_vs_Curve_3_Cohen_d,Curve_1_vs_Curve_3_p_raw,Curve_1_vs_Curve_3_Sig_raw,Curve_1_vs_Curve_4_Test,Curve_1_vs_Curve_4_SW_p_A,Curve_1_vs_Curve_4_SW_p_B,Curve_1_vs_Curve_4_Stat,Curve_1_vs_Curve_4_Mean_Diff,Curve_1_vs_Curve_4_CI95_Lower,Curve_1_vs_Curve_4_CI95_Upper,Curve_1_vs_Curve_4_Cohen_d,Curve_1_vs_Curve_4_p_raw,Curve_1_vs_Curve_4_Sig_raw,Curve_1_vs_Curve_5_Test,Curve_1_vs_Curve_5_SW_p_A,Curve_1_vs_Curve_5_SW_p_B,Curve_1_vs_Curve_5_Stat,Curve_1_vs_Curve_5_Mean_Diff,Curve_1_vs_Curve_5_CI95_Lower,Curve_1_vs_Curve_5_CI95_Upper,Curve_1_vs_Curve_5_Cohen_d,Curve_1_vs_Curve_5_p_raw,Curve_1_vs_Curve_5_Sig_raw,Curve_1_vs_Curve_6_Test,Curve_1_vs_Curve_6_SW_p_A,Curve_1_vs_Curve_6_SW_p_B,Curve_1_vs_Curve_6_Stat,Curve_1_vs_Curve_6_Mean_Diff,Curve_1_vs_Curve_6_CI95_Lower,Curve_1_vs_Curve_6_CI95_Upper,Curve_1_vs_Curve_6_Cohen_d,Curve_1_vs_Curve_6_p_raw,Curve_1_vs_Curve_6_Sig_raw,Curve_2_vs_Curve_3_Test,Curve_2_vs_Curve_3_SW_p_A,Curve_2_vs_Curve_3_SW_p_B,Curve_2_vs_Curve_3_Stat,Curve_2_vs_Curve_3_Mean_Diff,Curve_2_vs_Curve_3_CI95_Lower,Curve_2_vs_Curve_3_CI95_Upper,Curve_2_vs_Curve_3_Cohen_d,Curve_2_vs_Curve_3_p_raw,Curve_2_vs_Curve_3_Sig_raw,Curve_2_vs_Curve_4_Test,Curve_2_vs_Curve_4_SW_p_A,Curve_2_vs_Curve_4_SW_p_B,Curve_2_vs_Curve_4_Stat,Curve_2_vs_Curve_4_Mean_Diff,Curve_2_vs_Curve_4_CI95_Lower,Curve_2_vs_Curve_4_CI95_Upper,Curve_2_vs_Curve_4_Cohen_d,Curve_2_vs_Curve_4_p_raw,Curve_2_vs_Curve_4_Sig_raw,Curve_2_vs_Curve_5_Test,Curve_2_vs_Curve_5_SW_p_A,Curve_2_vs_Curve_5_SW_p_B,Curve_2_vs_Curve_5_Stat,Curve_2_vs_Curve_5_Mean_Diff,Curve_2_vs_Curve_5_CI95_Lower,Curve_2_vs_Curve_5_CI95_Upper,Curve_2_vs_Curve_5_Cohen_d,Curve_2_vs_Curve_5_p_raw,Curve_2_vs_Curve_5_Sig_raw,Curve_2_vs_Curve_6_Test,Curve_2_vs_Curve_6_SW_p_A,Curve_2_vs_Curve_6_SW_p_B,Curve_2_vs_Curve_6_Stat,Curve_2_vs_Curve_6_Mean_Diff,Curve_2_vs_Curve_6_CI95_Lower,Curve_2_vs_Curve_6_CI95_Upper,Curve_2_vs_Curve_6_Cohen_d,Curve_2_vs_Curve_6_p_raw,Curve_2_vs_Curve_6_Sig_raw,Curve_3_vs_Curve_4_Test,Curve_3_vs_Curve_4_SW_p_A,Curve_3_vs_Curve_4_SW_p_B,Curve_3_vs_Curve_4_Stat,Curve_3_vs_Curve_4_Mean_Diff,Curve_3_vs_Curve_4_CI95_Lower,Curve_3_vs_Curve_4_CI95_Upper,Curve_3_vs_Curve_4_Cohen_d,Curve_3_vs_Curve_4_p_raw,Curve_3_vs_Curve_4_Sig_raw,Curve_3_vs_Curve_5_Test,Curve_3_vs_Curve_5_SW_p_A,Curve_3_vs_Curve_5_SW_p_B,Curve_3_vs_Curve_5_Stat,Curve_3_vs_Curve_5_Mean_Diff,Curve_3_vs_Curve_5_CI95_Lower,Curve_3_vs_Curve_5_CI95_Upper,Curve_3_vs_Curve_5_Cohen_d,Curve_3_vs_Curve_5_p_raw,Curve_3_vs_Curve_5_Sig_raw,Curve_3_vs_Curve_6_Test,Curve_3_vs_Curve_6_SW_p_A,Curve_3_vs_Curve_6_SW_p_B,Curve_3_vs_Curve_6_Stat,Curve_3_vs_Curve_6_Mean_Diff,Curve_3_vs_Curve_6_CI95_Lower,Curve_3_vs_Curve_6_CI95_Upper,Curve_3_vs_Curve_6_Cohen_d,Curve_3_vs_Curve_6_p_raw,Curve_3_vs_Curve_6_Sig_raw,Curve_4_vs_Curve_5_Test,Curve_4_vs_Curve_5_SW_p_A,Curve_4_vs_Curve_5_SW_p_B,Curve_4_vs_Curve_5_Stat,Curve_4_vs_Curve_5_Mean_Diff,Curve_4_vs_Curve_5_CI95_Lower,Curve_4_vs_Curve_5_CI95_Upper,Curve_4_vs_Curve_5_Cohen_d,Curve_4_vs_Curve_5_p_raw,Curve_4_vs_Curve_5_Sig_raw,Curve_4_vs_Curve_6_Test,Curve_4_vs_Curve_6_SW_p_A,Curve_4_vs_Curve_6_SW_p_B,Curve_4_vs_Curve_6_Stat,Curve_4_vs_Curve_6_Mean_Diff,Curve_4_vs_Curve_6_CI95_Lower,Curve_4_vs_Curve_6_CI95_Upper,Curve_4_vs_Curve_6_Cohen_d,Curve_4_vs_Curve_6_p_raw,Curve_4_vs_Curve_6_Sig_raw,Curve_5_vs_Curve_6_Test,Curve_5_vs_Curve_6_SW_p_A,Curve_5_vs_Curve_6_SW_p_B,Curve_5_vs_Curve_6_Stat,Curve_5_vs_Curve_6_Mean_Diff,Curve_5_vs_Curve_6_CI95_Lower,Curve_5_vs_Curve_6_CI95_Upper,Curve_5_vs_Curve_6_Cohen_d,Curve_5_vs_Curve_6_p_raw,Curve_5_vs_Curve_6_Sig_raw
RAF_NoCritic,RE,9,5.0,0.0,5.0,5.0,9,5.0,0.0,5.0,5.0,9,5.0,0.0,5.0,5.0,9,5.0,0.0,5.0,5.0,9,5.0,0.0,5.0,5.0,9,5.0,0.0,5.0,5.0,N/A (identical values),,,,Mann-Whitney U,,,40.5,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,40.5,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,40.5,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,40.5,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,40.5,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,40.5,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,40.5,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,40.5,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,40.5,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,40.5,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,40.5,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,40.5,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,40.5,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,40.5,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,40.5,0.0,0.0,0.0,0.0,1.0,
RAF_NoCritic,CH,9,5.0,0.0,5.0,5.0,9,5.0,0.0,5.0,5.0,9,4.8889,0.3333,4.6327,5.1451,9,4.8889,0.3333,4.6327,5.1451,9,5.0,0.0,5.0,5.0,9,5.0,0.0,5.0,5.0,Kruskal-Wallis,4.0769,0.5384,,Mann-Whitney U,,,40.5,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,0.0,45.0,0.1111,-0.1451,0.3673,0.4714,0.3741,,Mann-Whitney U,,0.0,45.0,0.1111,-0.1451,0.3673,0.4714,0.3741,,Mann-Whitney U,,,40.5,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,40.5,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,0.0,45.0,0.1111,-0.1451,0.3673,0.4714,0.3741,,Mann-Whitney U,,0.0,45.0,0.1111,-0.1451,0.3673,0.4714,0.3741,,Mann-Whitney U,,,40.5,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,40.5,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,0.0,0.0,40.5,0.0,-0.3331,0.3331,0.0,1.0,,Mann-Whitney U,0.0,,36.0,-0.1111,-0.3673,0.1451,-0.4714,0.3741,,Mann-Whitney U,0.0,,36.0,-0.1111,-0.3673,0.1451,-0.4714,0.3741,,Mann-Whitney U,0.0,,36.0,-0.1111,-0.3673,0.1451,-0.4714,0.3741,,Mann-Whitney U,0.0,,36.0,-0.1111,-0.3673,0.1451,-0.4714,0.3741,,Mann-Whitney U,,,40.5,0.0,0.0,0.0,0.0,1.0,
RAF_NoCritic,EM,9,4.1111,0.3333,3.8549,4.3673,9,4.3333,0.5,3.949,4.7177,9,4.3333,0.5,3.949,4.7177,9,4.1111,0.3333,3.8549,4.3673,9,4.1111,0.3333,3.8549,4.3673,9,4.2222,0.441,3.8833,4.5612,Kruskal-Wallis,3.2495,0.6616,,Mann-Whitney U,0.0,0.0002,31.5,-0.2222,-0.652,0.2076,-0.523,0.298,,Mann-Whitney U,0.0,0.0002,31.5,-0.2222,-0.652,0.2076,-0.523,0.298,,Mann-Whitney U,0.0,0.0,40.5,0.0,-0.3331,0.3331,0.0,1.0,,Mann-Whitney U,0.0,0.0,40.5,0.0,-0.3331,0.3331,0.0,1.0,,Mann-Whitney U,0.0,0.0,36.0,-0.1111,-0.5041,0.2819,-0.2843,0.5848,,Mann-Whitney U,0.0002,0.0002,40.5,0.0,-0.4997,0.4997,0.0,1.0,,Mann-Whitney U,0.0002,0.0,49.5,0.2222,-0.2076,0.652,0.523,0.298,,Mann-Whitney U,0.0002,0.0,49.5,0.2222,-0.2076,0.652,0.523,0.298,,Mann-Whitney U,0.0002,0.0,45.0,0.1111,-0.3606,0.5828,0.2357,0.6494,,Mann-Whitney U,0.0002,0.0,49.5,0.2222,-0.2076,0.652,0.523,0.298,,Mann-Whitney U,0.0002,0.0,49.5,0.2222,-0.2076,0.652,0.523,0.298,,Mann-Whitney U,0.0002,0.0,45.0,0.1111,-0.3606,0.5828,0.2357,0.6494,,Mann-Whitney U,0.0,0.0,40.5,0.0,-0.3331,0.3331,0.0,1.0,,Mann-Whitney U,0.0,0.0,36.0,-0.1111,-0.5041,0.2819,-0.2843,0.5848,,Mann-Whitney U,0.0,0.0,36.0,-0.1111,-0.5041,0.2819,-0.2843,0.5848,
RAF_NoCritic,SU,9,3.1111,0.3333,2.8549,3.3673,9,3.0,0.0,3.0,3.0,9,3.0,0.0,3.0,3.0,9,3.0,0.0,3.0,3.0,9,3.0,0.0,3.0,3.0,9,3.0,0.0,3.0,3.0,Kruskal-Wallis,5.0,0.4159,,Mann-Whitney U,0.0,,45.0,0.1111,-0.1451,0.3673,0.4714,0.3741,,Mann-Whitney U,0.0,,45.0,0.1111,-0.1451,0.3673,0.4714,0.3741,,Mann-Whitney U,0.0,,45.0,0.1111,-0.1451,0.3673,0.4714,0.3741,,Mann-Whitney U,0.0,,45.0,0.1111,-0.1451,0.3673,0.4714,0.3741,,Mann-Whitney U,0.0,,45.0,0.1111,-0.1451,0.3673,0.4714,0.3741,,Mann-Whitney U,,,40.5,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,40.5,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,40.5,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,40.5,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,40.5,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,40.5,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,40.5,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,40.5,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,40.5,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,40.5,0.0,0.0,0.0,0.0,1.0,
RAF_NoCritic,EG,9,5.0,0.0,5.0,5.0,9,4.5556,0.527,4.1504,4.9607,9,5.0,0.0,5.0,5.0,9,4.1111,0.3333,3.8549,4.3673,9,4.8889,0.3333,4.6327,5.1451,9,4.5556,0.527,4.1504,4.9607,Kruskal-Wallis,24.6884,0.0002,***,Mann-Whitney U,,0.0004,58.5,0.4444,0.0393,0.8496,1.1926,0.0321,*,Mann-Whitney U,,,40.5,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,0.0,76.5,0.8889,0.6327,1.1451,3.7712,0.0003,***,Mann-Whitney U,,0.0,45.0,0.1111,-0.1451,0.3673,0.4714,0.3741,,Mann-Whitney U,,0.0004,58.5,0.4444,0.0393,0.8496,1.1926,0.0321,*,Mann-Whitney U,0.0004,,22.5,-0.4444,-0.8496,-0.0393,-1.1926,0.0321,*,Mann-Whitney U,0.0004,0.0,58.5,0.4444,-0.0029,0.8918,1.0079,0.0588,,Mann-Whitney U,0.0004,0.0,27.0,-0.3333,-0.7807,0.114,-0.7559,0.1396,,Mann-Whitney U,0.0004,0.0004,40.5,0.0,-0.5267,0.5267,0.0,1.0,,Mann-Whitney U,,0.0,76.5,0.8889,0.6327,1.1451,3.7712,0.0003,***,Mann-Whitney U,,0.0,45.0,0.1111,-0.1451,0.3673,0.4714,0.3741,,Mann-Whitney U,,0.0004,58.5,0.4444,0.0393,0.8496,1.1926,0.0321,*,Mann-Whitney U,0.0,0.0,9.0,-0.7778,-1.1109,-0.4447,-2.3333,0.0016,**,Mann-Whitney U,0.0,0.0004,22.5,-0.4444,-0.8918,0.0029,-1.0079,0.0588,,Mann-Whitney U,0.0,0.0004,54.0,0.3333,-0.114,0.7807,0.7559,0.1396,
RAF_NoCritic,CX,9,4.0,0.0,4.0,4.0,9,4.0,0.0,4.0,4.0,9,4.0,0.0,4.0,4.0,9,4.1111,0.3333,3.8549,4.3673,9,4.0,0.0,4.0,4.0,9,4.1111,0.3333,3.8549,4.3673,Kruskal-Wallis,4.0769,0.5384,,Mann-Whitney U,,,40.5,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,40.5,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,0.0,36.0,-0.1111,-0.3673,0.1451,-0.4714,0.3741,,Mann-Whitney U,,,40.5,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,0.0,36.0,-0.1111,-0.3673,0.1451,-0.4714,0.3741,,Mann-Whitney U,,,40.5,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,0.0,36.0,-0.1111,-0.3673,0.1451,-0.4714,0.3741,,Mann-Whitney U,,,40.5,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,0.0,36.0,-0.1111,-0.3673,0.1451,-0.4714,0.3741,,Mann-Whitney U,,0.0,36.0,-0.1111,-0.3673,0.1451,-0.4714,0.3741,,Mann-Whitney U,,,40.5,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,0.0,36.0,-0.1111,-0.3673,0.1451,-0.4714,0.3741,,Mann-Whitney U,0.0,,45.0,0.1111,-0.1451,0.3673,0.4714,0.3741,,Mann-Whitney U,0.0,0.0,40.5,0.0,-0.3331,0.3331,0.0,1.0,,Mann-Whitney U,,0.0,36.0,-0.1111,-0.3673,0.1451,-0.4714,0.3741,
RAF_NoCritic,OV,9,4.3703,0.1111,4.2849,4.4558,9,4.3148,0.1303,4.2147,4.4149,9,4.3703,0.0735,4.3138,4.4268,9,4.2037,0.0735,4.1473,4.2602,9,4.3333,0.0833,4.2693,4.3974,9,4.3148,0.1303,4.2147,4.4149,Kruskal-Wallis,14.7789,0.0114,*,Mann-Whitney U,0.0,0.0548,49.0,0.0555,-0.0657,0.1768,0.4586,0.3984,,Mann-Whitney U,0.0,0.0,37.0,0.0,-0.0953,0.0953,0.0,0.6831,,Mann-Whitney U,0.0,0.0,73.0,0.1666,0.0713,0.2619,1.7688,0.0013,**,Mann-Whitney U,0.0,0.0012,45.0,0.037,-0.0617,0.1358,0.3771,0.5867,,Mann-Whitney U,0.0,0.0548,49.0,0.0555,-0.0657,0.1768,0.4586,0.3984,,Mann-Whitney U,0.0548,0.0,30.0,-0.0555,-0.1636,0.0525,-0.525,0.3106,,Mann-Whitney U,0.0548,0.0,60.5,0.1111,0.0031,0.2191,1.0504,0.0531,,Mann-Whitney U,0.0548,0.0012,36.5,-0.0185,-0.1294,0.0924,-0.1692,0.7227,,Welch's t,0.0548,0.0548,0.0,0.0,-0.1302,0.1302,0.0,1.0,,Mann-Whitney U,0.0,0.0,74.0,0.1666,0.0932,0.2401,2.2674,0.0013,**,Mann-Whitney U,0.0,0.0012,48.5,0.037,-0.0416,0.1157,0.4713,0.3613,,Mann-Whitney U,0.0,0.0548,51.0,0.0555,-0.0525,0.1636,0.525,0.3106,,Mann-Whitney U,0.0,0.0012,12.5,-0.1296,-0.2082,-0.051,-1.6498,0.0063,**,Mann-Whitney U,0.0,0.0548,20.5,-0.1111,-0.2191,-0.0031,-1.0504,0.0531,,Mann-Whitney U,0.0012,0.0548,44.5,0.0185,-0.0924,0.1294,0.1692,0.7227,
RAF_Critic,RE,9,5.0,0.0,5.0,5.0,9,4.8889,0.3333,4.6327,5.1451,9,5.0,0.0,5.0,5.0,9,5.0,0.0,5.0,5.0,9,5.0,0.0,5.0,5.0,9,5.0,0.0,5.0,5.0,Kruskal-Wallis,5.0,0.4159,,Mann-Whitney U,,0.0,45.0,0.1111,-0.1451,0.3673,0.4714,0.3741,,Mann-Whitney U,,,40.5,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,40.5,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,40.5,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,40.5,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,0.0,,36.0,-0.1111,-0.3673,0.1451,-0.4714,0.3741,,Mann-Whitney U,0.0,,36.0,-0.1111,-0.3673,0.1451,-0.4714,0.3741,,Mann-Whitney U,0.0,,36.0,-0.1111,-0.3673,0.1451,-0.4714,0.3741,,Mann-Whitney U,0.0,,36.0,-0.1111,-0.3673,0.1451,-0.4714,0.3741,,Mann-Whitney U,,,40.5,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,40.5,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,40.5,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,40.5,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,40.5,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,40.5,0.0,0.0,0.0,0.0,1.0,
RAF_Critic,CH,9,5.0,0.0,5.0,5.0,9,4.8889,0.3333,4.6327,5.1451,9,5.0,0.0,5.0,5.0,9,4.8889,0.3333,4.6327,5.1451,9,5.0,0.0,5.0,5.0,9,4.7778,0.441,4.4388,5.1167,Kruskal-Wallis,5.3,0.3804,,Mann-Whitney U,,0.0,45.0,0.1111,-0.1451,0.3673,0.4714,0.3741,,Mann-Whitney U,,,40.5,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,0.0,45.0,0.1111,-0.1451,0.3673,0.4714,0.3741,,Mann-Whitney U,,,40.5,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,0.0,49.5,0.2222,-0.1167,0.5612,0.7127,0.1686,,Mann-Whitney U,0.0,,36.0,-0.1111,-0.3673,0.1451,-0.4714,0.3741,,Mann-Whitney U,0.0,0.0,40.5,0.0,-0.3331,0.3331,0.0,1.0,,Mann-Whitney U,0.0,,36.0,-0.1111,-0.3673,0.1451,-0.4714,0.3741,,Mann-Whitney U,0.0,0.0,45.0,0.1111,-0.2819,0.5041,0.2843,0.5848,,Mann-Whitney U,,0.0,45.0,0.1111,-0.1451,0.3673,0.4714,0.3741,,Mann-Whitney U,,,40.5,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,0.0,49.5,0.2222,-0.1167,0.5612,0.7127,0.1686,,Mann-Whitney U,0.0,,36.0,-0.1111,-0.3673,0.1451,-0.4714,0.3741,,Mann-Whitney U,0.0,0.0,45.0,0.1111,-0.2819,0.5041,0.2843,0.5848,,Mann-Whitney U,,0.0,49.5,0.2222,-0.1167,0.5612,0.7127,0.1686,
RAF_Critic,EM,9,4.1111,0.3333,3.8549,4.3673,9,4.3333,0.5,3.949,4.7177,9,4.2222,0.441,3.8833,4.5612,9,4.4444,0.527,4.0393,4.8496,9,4.2222,0.441,3.8833,4.5612,9,4.6667,0.5,4.2823,5.051,Kruskal-Wallis,7.8519,0.1646,,Mann-Whitney U,0.0,0.0002,31.5,-0.2222,-0.652,0.2076,-0.523,0.298,,Mann-Whitney U,0.0,0.0,36.0,-0.1111,-0.5041,0.2819,-0.2843,0.5848,,Mann-Whitney U,0.0,0.0004,27.0,-0.3333,-0.7807,0.114,-0.7559,0.1396,,Mann-Whitney U,0.0,0.0,36.0,-0.1111,-0.5041,0.2819,-0.2843,0.5848,,Mann-Whitney U,0.0,0.0002,18.0,-0.5556,-0.9854,-0.1258,-1.3074,0.0216,*,Mann-Whitney U,0.0002,0.0,45.0,0.1111,-0.3606,0.5828,0.2357,0.6494,,Mann-Whitney U,0.0002,0.0004,36.0,-0.1111,-0.6246,0.4024,-0.2163,0.6762,,Mann-Whitney U,0.0002,0.0,45.0,0.1111,-0.3606,0.5828,0.2357,0.6494,,Mann-Whitney U,0.0002,0.0002,27.0,-0.3333,-0.833,0.1663,-0.6667,0.1857,,Mann-Whitney U,0.0,0.0004,31.5,-0.2222,-0.709,0.2646,-0.4573,0.3587,,Mann-Whitney U,0.0,0.0,40.5,0.0,-0.4407,0.4407,0.0,1.0,,Mann-Whitney U,0.0,0.0002,22.5,-0.4444,-0.9161,0.0272,-0.9428,0.073,,Mann-Whitney U,0.0004,0.0,49.5,0.2222,-0.2646,0.709,0.4573,0.3587,,Mann-Whitney U,0.0004,0.0002,31.5,-0.2222,-0.7357,0.2913,-0.4326,0.3839,,Mann-Whitney U,0.0,0.0002,22.5,-0.4444,-0.9161,0.0272,-0.9428,0.073,
