Curve_Type,Metric,RAF_NoCritic,RAF_Critic,AVL_NoCritic,AVL_Critic
Curve_1,Count,20.0,21.0,25.0,17.0
Curve_1,RE,5.0,5.0,5.0,5.0
Curve_1,CH,5.0,5.0,5.0,5.0
Curve_1,EM,4.0556,4.037,4.1958,4.131
Curve_1,SU,3.0556,3.0,3.0741,3.0
Curve_1,EG,4.8333,4.75,4.8889,4.9048
Curve_1,CX,3.963,3.9583,4.0,4.0
Curve_1,OV,4.3179,4.2909,4.3598,4.3393
Curve_2,Count,27.0,17.0,27.0,22.0
Curve_2,RE,4.8148,4.7444,4.8148,5.0
Curve_2,CH,4.963,4.8889,4.7037,4.5838
Curve_2,EM,4.1481,4.1778,4.4074,4.5495
Curve_2,SU,3.0,3.0556,2.963,3.0667
Curve_2,EG,4.1852,4.2333,4.2963,4.2848
Curve_2,CX,3.9259,3.8111,3.963,4.0
Curve_2,OV,4.1728,4.1519,4.1913,4.2475
Curve_3,Count,23.0,16.0,23.0,25.0
Curve_3,RE,5.0,5.0,5.0,4.9583
Curve_3,CH,4.9333,5.0,4.9153,4.9697
Curve_3,EM,4.1407,4.1587,4.3386,4.0909
Curve_3,SU,2.9333,3.0,3.2169,3.0303
Curve_3,EG,4.6741,4.7937,4.6772,4.5985
Curve_3,CX,3.8963,3.9524,4.0,4.0
Curve_3,OV,4.263,4.3175,4.358,4.2746
Curve_4,Count,16.0,18.0,17.0,22.0
Curve_4,RE,5.0,4.8889,4.8111,4.8227
Curve_4,CH,4.8333,4.8333,4.6556,4.8413
Curve_4,EM,4.0556,4.2222,4.3444,4.3757
Curve_4,SU,3.0,3.0556,3.0,3.0952
Curve_4,EG,4.0556,4.1852,4.4667,4.3942
Curve_4,CX,4.0556,4.0185,4.0667,3.8968
Curve_4,OV,4.1667,4.2006,4.2241,4.2376
Curve_5,Count,20.0,18.0,19.0,16.0
Curve_5,RE,5.0,5.0,5.0,5.0
Curve_5,CH,5.0,5.0,4.9167,5.0
Curve_5,EM,4.037,4.1528,4.3055,4.0952
Curve_5,SU,3.0,3.0,3.0,3.0952
Curve_5,EG,4.5159,4.6151,4.7315,4.6826
Curve_5,CX,4.0,4.0,4.0,3.9921
Curve_5,OV,4.2588,4.2946,4.3256,4.3109
Curve_6,Count,24.0,21.0,24.0,31.0
Curve_6,RE,4.9074,4.8889,4.8889,4.963
Curve_6,CH,4.963,4.8519,4.8519,4.8633
Curve_6,EM,4.1296,4.3704,4.5,4.2478
Curve_6,SU,3.0,3.0185,3.0556,3.037
Curve_6,EG,4.2407,4.2593,4.4259,4.2507
Curve_6,CX,3.9815,4.0,4.037,4.0256
Curve_6,OV,4.2037,4.2315,4.2932,4.2313
