Curve_Type,Metric,RAF_NoCritic,RAF_Critic,AVL_NoCritic,AVL_Critic
Curve_1,Count,9.0,9.0,9.0,9.0
Curve_1,RE,5.0,5.0,5.0,5.0
Curve_1,CH,5.0,5.0,5.0,5.0
Curve_1,EM,4.1111,4.1111,4.4444,4.2222
Curve_1,SU,3.1111,3.0,3.2222,3.0
Curve_1,EG,5.0,5.0,5.0,5.0
Curve_1,CX,4.0,4.0,4.0,4.0
Curve_1,OV,4.3703,4.3518,4.4444,4.3704
Curve_2,Count,9.0,9.0,9.0,9.0
Curve_2,RE,5.0,4.8889,5.0,5.0
Curve_2,CH,5.0,4.8889,4.6667,4.6667
Curve_2,EM,4.3333,4.3333,4.5556,4.5556
Curve_2,SU,3.0,3.2222,3.0,3.1111
Curve_2,EG,4.5556,4.4444,4.7778,4.5556
Curve_2,CX,4.0,4.0,4.1111,4.0
Curve_2,OV,4.3148,4.2963,4.3519,4.3148
Curve_3,Count,9.0,9.0,9.0,9.0
Curve_3,RE,5.0,5.0,5.0,5.0
Curve_3,CH,4.8889,5.0,5.0,5.0
Curve_3,EM,4.3333,4.2222,4.6667,4.2222
Curve_3,SU,3.0,3.0,3.5556,3.1111
Curve_3,EG,5.0,5.0,5.0,5.0
Curve_3,CX,4.0,4.0,4.0,4.0
Curve_3,OV,4.3703,4.3704,4.537,4.3889
Curve_4,Count,9.0,9.0,9.0,9.0
Curve_4,RE,5.0,5.0,4.8889,5.0
Curve_4,CH,5.0,4.8889,4.7778,4.8889
Curve_4,EM,4.1111,4.4445,4.4444,4.5556
Curve_4,SU,3.0,3.1111,3.0,3.2222
Curve_4,EG,4.1111,4.4445,4.7778,4.7778
Curve_4,CX,4.0,4.0,4.1111,4.0
Curve_4,OV,4.2037,4.3148,4.3333,4.4074
Curve_5,Count,9.0,9.0,9.0,9.0
Curve_5,RE,5.0,5.0,5.0,5.0
Curve_5,CH,5.0,5.0,5.0,5.0
Curve_5,EM,4.1111,4.2222,4.5556,4.2222
Curve_5,SU,3.0,3.0,3.0,3.2222
Curve_5,EG,4.8889,4.8889,5.0,4.8889
Curve_5,CX,4.0,4.0,4.0,4.1111
Curve_5,OV,4.3333,4.3518,4.4259,4.4074
Curve_6,Count,9.0,9.0,9.0,9.0
Curve_6,RE,5.0,5.0,5.0,5.0
Curve_6,CH,5.0,4.7778,4.8889,4.7778
Curve_6,EM,4.2222,4.6667,4.6667,4.5556
Curve_6,SU,3.0,3.1111,3.1111,3.1111
Curve_6,EG,4.5555,4.4444,4.6667,4.7778
Curve_6,CX,4.1111,4.1111,4.0,4.1111
Curve_6,OV,4.3148,4.3519,4.3889,4.3889
