Theme,Genre,Novel,Curve_Type,Story_ID,RAF_NoCritic_Count,RAF_NoCritic_RE,RAF_NoCritic_CH,RAF_NoCritic_EM,RAF_NoCritic_SU,RAF_NoCritic_EG,RAF_NoCritic_CX,RAF_NoCritic_OV,RAF_Critic_Count,RAF_Critic_RE,RAF_Critic_CH,RAF_Critic_EM,RAF_Critic_SU,RAF_Critic_EG,RAF_Critic_CX,RAF_Critic_OV,AVL_NoCritic_Count,AVL_NoCritic_RE,AVL_NoCritic_CH,AVL_NoCritic_EM,AVL_NoCritic_SU,AVL_NoCritic_EG,AVL_NoCritic_CX,AVL_NoCritic_OV,AVL_Critic_Count,AVL_Critic_RE,AVL_Critic_CH,AVL_Critic_EM,AVL_Critic_SU,AVL_Critic_EG,AVL_Critic_CX,AVL_Critic_OV
Climate_Change,Romance,World_Curve_1_Story_1,Curve_1,Story_1,6,5.0,5.0,4.1667,3.1667,4.8333,4.0,4.3611,8,5.0,5.0,4.0,3.0,4.5,3.875,4.2292,9,5.0,5.0,4.1111,3.0,4.6667,4.0,4.2963,6,5.0,5.0,4.0,3.0,5.0,4.0,4.3333
Climate_Change,Romance,World_Curve_1_Story_2,Curve_1,Story_2,9,5.0,5.0,4.0,3.0,4.6667,3.8889,4.2592,4,5.0,5.0,4.0,3.0,4.75,4.0,4.2917,9,5.0,5.0,4.3333,3.2222,5.0,4.0,4.4259,4,5.0,5.0,4.25,3.0,5.0,4.0,4.375
Climate_Change,Romance,World_Curve_1_Story_3,Curve_1,Story_3,5,5.0,5.0,4.0,3.0,5.0,4.0,4.3333,9,5.0,5.0,4.1111,3.0,5.0,4.0,4.3518,7,5.0,5.0,4.1429,3.0,5.0,4.0,4.3571,7,5.0,5.0,4.1429,3.0,4.7143,4.0,4.3095
Climate_Change,Romance,World_Curve_2_Story_1,Curve_2,Story_1,9,5.0,4.8889,4.3333,3.0,4.3333,4.0,4.2593,6,5.0,4.8333,4.3333,3.1667,4.3333,4.0,4.2778,9,4.7778,4.6667,4.4444,3.0,4.3333,4.0,4.2037,11,5.0,4.8182,4.1818,3.0,4.4545,4.0,4.2424
Climate_Change,Romance,World_Curve_2_Story_2,Curve_2,Story_2,9,5.0,5.0,4.1111,3.0,4.2222,4.0,4.2222,5,4.4,5.0,4.2,3.0,4.2,3.6,4.0667,9,4.8889,4.6667,4.4444,3.0,4.3333,4.1111,4.2407,5,5.0,4.6,4.8,3.2,4.4,4.0,4.3334
Climate_Change,Romance,World_Curve_2_Story_3,Curve_2,Story_3,9,4.4444,5.0,4.0,3.0,4.0,3.7778,4.037,6,4.8333,4.8333,4.0,3.0,4.1667,3.8333,4.1111,9,4.7778,4.7778,4.3333,2.8889,4.2222,3.7778,4.1296,6,5.0,4.3333,4.6667,3.0,4.0,4.0,4.1667
Climate_Change,Romance,World_Curve_3_Story_1,Curve_3,Story_1,5,5.0,4.8,4.2,2.8,4.8,3.8,4.2333,3,5.0,5.0,4.3333,3.0,5.0,4.0,4.3889,9,5.0,4.8889,4.4444,3.2222,4.8889,4.0,4.4074,11,5.0,4.9091,4.2727,3.0909,4.5455,4.0,4.303
Climate_Change,Romance,World_Curve_3_Story_2,Curve_3,Story_2,9,5.0,5.0,4.0,3.0,4.6667,4.0,4.2778,6,5.0,5.0,4.0,3.0,4.6667,4.0,4.2778,7,5.0,5.0,4.5714,3.4286,4.5714,3.8571,4.4048,8,4.875,5.0,4.0,3.0,4.75,4.0,4.2708
Climate_Change,Romance,World_Curve_3_Story_3,Curve_3,Story_3,9,5.0,5.0,4.2222,3.0,4.5556,3.8889,4.2778,7,5.0,5.0,4.1429,3.0,4.7143,3.8571,4.2857,7,5.0,4.8571,4.0,3.0,4.5714,4.1429,4.2619,6,5.0,5.0,4.0,3.0,4.5,4.0,4.25
Climate_Change,Romance,World_Curve_4_Story_1,Curve_4,Story_1,6,5.0,4.8333,4.1667,3.0,4.1667,4.0,4.1944,3,5.0,4.6667,4.0,3.0,4.0,4.0,4.1111,6,5.0,4.5,4.5,3.0,4.3333,4.0,4.2222,9,4.7778,4.6667,4.5556,3.0,4.4444,4.0,4.2407
Climate_Change,Romance,World_Curve_4_Story_2,Curve_4,Story_2,4,5.0,5.0,4.0,3.0,4.0,4.0,4.1667,6,5.0,4.8333,4.3333,3.1667,4.3333,4.1667,4.3056,5,4.6,4.8,4.2,3.0,4.4,4.2,4.2,7,4.8571,4.8571,4.5714,3.2857,4.5714,3.8571,4.3333
Climate_Change,Romance,World_Curve_4_Story_3,Curve_4,Story_3,6,5.0,4.6667,4.0,3.0,4.0,4.1667,4.1389,9,4.6667,5.0,4.3333,3.0,4.2222,3.8889,4.1852,6,4.8333,4.6667,4.3333,3.0,4.6667,4.0,4.25,6,4.8333,5.0,4.0,3.0,4.1667,3.8333,4.1389
Climate_Change,Romance,World_Curve_5_Story_1,Curve_5,Story_1,9,5.0,5.0,4.1111,3.0,4.3333,4.0,4.2408,7,5.0,5.0,4.0,3.0,4.4286,4.0,4.2381,9,5.0,5.0,4.3333,3.0,4.7778,4.0,4.3518,6,5.0,5.0,4.0,3.0,4.6667,3.8333,4.25
Climate_Change,Romance,World_Curve_5_Story_2,Curve_5,Story_2,7,5.0,5.0,4.0,3.0,4.7143,4.0,4.2857,3,5.0,5.0,4.3333,3.0,4.6667,4.0,4.3333,6,5.0,5.0,4.3333,3.0,4.6667,4.0,4.3333,7,5.0,5.0,4.2857,3.2857,4.7143,4.1429,4.4048
Climate_Change,Romance,World_Curve_5_Story_3,Curve_5,Story_3,4,5.0,5.0,4.0,3.0,4.5,4.0,4.25,8,5.0,5.0,4.125,3.0,4.75,4.0,4.3125,4,5.0,4.75,4.25,3.0,4.75,4.0,4.2916,3,5.0,5.0,4.0,3.0,4.6667,4.0,4.2778
Climate_Change,Romance,World_Curve_6_Story_1,Curve_6,Story_1,9,4.8889,4.8889,4.2222,3.0,4.4444,4.0,4.2407,6,5.0,5.0,4.5,3.1667,4.5,4.0,4.3611,6,5.0,5.0,4.8333,3.1667,4.8333,4.0,4.4722,13,5.0,4.9231,4.0769,3.0,4.3077,4.0769,4.2308
Climate_Change,Romance,World_Curve_6_Story_2,Curve_6,Story_2,6,4.8333,5.0,4.1667,3.0,4.1667,3.8333,4.1667,9,4.6667,4.8889,4.1111,2.8889,4.1111,4.0,4.1111,9,4.8889,4.8889,4.2222,3.0,4.3333,4.0,4.2222,9,5.0,4.7778,4.4444,3.0,4.2222,3.8889,4.2222
