Method,Metric,Curve_1_N,Curve_1_Mean,Curve_1_SD,Curve_1_CI95_Lower,Curve_1_CI95_Upper,Curve_2_N,Curve_2_Mean,Curve_2_SD,Curve_2_CI95_Lower,Curve_2_CI95_Upper,Curve_3_N,Curve_3_Mean,Curve_3_SD,Curve_3_CI95_Lower,Curve_3_CI95_Upper,Curve_4_N,Curve_4_Mean,Curve_4_SD,Curve_4_CI95_Lower,Curve_4_CI95_Upper,Curve_5_N,Curve_5_Mean,Curve_5_SD,Curve_5_CI95_Lower,Curve_5_CI95_Upper,Curve_6_N,Curve_6_Mean,Curve_6_SD,Curve_6_CI95_Lower,Curve_6_CI95_Upper,Omnibus_Test,Omnibus_Stat,Omnibus_p,Omnibus_Sig,Curve_1_vs_Curve_2_Test,Curve_1_vs_Curve_2_SW_p_A,Curve_1_vs_Curve_2_SW_p_B,Curve_1_vs_Curve_2_Stat,Curve_1_vs_Curve_2_Mean_Diff,Curve_1_vs_Curve_2_CI95_Lower,Curve_1_vs_Curve_2_CI95_Upper,Curve_1_vs_Curve_2_Cohen_d,Curve_1_vs_Curve_2_p_raw,Curve_1_vs_Curve_2_Sig_raw,Curve_1_vs_Curve_3_Test,Curve_1_vs_Curve_3_SW_p_A,Curve_1_vs_Curve_3_SW_p_B,Curve_1_vs_Curve_3_Stat,Curve_1_vs_Curve_3_Mean_Diff,Curve_1_vs_Curve_3_CI95_Lower,Curve_1_vs_Curve_3_CI95_Upper,Curve_1_vs_Curve_3_Cohen_d,Curve_1_vs_Curve_3_p_raw,Curve_1_vs_Curve_3_Sig_raw,Curve_1_vs_Curve_4_Test,Curve_1_vs_Curve_4_SW_p_A,Curve_1_vs_Curve_4_SW_p_B,Curve_1_vs_Curve_4_Stat,Curve_1_vs_Curve_4_Mean_Diff,Curve_1_vs_Curve_4_CI95_Lower,Curve_1_vs_Curve_4_CI95_Upper,Curve_1_vs_Curve_4_Cohen_d,Curve_1_vs_Curve_4_p_raw,Curve_1_vs_Curve_4_Sig_raw,Curve_1_vs_Curve_5_Test,Curve_1_vs_Curve_5_SW_p_A,Curve_1_vs_Curve_5_SW_p_B,Curve_1_vs_Curve_5_Stat,Curve_1_vs_Curve_5_Mean_Diff,Curve_1_vs_Curve_5_CI95_Lower,Curve_1_vs_Curve_5_CI95_Upper,Curve_1_vs_Curve_5_Cohen_d,Curve_1_vs_Curve_5_p_raw,Curve_1_vs_Curve_5_Sig_raw,Curve_1_vs_Curve_6_Test,Curve_1_vs_Curve_6_SW_p_A,Curve_1_vs_Curve_6_SW_p_B,Curve_1_vs_Curve_6_Stat,Curve_1_vs_Curve_6_Mean_Diff,Curve_1_vs_Curve_6_CI95_Lower,Curve_1_vs_Curve_6_CI95_Upper,Curve_1_vs_Curve_6_Cohen_d,Curve_1_vs_Curve_6_p_raw,Curve_1_vs_Curve_6_Sig_raw,Curve_2_vs_Curve_3_Test,Curve_2_vs_Curve_3_SW_p_A,Curve_2_vs_Curve_3_SW_p_B,Curve_2_vs_Curve_3_Stat,Curve_2_vs_Curve_3_Mean_Diff,Curve_2_vs_Curve_3_CI95_Lower,Curve_2_vs_Curve_3_CI95_Upper,Curve_2_vs_Curve_3_Cohen_d,Curve_2_vs_Curve_3_p_raw,Curve_2_vs_Curve_3_Sig_raw,Curve_2_vs_Curve_4_Test,Curve_2_vs_Curve_4_SW_p_A,Curve_2_vs_Curve_4_SW_p_B,Curve_2_vs_Curve_4_Stat,Curve_2_vs_Curve_4_Mean_Diff,Curve_2_vs_Curve_4_CI95_Lower,Curve_2_vs_Curve_4_CI95_Upper,Curve_2_vs_Curve_4_Cohen_d,Curve_2_vs_Curve_4_p_raw,Curve_2_vs_Curve_4_Sig_raw,Curve_2_vs_Curve_5_Test,Curve_2_vs_Curve_5_SW_p_A,Curve_2_vs_Curve_5_SW_p_B,Curve_2_vs_Curve_5_Stat,Curve_2_vs_Curve_5_Mean_Diff,Curve_2_vs_Curve_5_CI95_Lower,Curve_2_vs_Curve_5_CI95_Upper,Curve_2_vs_Curve_5_Cohen_d,Curve_2_vs_Curve_5_p_raw,Curve_2_vs_Curve_5_Sig_raw,Curve_2_vs_Curve_6_Test,Curve_2_vs_Curve_6_SW_p_A,Curve_2_vs_Curve_6_SW_p_B,Curve_2_vs_Curve_6_Stat,Curve_2_vs_Curve_6_Mean_Diff,Curve_2_vs_Curve_6_CI95_Lower,Curve_2_vs_Curve_6_CI95_Upper,Curve_2_vs_Curve_6_Cohen_d,Curve_2_vs_Curve_6_p_raw,Curve_2_vs_Curve_6_Sig_raw,Curve_3_vs_Curve_4_Test,Curve_3_vs_Curve_4_SW_p_A,Curve_3_vs_Curve_4_SW_p_B,Curve_3_vs_Curve_4_Stat,Curve_3_vs_Curve_4_Mean_Diff,Curve_3_vs_Curve_4_CI95_Lower,Curve_3_vs_Curve_4_CI95_Upper,Curve_3_vs_Curve_4_Cohen_d,Curve_3_vs_Curve_4_p_raw,Curve_3_vs_Curve_4_Sig_raw,Curve_3_vs_Curve_5_Test,Curve_3_vs_Curve_5_SW_p_A,Curve_3_vs_Curve_5_SW_p_B,Curve_3_vs_Curve_5_Stat,Curve_3_vs_Curve_5_Mean_Diff,Curve_3_vs_Curve_5_CI95_Lower,Curve_3_vs_Curve_5_CI95_Upper,Curve_3_vs_Curve_5_Cohen_d,Curve_3_vs_Curve_5_p_raw,Curve_3_vs_Curve_5_Sig_raw,Curve_3_vs_Curve_6_Test,Curve_3_vs_Curve_6_SW_p_A,Curve_3_vs_Curve_6_SW_p_B,Curve_3_vs_Curve_6_Stat,Curve_3_vs_Curve_6_Mean_Diff,Curve_3_vs_Curve_6_CI95_Lower,Curve_3_vs_Curve_6_CI95_Upper,Curve_3_vs_Curve_6_Cohen_d,Curve_3_vs_Curve_6_p_raw,Curve_3_vs_Curve_6_Sig_raw,Curve_4_vs_Curve_5_Test,Curve_4_vs_Curve_5_SW_p_A,Curve_4_vs_Curve_5_SW_p_B,Curve_4_vs_Curve_5_Stat,Curve_4_vs_Curve_5_Mean_Diff,Curve_4_vs_Curve_5_CI95_Lower,Curve_4_vs_Curve_5_CI95_Upper,Curve_4_vs_Curve_5_Cohen_d,Curve_4_vs_Curve_5_p_raw,Curve_4_vs_Curve_5_Sig_raw,Curve_4_vs_Curve_6_Test,Curve_4_vs_Curve_6_SW_p_A,Curve_4_vs_Curve_6_SW_p_B,Curve_4_vs_Curve_6_Stat,Curve_4_vs_Curve_6_Mean_Diff,Curve_4_vs_Curve_6_CI95_Lower,Curve_4_vs_Curve_6_CI95_Upper,Curve_4_vs_Curve_6_Cohen_d,Curve_4_vs_Curve_6_p_raw,Curve_4_vs_Curve_6_Sig_raw,Curve_5_vs_Curve_6_Test,Curve_5_vs_Curve_6_SW_p_A,Curve_5_vs_Curve_6_SW_p_B,Curve_5_vs_Curve_6_Stat,Curve_5_vs_Curve_6_Mean_Diff,Curve_5_vs_Curve_6_CI95_Lower,Curve_5_vs_Curve_6_CI95_Upper,Curve_5_vs_Curve_6_Cohen_d,Curve_5_vs_Curve_6_p_raw,Curve_5_vs_Curve_6_Sig_raw
RAF_NoCritic,RE,20,4.7,0.4702,4.48,4.92,27,4.3333,0.4599,4.1514,4.5153,23,4.5652,0.5069,4.346,4.7844,16,4.3125,0.4425,4.0767,4.5483,20,4.525,0.4993,4.2913,4.7587,24,4.2917,0.4403,4.1058,4.4776,Kruskal-Wallis,12.1446,0.0329,*,Mann-Whitney U,0.0,0.0,373.0,0.3667,0.089,0.6443,0.7898,0.0125,*,Mann-Whitney U,0.0,0.0,261.0,0.1348,-0.1663,0.4359,0.275,0.3752,,Mann-Whitney U,0.0,0.0001,226.0,0.3875,0.077,0.698,0.8457,0.0188,*,Mann-Whitney U,0.0,0.0,237.0,0.175,-0.1355,0.4855,0.3608,0.2484,,Mann-Whitney U,0.0,0.0,342.0,0.4083,0.1287,0.688,0.8993,0.0068,**,Mann-Whitney U,0.0,0.0,237.0,-0.2319,-0.5096,0.0458,-0.4811,0.1051,,Mann-Whitney U,0.0,0.0001,219.0,0.0208,-0.2675,0.3092,0.0459,0.9414,,Mann-Whitney U,0.0,0.0,215.5,-0.1917,-0.4798,0.0965,-0.4018,0.1868,,Mann-Whitney U,0.0,0.0,338.0,0.0417,-0.2119,0.2952,0.0924,0.7621,,Mann-Whitney U,0.0,0.0001,232.0,0.2527,-0.0579,0.5633,0.5245,0.1253,,Mann-Whitney U,0.0,0.0,240.0,0.0402,-0.2704,0.3509,0.0799,0.7909,,Mann-Whitney U,0.0,0.0,353.0,0.2736,-0.0061,0.5532,0.5771,0.0627,,Mann-Whitney U,0.0001,0.0,124.0,-0.2125,-0.5321,0.1071,-0.4473,0.2047,,Mann-Whitney U,0.0001,0.0,198.0,0.0208,-0.2694,0.3111,0.0472,0.8569,,Mann-Whitney U,0.0,0.0,299.0,0.2333,-0.0567,0.5234,0.4987,0.1158,
RAF_NoCritic,CH,20,4.75,1.118,4.2267,5.2733,27,4.6296,1.3344,4.1018,5.1575,23,4.3478,1.7218,3.6033,5.0924,16,4.6562,1.2479,3.9913,5.3212,20,4.75,1.118,4.2267,5.2733,24,4.5625,1.4089,3.9676,5.1574,Kruskal-Wallis,1.774,0.8794,,Mann-Whitney U,0.0,0.0,276.5,0.1204,-0.6018,0.8426,0.0965,0.7605,,Mann-Whitney U,0.0,0.0,248.5,0.4022,-0.4834,1.2877,0.273,0.3838,,Mann-Whitney U,0.0,0.0,171.5,0.0938,-0.7221,0.9096,0.0796,0.465,,Mann-Whitney U,0.0,0.0,200.0,0.0,-0.7157,0.7157,0.0,1.0,,Mann-Whitney U,0.0,0.0,257.5,0.1875,-0.5816,0.9566,0.1459,0.4215,,Mann-Whitney U,0.0,0.0,328.0,0.2818,-0.6095,1.1731,0.1849,0.5243,,Mann-Whitney U,0.0,0.0,226.0,-0.0266,-0.8484,0.7951,-0.0204,0.6356,,Mann-Whitney U,0.0,0.0,263.5,-0.1204,-0.8426,0.6018,-0.0965,0.7605,,Mann-Whitney U,0.0,0.0,339.5,0.0671,-0.7083,0.8425,0.049,0.583,,Mann-Whitney U,0.0,0.0,181.5,-0.3084,-1.2722,0.6554,-0.1993,0.9216,,Mann-Whitney U,0.0,0.0,211.5,-0.4022,-1.2877,0.4834,-0.273,0.3838,,Mann-Whitney U,0.0,0.0,273.0,-0.2147,-1.1426,0.7133,-0.1368,0.9268,,Mann-Whitney U,0.0,0.0,148.5,-0.0938,-0.9096,0.7221,-0.0796,0.465,,Mann-Whitney U,0.0,0.0,192.5,0.0938,-0.7677,0.9552,0.0696,1.0,,Mann-Whitney U,0.0,0.0,257.5,0.1875,-0.5816,0.9566,0.1459,0.4215,
RAF_NoCritic,EM,20,4.05,0.2236,3.9453,4.1547,27,4.037,0.1334,3.9842,4.0898,23,4.0435,0.2085,3.9533,4.1336,16,4.0625,0.1708,3.9715,4.1535,20,4.025,0.1118,3.9727,4.0773,24,4.0417,0.1412,3.9821,4.1013,Kruskal-Wallis,1.1814,0.9467,,Mann-Whitney U,0.0,0.0,264.5,0.013,-0.102,0.1279,0.0732,0.7996,,Mann-Whitney U,0.0,0.0,231.5,0.0065,-0.1275,0.1405,0.0302,0.9468,,Mann-Whitney U,0.0,0.0,149.0,-0.0125,-0.1461,0.1211,-0.0619,0.4855,,Mann-Whitney U,0.0,0.0,200.5,0.025,-0.0895,0.1395,0.1414,1.0,,Mann-Whitney U,0.0,0.0,233.0,0.0083,-0.1094,0.126,0.0455,0.7259,,Mann-Whitney U,0.0,0.0,319.0,-0.0064,-0.1088,0.0959,-0.0375,0.7052,,Mann-Whitney U,0.0,0.0,205.0,-0.0255,-0.1279,0.077,-0.1718,0.6001,,Mann-Whitney U,0.0,0.0,276.5,0.012,-0.0602,0.0843,0.0965,0.7605,,Mann-Whitney U,0.0,0.0,321.0,-0.0046,-0.0823,0.073,-0.0338,0.9193,,Mann-Whitney U,0.0,0.0,170.0,-0.019,-0.1426,0.1046,-0.098,0.4041,,Mann-Whitney U,0.0,0.0,229.0,0.0185,-0.0834,0.1203,0.1083,0.9734,,Mann-Whitney U,0.0,0.0,266.0,0.0018,-0.1037,0.1074,0.0102,0.6332,,Mann-Whitney U,0.0,0.0,172.0,0.0375,-0.0645,0.1395,0.2661,0.4446,,Mann-Whitney U,0.0,0.0,200.0,0.0208,-0.0847,0.1263,0.1357,0.6904,,Mann-Whitney U,0.0,0.0,232.0,-0.0167,-0.0937,0.0603,-0.1295,0.6856,
RAF_NoCritic,SU,20,3.45,0.5104,3.2111,3.6889,27,3.2593,0.4245,3.0913,3.4272,23,3.3043,0.4705,3.1009,3.5078,16,3.1875,0.3594,2.996,3.379,20,3.375,0.4833,3.1488,3.6012,24,3.3333,0.4815,3.13,3.5367,Kruskal-Wallis,3.2061,0.6683,,Mann-Whitney U,0.0,0.0,320.5,0.1907,-0.0938,0.4753,0.4122,0.2009,,Mann-Whitney U,0.0,0.0,263.5,0.1457,-0.1588,0.4501,0.2976,0.3373,,Mann-Whitney U,0.0,0.0,201.0,0.2625,-0.0328,0.5578,0.5832,0.1263,,Mann-Whitney U,0.0,0.0,214.5,0.075,-0.2432,0.3932,0.1509,0.6611,,Mann-Whitney U,0.0,0.0,268.0,0.1167,-0.1878,0.4212,0.2358,0.4423,,Mann-Whitney U,0.0,0.0,301.0,-0.0451,-0.3022,0.2121,-0.1011,0.8266,,Mann-Whitney U,0.0,0.0,230.0,0.0718,-0.1746,0.3181,0.1785,0.6662,,Mann-Whitney U,0.0,0.0,238.0,-0.1157,-0.39,0.1585,-0.2571,0.4152,,Mann-Whitney U,0.0,0.0,304.0,-0.0741,-0.3313,0.1832,-0.1638,0.6497,,Mann-Whitney U,0.0,0.0,201.0,0.1168,-0.1528,0.3865,0.2724,0.549,,Mann-Whitney U,0.0,0.0,211.5,-0.0707,-0.3657,0.2244,-0.1483,0.5977,,Mann-Whitney U,0.0,0.0,268.0,-0.029,-0.3087,0.2507,-0.0609,0.8433,,Mann-Whitney U,0.0,0.0,130.0,-0.1875,-0.4731,0.0981,-0.433,0.2575,,Mann-Whitney U,0.0,0.0,168.0,-0.1458,-0.4156,0.1239,-0.3334,0.418,,Mann-Whitney U,0.0,0.0,252.0,0.0417,-0.2535,0.3368,0.0864,0.7465,
RAF_NoCritic,EG,20,4.4,0.5026,4.1648,4.6352,27,4.0926,0.2786,3.9824,4.2028,23,4.2174,0.4217,4.035,4.3998,16,4.1562,0.3521,3.9686,4.3439,20,4.1,0.3078,3.9559,4.2441,24,4.0833,0.2408,3.9817,4.185,Kruskal-Wallis,9.7462,0.0828,,Mann-Whitney U,0.0,0.0,352.0,0.3074,0.0522,0.5627,0.7897,0.0171,*,Mann-Whitney U,0.0,0.0,272.0,0.1826,-0.1065,0.4717,0.3961,0.2041,,Mann-Whitney U,0.0,0.0,198.0,0.2438,-0.0465,0.534,0.5508,0.1369,,Mann-Whitney U,0.0,0.0,260.0,0.3,0.0314,0.5686,0.7198,0.0319,*,Mann-Whitney U,0.0,0.0,314.0,0.3167,0.0646,0.5687,0.8287,0.0217,*,Mann-Whitney U,0.0,0.0,275.0,-0.1248,-0.3335,0.0839,-0.355,0.2842,,Mann-Whitney U,0.0,0.0,199.5,-0.0637,-0.2755,0.1482,-0.207,0.5041,,Mann-Whitney U,0.0,0.0,272.0,-0.0074,-0.1839,0.1691,-0.0254,0.9519,,Mann-Whitney U,0.0,0.0,321.0,0.0093,-0.1369,0.1554,0.0354,0.9328,,Mann-Whitney U,0.0,0.0,192.0,0.0611,-0.1913,0.3136,0.1548,0.7602,,Mann-Whitney U,0.0,0.0,257.0,0.1174,-0.1083,0.3431,0.3145,0.3131,,Mann-Whitney U,0.0,0.0,306.5,0.1341,-0.0705,0.3386,0.3926,0.3284,,Mann-Whitney U,0.0,0.0,173.0,0.0563,-0.1719,0.2844,0.1715,0.5074,,Mann-Whitney U,0.0,0.0,205.5,0.0729,-0.135,0.2809,0.2516,0.5631,,Mann-Whitney U,0.0,0.0,236.0,0.0167,-0.1549,0.1882,0.061,0.8809,
RAF_NoCritic,CX,20,4.0,0.0,4.0,4.0,27,3.9815,0.2185,3.8951,4.0679,23,4.0,0.0,4.0,4.0,16,4.0938,0.272,3.9488,4.2387,20,3.975,0.2552,3.8556,4.0944,24,4.0625,0.2242,3.9678,4.1572,Kruskal-Wallis,4.9296,0.4245,,Mann-Whitney U,,0.0,270.0,0.0185,-0.0679,0.1049,0.1115,1.0,,Mann-Whitney U,,,230.0,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,0.0,140.0,-0.0938,-0.2387,0.0512,-0.519,0.1179,,Mann-Whitney U,,0.0,200.0,0.025,-0.0944,0.1444,0.1385,1.0,,Mann-Whitney U,,0.0,220.0,-0.0625,-0.1572,0.0322,-0.3767,0.2029,,Mann-Whitney U,0.0,,310.5,-0.0185,-0.1049,0.0679,-0.1152,1.0,,Mann-Whitney U,0.0,0.0,189.5,-0.1123,-0.2764,0.0519,-0.4689,0.1948,,Mann-Whitney U,0.0,0.0,270.0,0.0065,-0.1371,0.1501,0.0276,1.0,,Mann-Whitney U,0.0,0.0,297.5,-0.081,-0.206,0.0439,-0.3663,0.2926,,Mann-Whitney U,,0.0,161.0,-0.0938,-0.2387,0.0512,-0.5414,0.0929,,Mann-Whitney U,,0.0,230.0,0.025,-0.0944,0.1444,0.1439,1.0,,Mann-Whitney U,,0.0,253.0,-0.0625,-0.1572,0.0322,-0.3899,0.171,,Mann-Whitney U,0.0,0.0,179.5,0.1187,-0.0622,0.2997,0.452,0.2676,,Mann-Whitney U,0.0,0.0,200.0,0.0312,-0.1367,0.1992,0.128,0.6908,,Mann-Whitney U,0.0,0.0,220.5,-0.0875,-0.2356,0.0606,-0.3665,0.3692,
RAF_NoCritic,OV,20,4.2617,0.2145,4.1613,4.362,27,4.1025,0.1952,4.0252,4.1797,23,4.1652,0.2326,4.0647,4.2658,16,4.1177,0.1958,4.0134,4.2221,20,4.155,0.2212,4.0515,4.2585,24,4.1181,0.2007,4.0333,4.2028,Kruskal-Wallis,8.4343,0.1339,,Mann-Whitney U,0.0226,0.0035,382.5,0.1592,0.036,0.2825,0.7821,0.0124,*,Mann-Whitney U,0.0226,0.0021,291.0,0.0965,-0.0413,0.2342,0.4299,0.1259,,Mann-Whitney U,0.0226,0.0167,220.0,0.144,0.0046,0.2833,0.6973,0.0495,*,Mann-Whitney U,0.0226,0.0217,251.0,0.1067,-0.0328,0.2461,0.4897,0.1592,,Mann-Whitney U,0.0226,0.0001,334.5,0.1436,0.0161,0.2711,0.6938,0.0194,*,Mann-Whitney U,0.0035,0.0021,267.5,-0.0628,-0.1865,0.0609,-0.2944,0.3781,,Mann-Whitney U,0.0035,0.0167,206.5,-0.0152,-0.141,0.1105,-0.078,0.8091,,Mann-Whitney U,0.0035,0.0217,223.0,-0.0525,-0.1783,0.0732,-0.2543,0.2901,,Mann-Whitney U,0.0035,0.0001,315.0,-0.0156,-0.1273,0.0962,-0.0788,0.8602,,Mann-Whitney U,0.0021,0.0167,200.5,0.0475,-0.0923,0.1873,0.2175,0.6253,,Mann-Whitney U,0.0021,0.0217,224.0,0.0102,-0.1297,0.1501,0.045,0.8878,,Mann-Whitney U,0.0021,0.0001,311.0,0.0472,-0.0808,0.1751,0.2175,0.4195,,Mann-Whitney U,0.0167,0.0217,137.5,-0.0373,-0.1788,0.1042,-0.1772,0.4602,,Mann-Whitney U,0.0167,0.0001,198.0,-0.0003,-0.1302,0.1295,-0.0017,0.8658,,Mann-Whitney U,0.0217,0.0001,273.0,0.0369,-0.093,0.1668,0.1758,0.4054,
RAF_Critic,RE,21,4.8333,0.3651,4.6671,4.9995,17,4.2059,0.3976,4.0015,4.4103,16,4.8125,0.4031,4.5977,5.0273,18,4.2778,0.4609,4.0486,4.507,18,4.7222,0.4609,4.493,4.9514,21,4.2619,0.4364,4.0632,4.4606,Kruskal-Wallis,33.8872,0.0,***,Mann-Whitney U,0.0,0.0,296.5,0.6275,0.3729,0.882,1.6516,0.0001,***,Mann-Whitney U,0.0,0.0,169.0,0.0208,-0.2413,0.283,0.0546,0.982,,Mann-Whitney U,0.0,0.0,296.0,0.5556,0.2812,0.8299,1.3487,0.0005,***,Mann-Whitney U,0.0,0.0,208.0,0.1111,-0.1632,0.3854,0.2697,0.4768,,Mann-Whitney U,0.0,0.0,352.5,0.5714,0.3202,0.8226,1.4201,0.0002,***,Mann-Whitney U,0.0,0.0,51.0,-0.6066,-0.8912,-0.3221,-1.5155,0.0005,***,Mann-Whitney U,0.0,0.0,144.0,-0.0719,-0.3675,0.2237,-0.1667,0.7123,,Mann-Whitney U,0.0,0.0,72.0,-0.5163,-0.812,-0.2207,-1.197,0.0024,**,Mann-Whitney U,0.0,0.0,168.5,-0.056,-0.331,0.219,-0.1335,0.7167,,Mann-Whitney U,0.0,0.0,221.0,0.5347,0.2329,0.8366,1.2299,0.0023,**,Mann-Whitney U,0.0,0.0,157.0,0.0903,-0.2116,0.3921,0.2076,0.5574,,Mann-Whitney U,0.0,0.0,263.0,0.5506,0.2687,0.8325,1.3033,0.001,***,Mann-Whitney U,0.0,0.0,90.0,-0.4444,-0.7567,-0.1322,-0.9643,0.009,**,Mann-Whitney U,0.0,0.0,190.0,0.0159,-0.2773,0.309,0.0354,0.9857,,Mann-Whitney U,0.0,0.0,278.0,0.4603,0.1671,0.7535,1.0279,0.0044,**
RAF_Critic,CH,21,4.2857,1.7928,3.4696,5.1018,17,4.4118,1.6605,3.558,5.2655,16,4.0625,2.0156,2.9885,5.1365,18,5.0,0.0,5.0,5.0,18,4.4444,1.6169,3.6404,5.2485,21,4.7619,1.0911,4.2652,5.2586,Kruskal-Wallis,4.5079,0.4788,,Mann-Whitney U,0.0,0.0,174.0,-0.1261,-1.2656,1.0135,-0.0726,0.8411,,Mann-Whitney U,0.0,0.0,175.5,0.2232,-1.0791,1.5256,0.118,0.7369,,Mann-Whitney U,0.0,,162.0,-0.7143,-1.5304,0.1018,-0.5419,0.1059,,Mann-Whitney U,0.0,0.0,183.0,-0.1587,-1.2655,0.948,-0.0926,0.7891,,Mann-Whitney U,0.0,0.0,199.5,-0.4762,-1.4079,0.4556,-0.3209,0.3106,,Mann-Whitney U,0.0,0.0,145.5,0.3493,-0.9698,1.6683,0.1897,0.6018,,Mann-Whitney U,0.0,,135.0,-0.5882,-1.442,0.2655,-0.5087,0.151,,Mann-Whitney U,0.0,0.0,152.0,-0.0327,-1.1611,1.0957,-0.0199,0.9761,,Mann-Whitney U,0.0,0.0,166.0,-0.3501,-1.3109,0.6106,-0.2549,0.4508,,Mann-Whitney U,0.0,,117.0,-0.9375,-2.0115,0.1365,-0.6794,0.0628,,Mann-Whitney U,0.0,0.0,133.0,-0.3819,-1.6745,0.9107,-0.2105,0.555,,Mann-Whitney U,0.0,0.0,144.5,-0.6994,-1.8563,0.4575,-0.4495,0.19,,Mann-Whitney U,,0.0,180.0,0.5556,-0.2485,1.3596,0.4859,0.163,,Mann-Whitney U,,0.0,198.0,0.2381,-0.2586,0.7348,0.2968,0.3819,,Mann-Whitney U,0.0,0.0,177.0,-0.3175,-1.2364,0.6015,-0.2337,0.4829,
RAF_Critic,EM,21,4.0238,0.1091,3.9741,4.0735,17,4.0294,0.1213,3.9671,4.0918,16,4.0625,0.25,3.9293,4.1957,18,4.0,0.0,4.0,4.0,18,4.0,0.0,4.0,4.0,21,4.0238,0.1091,3.9741,4.0735,Kruskal-Wallis,2.0842,0.8374,,Mann-Whitney U,0.0,0.0,176.5,-0.0056,-0.0826,0.0714,-0.0489,0.9094,,Mann-Whitney U,0.0,0.0,165.0,-0.0387,-0.1785,0.1011,-0.2111,0.845,,Mann-Whitney U,0.0,,198.0,0.0238,-0.0259,0.0735,0.2968,0.3819,,Mann-Whitney U,0.0,,198.0,0.0238,-0.0259,0.0735,0.2968,0.3819,,Mann-Whitney U,0.0,0.0,220.5,0.0,-0.0681,0.0681,0.0,1.0,,Mann-Whitney U,0.0,0.0,135.0,-0.0331,-0.1766,0.1104,-0.1701,0.9653,,Mann-Whitney U,0.0,,162.0,0.0294,-0.0329,0.0918,0.3483,0.3311,,Mann-Whitney U,0.0,,162.0,0.0294,-0.0329,0.0918,0.3483,0.3311,,Mann-Whitney U,0.0,0.0,180.5,0.0056,-0.0714,0.0826,0.0489,0.9094,,Mann-Whitney U,0.0,,153.0,0.0625,-0.0707,0.1957,0.3651,0.3165,,Mann-Whitney U,0.0,,153.0,0.0625,-0.0707,0.1957,0.3651,0.3165,,Mann-Whitney U,0.0,0.0,171.0,0.0387,-0.1011,0.1785,0.2111,0.845,,Mann-Whitney U,,,162.0,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,0.0,180.0,-0.0238,-0.0735,0.0259,-0.2968,0.3819,,Mann-Whitney U,,0.0,180.0,-0.0238,-0.0735,0.0259,-0.2968,0.3819,
