Method,Metric,Curve_1_N,Curve_1_Mean,Curve_1_SD,Curve_1_CI95_Lower,Curve_1_CI95_Upper,Curve_2_N,Curve_2_Mean,Curve_2_SD,Curve_2_CI95_Lower,Curve_2_CI95_Upper,Curve_3_N,Curve_3_Mean,Curve_3_SD,Curve_3_CI95_Lower,Curve_3_CI95_Upper,Curve_4_N,Curve_4_Mean,Curve_4_SD,Curve_4_CI95_Lower,Curve_4_CI95_Upper,Curve_5_N,Curve_5_Mean,Curve_5_SD,Curve_5_CI95_Lower,Curve_5_CI95_Upper,Curve_6_N,Curve_6_Mean,Curve_6_SD,Curve_6_CI95_Lower,Curve_6_CI95_Upper,Omnibus_Test,Omnibus_Stat,Omnibus_p,Omnibus_Sig,Curve_1_vs_Curve_2_Test,Curve_1_vs_Curve_2_SW_p_A,Curve_1_vs_Curve_2_SW_p_B,Curve_1_vs_Curve_2_Stat,Curve_1_vs_Curve_2_Mean_Diff,Curve_1_vs_Curve_2_CI95_Lower,Curve_1_vs_Curve_2_CI95_Upper,Curve_1_vs_Curve_2_Cohen_d,Curve_1_vs_Curve_2_p_raw,Curve_1_vs_Curve_2_Sig_raw,Curve_1_vs_Curve_3_Test,Curve_1_vs_Curve_3_SW_p_A,Curve_1_vs_Curve_3_SW_p_B,Curve_1_vs_Curve_3_Stat,Curve_1_vs_Curve_3_Mean_Diff,Curve_1_vs_Curve_3_CI95_Lower,Curve_1_vs_Curve_3_CI95_Upper,Curve_1_vs_Curve_3_Cohen_d,Curve_1_vs_Curve_3_p_raw,Curve_1_vs_Curve_3_Sig_raw,Curve_1_vs_Curve_4_Test,Curve_1_vs_Curve_4_SW_p_A,Curve_1_vs_Curve_4_SW_p_B,Curve_1_vs_Curve_4_Stat,Curve_1_vs_Curve_4_Mean_Diff,Curve_1_vs_Curve_4_CI95_Lower,Curve_1_vs_Curve_4_CI95_Upper,Curve_1_vs_Curve_4_Cohen_d,Curve_1_vs_Curve_4_p_raw,Curve_1_vs_Curve_4_Sig_raw,Curve_1_vs_Curve_5_Test,Curve_1_vs_Curve_5_SW_p_A,Curve_1_vs_Curve_5_SW_p_B,Curve_1_vs_Curve_5_Stat,Curve_1_vs_Curve_5_Mean_Diff,Curve_1_vs_Curve_5_CI95_Lower,Curve_1_vs_Curve_5_CI95_Upper,Curve_1_vs_Curve_5_Cohen_d,Curve_1_vs_Curve_5_p_raw,Curve_1_vs_Curve_5_Sig_raw,Curve_1_vs_Curve_6_Test,Curve_1_vs_Curve_6_SW_p_A,Curve_1_vs_Curve_6_SW_p_B,Curve_1_vs_Curve_6_Stat,Curve_1_vs_Curve_6_Mean_Diff,Curve_1_vs_Curve_6_CI95_Lower,Curve_1_vs_Curve_6_CI95_Upper,Curve_1_vs_Curve_6_Cohen_d,Curve_1_vs_Curve_6_p_raw,Curve_1_vs_Curve_6_Sig_raw,Curve_2_vs_Curve_3_Test,Curve_2_vs_Curve_3_SW_p_A,Curve_2_vs_Curve_3_SW_p_B,Curve_2_vs_Curve_3_Stat,Curve_2_vs_Curve_3_Mean_Diff,Curve_2_vs_Curve_3_CI95_Lower,Curve_2_vs_Curve_3_CI95_Upper,Curve_2_vs_Curve_3_Cohen_d,Curve_2_vs_Curve_3_p_raw,Curve_2_vs_Curve_3_Sig_raw,Curve_2_vs_Curve_4_Test,Curve_2_vs_Curve_4_SW_p_A,Curve_2_vs_Curve_4_SW_p_B,Curve_2_vs_Curve_4_Stat,Curve_2_vs_Curve_4_Mean_Diff,Curve_2_vs_Curve_4_CI95_Lower,Curve_2_vs_Curve_4_CI95_Upper,Curve_2_vs_Curve_4_Cohen_d,Curve_2_vs_Curve_4_p_raw,Curve_2_vs_Curve_4_Sig_raw,Curve_2_vs_Curve_5_Test,Curve_2_vs_Curve_5_SW_p_A,Curve_2_vs_Curve_5_SW_p_B,Curve_2_vs_Curve_5_Stat,Curve_2_vs_Curve_5_Mean_Diff,Curve_2_vs_Curve_5_CI95_Lower,Curve_2_vs_Curve_5_CI95_Upper,Curve_2_vs_Curve_5_Cohen_d,Curve_2_vs_Curve_5_p_raw,Curve_2_vs_Curve_5_Sig_raw,Curve_2_vs_Curve_6_Test,Curve_2_vs_Curve_6_SW_p_A,Curve_2_vs_Curve_6_SW_p_B,Curve_2_vs_Curve_6_Stat,Curve_2_vs_Curve_6_Mean_Diff,Curve_2_vs_Curve_6_CI95_Lower,Curve_2_vs_Curve_6_CI95_Upper,Curve_2_vs_Curve_6_Cohen_d,Curve_2_vs_Curve_6_p_raw,Curve_2_vs_Curve_6_Sig_raw,Curve_3_vs_Curve_4_Test,Curve_3_vs_Curve_4_SW_p_A,Curve_3_vs_Curve_4_SW_p_B,Curve_3_vs_Curve_4_Stat,Curve_3_vs_Curve_4_Mean_Diff,Curve_3_vs_Curve_4_CI95_Lower,Curve_3_vs_Curve_4_CI95_Upper,Curve_3_vs_Curve_4_Cohen_d,Curve_3_vs_Curve_4_p_raw,Curve_3_vs_Curve_4_Sig_raw,Curve_3_vs_Curve_5_Test,Curve_3_vs_Curve_5_SW_p_A,Curve_3_vs_Curve_5_SW_p_B,Curve_3_vs_Curve_5_Stat,Curve_3_vs_Curve_5_Mean_Diff,Curve_3_vs_Curve_5_CI95_Lower,Curve_3_vs_Curve_5_CI95_Upper,Curve_3_vs_Curve_5_Cohen_d,Curve_3_vs_Curve_5_p_raw,Curve_3_vs_Curve_5_Sig_raw,Curve_3_vs_Curve_6_Test,Curve_3_vs_Curve_6_SW_p_A,Curve_3_vs_Curve_6_SW_p_B,Curve_3_vs_Curve_6_Stat,Curve_3_vs_Curve_6_Mean_Diff,Curve_3_vs_Curve_6_CI95_Lower,Curve_3_vs_Curve_6_CI95_Upper,Curve_3_vs_Curve_6_Cohen_d,Curve_3_vs_Curve_6_p_raw,Curve_3_vs_Curve_6_Sig_raw,Curve_4_vs_Curve_5_Test,Curve_4_vs_Curve_5_SW_p_A,Curve_4_vs_Curve_5_SW_p_B,Curve_4_vs_Curve_5_Stat,Curve_4_vs_Curve_5_Mean_Diff,Curve_4_vs_Curve_5_CI95_Lower,Curve_4_vs_Curve_5_CI95_Upper,Curve_4_vs_Curve_5_Cohen_d,Curve_4_vs_Curve_5_p_raw,Curve_4_vs_Curve_5_Sig_raw,Curve_4_vs_Curve_6_Test,Curve_4_vs_Curve_6_SW_p_A,Curve_4_vs_Curve_6_SW_p_B,Curve_4_vs_Curve_6_Stat,Curve_4_vs_Curve_6_Mean_Diff,Curve_4_vs_Curve_6_CI95_Lower,Curve_4_vs_Curve_6_CI95_Upper,Curve_4_vs_Curve_6_Cohen_d,Curve_4_vs_Curve_6_p_raw,Curve_4_vs_Curve_6_Sig_raw,Curve_5_vs_Curve_6_Test,Curve_5_vs_Curve_6_SW_p_A,Curve_5_vs_Curve_6_SW_p_B,Curve_5_vs_Curve_6_Stat,Curve_5_vs_Curve_6_Mean_Diff,Curve_5_vs_Curve_6_CI95_Lower,Curve_5_vs_Curve_6_CI95_Upper,Curve_5_vs_Curve_6_Cohen_d,Curve_5_vs_Curve_6_p_raw,Curve_5_vs_Curve_6_Sig_raw
RAF_NoCritic,RE,9,4.8889,0.3333,4.6327,5.1451,9,4.6667,0.433,4.3338,4.9995,9,4.8889,0.3333,4.6327,5.1451,9,4.4444,0.464,4.0878,4.8011,9,4.7222,0.441,4.3833,5.0612,9,4.6667,0.433,4.3338,4.9995,Kruskal-Wallis,8.0622,0.1528,,Mann-Whitney U,0.0,0.0052,53.0,0.2222,-0.166,0.6104,0.5751,0.1781,,Mann-Whitney U,0.0,0.0,40.5,0.0,-0.3331,0.3331,0.0,1.0,,Mann-Whitney U,0.0,0.0119,62.0,0.4444,0.0374,0.8515,1.1002,0.0324,*,Mann-Whitney U,0.0,0.0005,49.0,0.1667,-0.2263,0.5596,0.4264,0.3302,,Mann-Whitney U,0.0,0.0052,53.0,0.2222,-0.166,0.6104,0.5751,0.1781,,Mann-Whitney U,0.0052,0.0,28.0,-0.2222,-0.6104,0.166,-0.5751,0.1781,,Mann-Whitney U,0.0052,0.0119,51.5,0.2222,-0.2264,0.6709,0.4952,0.3193,,Mann-Whitney U,0.0052,0.0005,37.0,-0.0556,-0.4923,0.3812,-0.1271,0.761,,Mann-Whitney U,0.0052,0.0052,40.5,0.0,-0.4327,0.4327,0.0,1.0,,Mann-Whitney U,0.0,0.0119,62.0,0.4444,0.0374,0.8515,1.1002,0.0324,*,Mann-Whitney U,0.0,0.0005,49.0,0.1667,-0.2263,0.5596,0.4264,0.3302,,Mann-Whitney U,0.0,0.0052,53.0,0.2222,-0.166,0.6104,0.5751,0.1781,,Mann-Whitney U,0.0119,0.0005,27.0,-0.2778,-0.7302,0.1746,-0.6137,0.2093,,Mann-Whitney U,0.0119,0.0052,29.5,-0.2222,-0.6709,0.2264,-0.4952,0.3193,,Mann-Whitney U,0.0005,0.0052,44.0,0.0556,-0.3812,0.4923,0.1271,0.761,
RAF_NoCritic,CH,9,5.0,0.0,5.0,5.0,9,5.0,0.0,5.0,5.0,9,5.0,0.0,5.0,5.0,9,4.9444,0.1667,4.8163,5.0726,9,5.0,0.0,5.0,5.0,9,4.9444,0.1667,4.8163,5.0726,Kruskal-Wallis,4.0769,0.5384,,Mann-Whitney U,,,40.5,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,40.5,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,0.0,45.0,0.0556,-0.0726,0.1837,0.4714,0.3741,,Mann-Whitney U,,,40.5,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,0.0,45.0,0.0556,-0.0726,0.1837,0.4714,0.3741,,Mann-Whitney U,,,40.5,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,0.0,45.0,0.0556,-0.0726,0.1837,0.4714,0.3741,,Mann-Whitney U,,,40.5,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,0.0,45.0,0.0556,-0.0726,0.1837,0.4714,0.3741,,Mann-Whitney U,,0.0,45.0,0.0556,-0.0726,0.1837,0.4714,0.3741,,Mann-Whitney U,,,40.5,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,0.0,45.0,0.0556,-0.0726,0.1837,0.4714,0.3741,,Mann-Whitney U,0.0,,36.0,-0.0556,-0.1837,0.0726,-0.4714,0.3741,,Mann-Whitney U,0.0,0.0,40.5,0.0,-0.1666,0.1666,0.0,1.0,,Mann-Whitney U,,0.0,45.0,0.0556,-0.0726,0.1837,0.4714,0.3741,
RAF_NoCritic,EM,9,4.1111,0.3333,3.8549,4.3673,9,4.1111,0.2205,3.9416,4.2806,9,4.1111,0.3333,3.8549,4.3673,9,4.1111,0.2205,3.9416,4.2806,9,4.0556,0.1667,3.9274,4.1837,9,4.1111,0.2205,3.9416,4.2806,Kruskal-Wallis,0.8642,0.9728,,Mann-Whitney U,0.0,0.0,37.0,0.0,-0.286,0.286,0.0,0.6831,,Mann-Whitney U,0.0,0.0,40.5,0.0,-0.3331,0.3331,0.0,1.0,,Mann-Whitney U,0.0,0.0,37.0,0.0,-0.286,0.286,0.0,0.6831,,Mann-Whitney U,0.0,0.0,41.0,0.0556,-0.2157,0.3268,0.2108,1.0,,Mann-Whitney U,0.0,0.0,37.0,0.0,-0.286,0.286,0.0,0.6831,,Mann-Whitney U,0.0,0.0,44.0,0.0,-0.286,0.286,0.0,0.6831,,Mann-Whitney U,0.0,0.0,40.5,0.0,-0.2203,0.2203,0.0,1.0,,Mann-Whitney U,0.0,0.0,45.0,0.0556,-0.1409,0.252,0.2843,0.5848,,Mann-Whitney U,0.0,0.0,40.5,0.0,-0.2203,0.2203,0.0,1.0,,Mann-Whitney U,0.0,0.0,37.0,0.0,-0.286,0.286,0.0,0.6831,,Mann-Whitney U,0.0,0.0,41.0,0.0556,-0.2157,0.3268,0.2108,1.0,,Mann-Whitney U,0.0,0.0,37.0,0.0,-0.286,0.286,0.0,0.6831,,Mann-Whitney U,0.0,0.0,45.0,0.0556,-0.1409,0.252,0.2843,0.5848,,Mann-Whitney U,0.0,0.0,40.5,0.0,-0.2203,0.2203,0.0,1.0,,Mann-Whitney U,0.0,0.0,36.0,-0.0556,-0.252,0.1409,-0.2843,0.5848,
RAF_NoCritic,SU,9,3.7778,0.441,3.4388,4.1167,9,3.5556,0.464,3.1989,3.9122,9,3.7778,0.441,3.4388,4.1167,9,3.3333,0.433,3.0005,3.6662,9,3.7222,0.441,3.3833,4.0612,9,3.7778,0.441,3.4388,4.1167,Kruskal-Wallis,8.047,0.1537,,Mann-Whitney U,0.0,0.0119,52.0,0.2222,-0.2302,0.6746,0.491,0.2624,,Mann-Whitney U,0.0,0.0,40.5,0.0,-0.4407,0.4407,0.0,1.0,,Mann-Whitney U,0.0,0.0052,61.0,0.4444,0.0077,0.8812,1.017,0.0508,,Mann-Whitney U,0.0,0.0005,44.0,0.0556,-0.3851,0.4962,0.126,0.7353,,Mann-Whitney U,0.0,0.0,40.5,0.0,-0.4407,0.4407,0.0,1.0,,Mann-Whitney U,0.0119,0.0,29.0,-0.2222,-0.6746,0.2302,-0.491,0.2624,,Mann-Whitney U,0.0119,0.0052,51.5,0.2222,-0.2264,0.6709,0.4952,0.3193,,Mann-Whitney U,0.0119,0.0005,32.0,-0.1667,-0.6191,0.2857,-0.3682,0.4311,,Mann-Whitney U,0.0119,0.0,29.0,-0.2222,-0.6746,0.2302,-0.491,0.2624,,Mann-Whitney U,0.0,0.0052,61.0,0.4444,0.0077,0.8812,1.017,0.0508,,Mann-Whitney U,0.0,0.0005,44.0,0.0556,-0.3851,0.4962,0.126,0.7353,,Mann-Whitney U,0.0,0.0,40.5,0.0,-0.4407,0.4407,0.0,1.0,,Mann-Whitney U,0.0052,0.0005,22.0,-0.3889,-0.8256,0.0478,-0.8899,0.085,,Mann-Whitney U,0.0052,0.0,20.0,-0.4444,-0.8812,-0.0077,-1.017,0.0508,,Mann-Whitney U,0.0005,0.0,37.0,-0.0556,-0.4962,0.3851,-0.126,0.7353,
RAF_NoCritic,EG,9,4.7778,0.441,4.4388,5.1167,9,4.2778,0.441,3.9388,4.6167,9,4.5556,0.527,4.1504,4.9607,9,4.2778,0.441,3.9388,4.6167,9,4.2222,0.441,3.8833,4.5612,9,4.2222,0.3632,3.943,4.5014,Kruskal-Wallis,9.8442,0.0798,,Mann-Whitney U,0.0,0.0005,62.0,0.5,0.0593,0.9407,1.1339,0.0369,*,Mann-Whitney U,0.0,0.0004,49.5,0.2222,-0.2646,0.709,0.4573,0.3587,,Mann-Whitney U,0.0,0.0005,62.0,0.5,0.0593,0.9407,1.1339,0.0369,*,Mann-Whitney U,0.0,0.0,63.0,0.5556,0.1149,0.9962,1.2599,0.0251,*,Mann-Whitney U,0.0,0.0009,65.5,0.5556,0.1506,0.9605,1.3752,0.0173,*,Mann-Whitney U,0.0005,0.0004,29.0,-0.2778,-0.7646,0.209,-0.5717,0.2689,,Mann-Whitney U,0.0005,0.0005,40.5,0.0,-0.4407,0.4407,0.0,1.0,,Mann-Whitney U,0.0005,0.0,44.0,0.0556,-0.3851,0.4962,0.126,0.7353,,Mann-Whitney U,0.0005,0.0009,42.0,0.0556,-0.3494,0.4605,0.1375,0.9157,,Mann-Whitney U,0.0004,0.0005,52.0,0.2778,-0.209,0.7646,0.5717,0.2689,,Mann-Whitney U,0.0004,0.0,54.0,0.3333,-0.1535,0.8202,0.686,0.1747,,Mann-Whitney U,0.0004,0.0009,54.5,0.3333,-0.1237,0.7903,0.7365,0.1806,,Mann-Whitney U,0.0005,0.0,44.0,0.0556,-0.3851,0.4962,0.126,0.7353,,Mann-Whitney U,0.0005,0.0009,42.0,0.0556,-0.3494,0.4605,0.1375,0.9157,,Mann-Whitney U,0.0,0.0009,38.0,0.0,-0.4049,0.4049,0.0,0.8224,
RAF_NoCritic,CX,9,4.0,0.0,4.0,4.0,9,4.0556,0.1667,3.9274,4.1837,9,4.0,0.0,4.0,4.0,9,4.1667,0.3536,3.8949,4.4384,9,4.0556,0.1667,3.9274,4.1837,9,4.1667,0.3536,3.8949,4.4384,Kruskal-Wallis,4.5722,0.4703,,Mann-Whitney U,,0.0,36.0,-0.0556,-0.1837,0.0726,-0.4714,0.3741,,Mann-Whitney U,,,40.5,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,0.0,31.5,-0.1667,-0.4384,0.1051,-0.6667,0.1693,,Mann-Whitney U,,0.0,36.0,-0.0556,-0.1837,0.0726,-0.4714,0.3741,,Mann-Whitney U,,0.0,31.5,-0.1667,-0.4384,0.1051,-0.6667,0.1693,,Mann-Whitney U,0.0,,45.0,0.0556,-0.0726,0.1837,0.4714,0.3741,,Mann-Whitney U,0.0,0.0,35.5,-0.1111,-0.3967,0.1745,-0.402,0.5403,,Mann-Whitney U,0.0,0.0,40.5,0.0,-0.1666,0.1666,0.0,1.0,,Mann-Whitney U,0.0,0.0,35.5,-0.1111,-0.3967,0.1745,-0.402,0.5403,,Mann-Whitney U,,0.0,31.5,-0.1667,-0.4384,0.1051,-0.6667,0.1693,,Mann-Whitney U,,0.0,36.0,-0.0556,-0.1837,0.0726,-0.4714,0.3741,,Mann-Whitney U,,0.0,31.5,-0.1667,-0.4384,0.1051,-0.6667,0.1693,,Mann-Whitney U,0.0,0.0,45.5,0.1111,-0.1745,0.3967,0.402,0.5403,,Mann-Whitney U,0.0,0.0,40.5,0.0,-0.3533,0.3533,0.0,1.0,,Mann-Whitney U,0.0,0.0,35.5,-0.1111,-0.3967,0.1745,-0.402,0.5403,
RAF_NoCritic,OV,9,4.4259,0.169,4.2961,4.5558,9,4.2778,0.1863,4.1345,4.421,9,4.3889,0.2041,4.232,4.5458,9,4.213,0.2003,4.059,4.3669,9,4.2963,0.1821,4.1563,4.4363,9,4.3148,0.1899,4.1688,4.4608,Kruskal-Wallis,7.5876,0.1805,,Mann-Whitney U,0.045,0.1024,59.0,0.1482,-0.0297,0.326,0.8331,0.0968,,Mann-Whitney U,0.045,0.2863,44.5,0.037,-0.1507,0.2248,0.1977,0.7399,,Mann-Whitney U,0.045,0.1446,63.5,0.213,0.0274,0.3986,1.1493,0.039,*,Mann-Whitney U,0.045,0.0138,57.5,0.1297,-0.046,0.3053,0.738,0.1254,,Mann-Whitney U,0.045,0.0212,56.5,0.1111,-0.0687,0.291,0.6182,0.1556,,Welch's t,0.1024,0.2863,-1.2062,-0.1111,-0.3066,0.0843,-0.5686,0.2454,,Welch's t,0.1024,0.1446,0.7106,0.0648,-0.1286,0.2582,0.335,0.4876,,Mann-Whitney U,0.1024,0.0138,38.0,-0.0185,-0.2026,0.1656,-0.1005,0.8486,,Mann-Whitney U,0.1024,0.0212,34.0,-0.037,-0.2251,0.151,-0.1969,0.5808,,Welch's t,0.2863,0.1446,1.8454,0.1759,-0.0262,0.378,0.8699,0.0836,,Mann-Whitney U,0.2863,0.0138,53.0,0.0926,-0.1009,0.2861,0.4787,0.2645,,Mann-Whitney U,0.2863,0.0212,51.0,0.0741,-0.123,0.2712,0.3757,0.3619,,Mann-Whitney U,0.1446,0.0138,29.5,-0.0833,-0.2748,0.1081,-0.4352,0.3368,,Mann-Whitney U,0.1446,0.0212,28.5,-0.1018,-0.2969,0.0933,-0.5218,0.2992,,Mann-Whitney U,0.0138,0.0212,35.5,-0.0185,-0.2045,0.1674,-0.0996,0.6739,
RAF_Critic,RE,9,4.9444,0.1667,4.8163,5.0726,9,4.2778,0.441,3.9388,4.6167,9,4.8889,0.3333,4.6327,5.1451,9,4.5556,0.527,4.1504,4.9607,9,4.7778,0.441,4.4388,5.1167,9,4.3889,0.4859,4.0154,4.7624,Kruskal-Wallis,15.4453,0.0086,**,Mann-Whitney U,0.0,0.0005,70.5,0.6667,0.3177,1.0157,2.0,0.0034,**,Mann-Whitney U,0.0,0.0,41.0,0.0556,-0.2157,0.3268,0.2108,1.0,,Mann-Whitney U,0.0,0.0004,56.0,0.3889,-0.0241,0.8019,0.9949,0.091,,Mann-Whitney U,0.0,0.0,46.0,0.1667,-0.1823,0.5157,0.5,0.4962,,Mann-Whitney U,0.0,0.0019,65.5,0.5556,0.1733,0.9378,1.5294,0.0126,*,Mann-Whitney U,0.0005,0.0,14.0,-0.6111,-1.0041,-0.2181,-1.5635,0.009,**,Mann-Whitney U,0.0005,0.0004,29.0,-0.2778,-0.7646,0.209,-0.5717,0.2689,,Mann-Whitney U,0.0005,0.0,19.0,-0.5,-0.9407,-0.0593,-1.1339,0.0369,*,Mann-Whitney U,0.0005,0.0019,35.5,-0.1111,-0.5751,0.3529,-0.2395,0.6466,,Mann-Whitney U,0.0,0.0004,54.0,0.3333,-0.114,0.7807,0.7559,0.1396,,Mann-Whitney U,0.0,0.0,45.0,0.1111,-0.2819,0.5041,0.2843,0.5848,,Mann-Whitney U,0.0,0.0019,62.5,0.5,0.0792,0.9208,1.2,0.027,*,Mann-Whitney U,0.0004,0.0,31.5,-0.2222,-0.709,0.2646,-0.4573,0.3587,,Mann-Whitney U,0.0004,0.0019,47.5,0.1667,-0.3402,0.6735,0.3288,0.5183,,Mann-Whitney U,0.0,0.0019,57.5,0.3889,-0.0751,0.8529,0.8382,0.0973,
RAF_Critic,CH,9,4.4444,1.6667,3.1633,5.7256,9,5.0,0.0,5.0,5.0,9,3.8889,2.2048,2.1941,5.5836,9,5.0,0.0,5.0,5.0,9,5.0,0.0,5.0,5.0,9,5.0,0.0,5.0,5.0,Kruskal-Wallis,7.2745,0.201,,Mann-Whitney U,0.0,,36.0,-0.5556,-1.8367,0.7256,-0.4714,0.3741,,Mann-Whitney U,0.0,0.0,45.0,0.5556,-1.4094,2.5205,0.2843,0.5848,,Mann-Whitney U,0.0,,36.0,-0.5556,-1.8367,0.7256,-0.4714,0.3741,,Mann-Whitney U,0.0,,36.0,-0.5556,-1.8367,0.7256,-0.4714,0.3741,,Mann-Whitney U,0.0,,36.0,-0.5556,-1.8367,0.7256,-0.4714,0.3741,,Mann-Whitney U,,0.0,49.5,1.1111,-0.5836,2.8059,0.7127,0.1686,,Mann-Whitney U,,,40.5,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,40.5,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,40.5,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,0.0,,31.5,-1.1111,-2.8059,0.5836,-0.7127,0.1686,,Mann-Whitney U,0.0,,31.5,-1.1111,-2.8059,0.5836,-0.7127,0.1686,,Mann-Whitney U,0.0,,31.5,-1.1111,-2.8059,0.5836,-0.7127,0.1686,,Mann-Whitney U,,,40.5,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,40.5,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,40.5,0.0,0.0,0.0,0.0,1.0,
RAF_Critic,EM,9,4.0556,0.1667,3.9274,4.1837,9,4.0556,0.1667,3.9274,4.1837,9,4.1111,0.3333,3.8549,4.3673,9,4.0,0.0,4.0,4.0,9,4.0,0.0,4.0,4.0,9,4.0556,0.1667,3.9274,4.1837,Kruskal-Wallis,2.1242,0.8317,,Mann-Whitney U,0.0,0.0,40.5,0.0,-0.1666,0.1666,0.0,1.0,,Mann-Whitney U,0.0,0.0,40.0,-0.0556,-0.3268,0.2157,-0.2108,1.0,,Mann-Whitney U,0.0,,45.0,0.0556,-0.0726,0.1837,0.4714,0.3741,,Mann-Whitney U,0.0,,45.0,0.0556,-0.0726,0.1837,0.4714,0.3741,,Mann-Whitney U,0.0,0.0,40.5,0.0,-0.1666,0.1666,0.0,1.0,,Mann-Whitney U,0.0,0.0,40.0,-0.0556,-0.3268,0.2157,-0.2108,1.0,,Mann-Whitney U,0.0,,45.0,0.0556,-0.0726,0.1837,0.4714,0.3741,,Mann-Whitney U,0.0,,45.0,0.0556,-0.0726,0.1837,0.4714,0.3741,,Mann-Whitney U,0.0,0.0,40.5,0.0,-0.1666,0.1666,0.0,1.0,,Mann-Whitney U,0.0,,45.0,0.1111,-0.1451,0.3673,0.4714,0.3741,,Mann-Whitney U,0.0,,45.0,0.1111,-0.1451,0.3673,0.4714,0.3741,,Mann-Whitney U,0.0,0.0,41.0,0.0556,-0.2157,0.3268,0.2108,1.0,,Mann-Whitney U,,,40.5,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,0.0,36.0,-0.0556,-0.1837,0.0726,-0.4714,0.3741,,Mann-Whitney U,,0.0,36.0,-0.0556,-0.1837,0.0726,-0.4714,0.3741,
