Curve_Type,Metric,RAF_NoCritic,RAF_Critic,AVL_NoCritic,AVL_Critic
Curve_1,Count,20.0,21.0,25.0,17.0
Curve_1,RE,4.7185,4.8611,4.4762,4.7182
Curve_1,CH,4.8148,4.3981,5.0,4.7341
Curve_1,EM,4.0556,4.0185,4.037,4.0278
Curve_1,SU,3.437,3.5556,3.3545,3.4682
Curve_1,EG,4.3815,4.2222,4.2698,4.4127
Curve_1,CX,4.0,4.0185,4.0,4.0278
Curve_1,OV,4.2617,4.2633,4.1896,4.2664
Curve_2,Count,27.0,17.0,27.0,22.0
Curve_2,RE,4.3333,4.2055,4.2222,4.4955
Curve_2,CH,4.6296,4.3889,4.537,4.9333
Curve_2,EM,4.037,4.0278,4.1111,4.1763
Curve_2,SU,3.2593,3.0833,3.2408,3.305
Curve_2,EG,4.0926,4.0,4.2037,4.2874
Curve_2,CX,3.9815,4.0278,4.0,4.0303
Curve_2,OV,4.1025,4.0352,4.1031,4.2046
Curve_3,Count,23.0,16.0,23.0,25.0
Curve_3,RE,4.5408,4.7857,4.5661,4.6566
Curve_3,CH,4.2963,3.8889,4.7619,5.0
Curve_3,EM,4.037,4.0476,4.1799,4.0
Curve_3,SU,3.3185,3.4682,3.3598,3.3043
Curve_3,EG,4.2148,4.3651,4.2275,4.2071
Curve_3,CX,4.0,3.8889,4.0476,4.0
Curve_3,OV,4.1595,4.2259,4.2206,4.1947
Curve_4,Count,16.0,18.0,17.0,22.0
Curve_4,RE,4.3056,4.2222,4.3611,4.3069
Curve_4,CH,4.6945,5.0,4.5167,4.7341
Curve_4,EM,4.0555,4.0,4.1167,4.1402
Curve_4,SU,3.1667,3.1667,3.2722,3.2976
Curve_4,EG,4.1389,4.1296,4.0889,4.1124
Curve_4,CX,4.0833,4.0,4.0944,4.0556
Curve_4,OV,4.1093,4.0864,4.1239,4.1443
Curve_5,Count,20.0,18.0,19.0,16.0
Curve_5,RE,4.4669,4.6349,4.6158,4.6905
Curve_5,CH,4.5833,4.5536,4.5833,4.7619
Curve_5,EM,4.0185,4.0,4.125,4.0
Curve_5,SU,3.3558,3.4424,3.4861,3.5318
Curve_5,EG,4.0847,4.248,4.3102,4.3254
Curve_5,CX,3.9352,4.0,4.0,4.0
Curve_5,OV,4.1241,4.2058,4.2451,4.2532
Curve_6,Count,24.0,21.0,24.0,31.0
Curve_6,RE,4.2963,4.3056,4.4074,4.4644
Curve_6,CH,4.5185,4.7222,4.713,4.5741
Curve_6,EM,4.0371,4.0278,4.1667,4.0627
Curve_6,SU,3.3333,3.2222,3.4352,3.2892
Curve_6,EG,4.0741,4.1389,4.2593,4.2322
Curve_6,CX,4.0556,4.0556,4.0648,3.9815
Curve_6,OV,4.1136,4.1139,4.2028,4.1464
