Curve_Type,Metric,RAF_NoCritic,RAF_Critic,AVL_NoCritic,AVL_Critic
Curve_1,Count,9.0,9.0,9.0,9.0
Curve_1,RE,4.8889,4.9444,5.0,5.0
Curve_1,CH,5.0,4.4444,5.0,5.0
Curve_1,EM,4.1111,4.0556,4.0,4.0
Curve_1,SU,3.7778,3.8889,3.8889,3.7778
Curve_1,EG,4.7778,4.5,4.6667,4.6667
Curve_1,CX,4.0,4.0556,4.0,4.0
Curve_1,OV,4.4259,4.3963,4.4259,4.4074
Curve_2,Count,9.0,9.0,9.0,9.0
Curve_2,RE,4.6667,4.3889,4.6667,4.7778
Curve_2,CH,5.0,4.4444,4.2778,4.8889
Curve_2,EM,4.1111,4.0556,4.3333,4.3334
Curve_2,SU,3.5556,3.1667,3.7222,3.6667
Curve_2,EG,4.2778,4.0,4.6111,4.5556
Curve_2,CX,4.0556,4.0556,4.1111,4.1111
Curve_2,OV,4.2778,4.0926,4.3685,4.3889
Curve_3,Count,9.0,9.0,9.0,9.0
Curve_3,RE,4.8889,4.8889,5.0,5.0
Curve_3,CH,5.0,3.8889,5.0,5.0
Curve_3,EM,4.1111,4.1111,4.4444,4.0
Curve_3,SU,3.7778,3.7778,3.8889,3.6667
Curve_3,EG,4.5556,4.6667,4.5556,4.4444
Curve_3,CX,4.0,3.8889,4.1111,4.0
Curve_3,OV,4.3889,4.3593,4.5,4.3518
Curve_4,Count,9.0,9.0,9.0,9.0
Curve_4,RE,4.4444,4.5556,4.5,4.6667
Curve_4,CH,4.9444,5.0,4.2222,4.3889
Curve_4,EM,4.1111,4.0,4.1667,4.3333
Curve_4,SU,3.3333,3.4444,3.4444,3.7222
Curve_4,EG,4.2778,4.3333,4.1667,4.2778
Curve_4,CX,4.1667,4.0,4.1667,4.1111
Curve_4,OV,4.213,4.2222,4.1926,4.3352
Curve_5,Count,9.0,9.0,9.0,9.0
Curve_5,RE,4.7778,4.7778,4.9444,4.8889
Curve_5,CH,5.0,5.0,4.4444,4.4444
Curve_5,EM,4.0,4.0,4.1667,4.0
Curve_5,SU,3.7778,3.6667,3.8704,3.8889
Curve_5,EG,4.2222,4.5556,4.6111,4.5555
Curve_5,CX,4.0,4.0,4.0,4.0
Curve_5,OV,4.2963,4.3333,4.4173,4.3778
Curve_6,Count,9.0,9.0,9.0,9.0
Curve_6,RE,4.6667,4.3889,4.8333,4.9444
Curve_6,CH,4.9444,5.0,4.3889,5.0
Curve_6,EM,4.1111,4.0556,4.2778,4.0556
Curve_6,SU,3.7778,3.4445,3.9444,3.7222
Curve_6,EG,4.2222,4.2778,4.6111,4.6667
Curve_6,CX,4.1667,4.1111,4.1111,4.1667
Curve_6,OV,4.3148,4.213,4.4463,4.4259
