Theme,Genre,Novel,Curve_Type,Story_ID,RAF_NoCritic_Count,RAF_NoCritic_RE,RAF_NoCritic_CH,RAF_NoCritic_EM,RAF_NoCritic_SU,RAF_NoCritic_EG,RAF_NoCritic_CX,RAF_NoCritic_OV,RAF_Critic_Count,RAF_Critic_RE,RAF_Critic_CH,RAF_Critic_EM,RAF_Critic_SU,RAF_Critic_EG,RAF_Critic_CX,RAF_Critic_OV,AVL_NoCritic_Count,AVL_NoCritic_RE,AVL_NoCritic_CH,AVL_NoCritic_EM,AVL_NoCritic_SU,AVL_NoCritic_EG,AVL_NoCritic_CX,AVL_NoCritic_OV,AVL_Critic_Count,AVL_Critic_RE,AVL_Critic_CH,AVL_Critic_EM,AVL_Critic_SU,AVL_Critic_EG,AVL_Critic_CX,AVL_Critic_OV
Climate_Change,Romance,World_Curve_1_Story_1,Curve_1,Story_1,6,5.0,5.0,4.1667,3.6667,4.5,4.0,4.3889,8,4.75,3.75,4.0,3.5,4.25,4.0,4.2167,9,4.4444,5.0,4.0,3.3333,4.2222,4.0,4.1667,6,4.5833,4.9167,4.0833,3.5833,4.4167,4.0833,4.2778
Climate_Change,Romance,World_Curve_1_Story_2,Curve_1,Story_2,9,4.5556,4.4444,4.0,3.4444,4.4444,4.0,4.2296,4,5.0,5.0,4.0,3.5,4.25,4.0,4.2917,9,4.5556,5.0,4.1111,3.4444,4.4444,4.0,4.2593,4,5.0,5.0,4.0,3.25,4.25,4.0,4.25
Climate_Change,Romance,World_Curve_1_Story_3,Curve_1,Story_3,5,4.6,5.0,4.0,3.2,4.2,4.0,4.1667,9,4.8333,4.4444,4.0556,3.6667,4.1667,4.0556,4.2815,7,4.4286,5.0,4.0,3.2857,4.1429,4.0,4.1429,7,4.5714,4.2857,4.0,3.5714,4.5714,4.0,4.2714
Climate_Change,Romance,World_Curve_2_Story_1,Curve_2,Story_1,9,4.3333,5.0,4.1111,3.2222,4.0556,4.0556,4.1296,6,4.3333,5.0,4.0,3.1667,4.0,4.0,4.0833,9,4.1667,3.8333,4.0556,3.1667,4.1667,3.8889,4.0315,11,4.1364,5.0,4.0455,3.1818,4.0455,4.0909,4.0833
Climate_Change,Romance,World_Curve_2_Story_2,Curve_2,Story_2,9,4.5556,5.0,4.0,3.5556,4.2222,3.8889,4.2037,5,4.2,4.0,4.0,3.0,4.0,4.0,4.0,9,4.2778,4.9444,4.1667,3.2778,4.2222,4.0556,4.1574,5,4.6,4.8,4.4,3.4,4.4,4.0,4.2667
Climate_Change,Romance,World_Curve_2_Story_3,Curve_2,Story_3,9,4.1111,3.8889,4.0,3.0,4.0,4.0,3.9741,6,4.0833,4.1667,4.0833,3.0833,4.0,4.0833,4.0222,9,4.2222,4.8333,4.1111,3.2778,4.2222,4.0556,4.1204,6,4.75,5.0,4.0833,3.3333,4.4167,4.0,4.2639
Climate_Change,Romance,World_Curve_3_Story_1,Curve_3,Story_1,5,4.4,4.0,4.0,3.4,4.2,4.0,4.1267,3,4.6667,3.3333,4.0,3.3333,4.3333,3.6667,4.1111,9,4.5556,5.0,4.1111,3.2222,4.1111,4.0,4.1667,11,4.6364,5.0,4.0,3.4545,4.4545,4.0,4.2576
Climate_Change,Romance,World_Curve_3_Story_2,Curve_3,Story_2,9,4.5556,5.0,4.1111,3.3333,4.2222,4.0,4.2037,6,4.8333,3.3333,4.0,3.5,4.3333,4.0,4.2333,7,4.5714,4.2857,4.2857,3.4286,4.2857,4.0,4.2333,8,4.5,5.0,4.0,3.125,4.0,4.0,4.1042
Climate_Change,Romance,World_Curve_3_Story_3,Curve_3,Story_3,9,4.6667,3.8889,4.0,3.2222,4.2222,4.0,4.1482,7,4.8571,5.0,4.1429,3.5714,4.4286,4.0,4.3333,7,4.5714,5.0,4.1429,3.4286,4.2857,4.1429,4.2619,6,4.8333,5.0,4.0,3.3333,4.1667,4.0,4.2222
Climate_Change,Romance,World_Curve_4_Story_1,Curve_4,Story_1,6,4.25,4.9167,4.0833,3.25,4.25,4.0,4.125,3,4.0,5.0,4.0,3.0,4.0,4.0,4.0,6,4.5833,4.75,4.25,3.25,4.1667,4.0833,4.1806,9,4.4444,5.0,4.1111,3.3333,4.1111,4.0,4.1667
Climate_Change,Romance,World_Curve_4_Story_2,Curve_4,Story_2,4,4.25,5.0,4.0,3.0,4.0,4.0,4.0417,6,4.3333,5.0,4.0,3.1667,4.1667,4.0,4.1111,5,4.5,3.8,4.1,3.4,4.1,4.2,4.1633,7,4.1429,4.2857,4.1429,3.1429,4.1429,4.0,4.0857
Climate_Change,Romance,World_Curve_4_Story_3,Curve_4,Story_3,6,4.4167,4.1667,4.0833,3.25,4.1667,4.25,4.1611,9,4.3333,5.0,4.0,3.3333,4.2222,4.0,4.1481,6,4.0,5.0,4.0,3.1667,4.0,4.0,4.0278,6,4.3333,4.9167,4.1667,3.4167,4.0833,4.1667,4.1806
Climate_Change,Romance,World_Curve_5_Story_1,Curve_5,Story_1,9,4.7222,5.0,4.0556,3.3889,4.1111,4.0556,4.2222,7,4.5714,4.2857,4.0,3.2857,4.2857,4.0,4.1619,9,4.5556,5.0,4.0,3.4444,4.2222,4.0,4.2037,6,4.8333,5.0,4.0,3.5,4.5,4.0,4.3056
Climate_Change,Romance,World_Curve_5_Story_2,Curve_5,Story_2,7,4.4286,5.0,4.0,3.4286,4.1429,4.0,4.1667,3,4.3333,5.0,4.0,3.3333,4.0,4.0,4.1111,6,4.6667,5.0,4.0,3.3889,4.3333,4.0,4.2315,7,4.5714,4.2857,4.0,3.4286,4.1429,4.0,4.1762
Climate_Change,Romance,World_Curve_5_Story_3,Curve_5,Story_3,4,4.25,3.75,4.0,3.25,4.0,3.75,3.9833,8,5.0,4.375,4.0,3.7083,4.4583,4.0,4.3445,4,4.625,3.75,4.375,3.625,4.375,4.0,4.3,3,4.6667,5.0,4.0,3.6667,4.3333,4.0,4.2778
Climate_Change,Romance,World_Curve_6_Story_1,Curve_6,Story_1,9,4.3889,4.4444,4.0556,3.4444,4.1667,4.0,4.1611,6,4.75,5.0,4.0833,3.3333,4.25,4.1667,4.2639,6,4.3333,4.9167,4.1667,3.4167,4.1667,4.0833,4.1806,13,4.6154,5.0,4.0769,3.4231,4.3077,4.0,4.2372
Climate_Change,Romance,World_Curve_6_Story_2,Curve_6,Story_2,6,4.3333,4.1667,4.0,3.3333,4.0,4.0,4.0778,9,4.0,5.0,4.0,3.0,4.0,4.0,4.0,9,4.3889,4.2222,4.2778,3.4444,4.2222,4.1111,4.1963,9,4.4444,4.3333,4.0,3.2222,4.2222,3.7778,4.0667
Climate_Change,Romance,World_Curve_6_Story_3,Curve_6,Story_3,9,4.1667,4.9444,4.0556,3.2222,4.0556,4.1667,4.1019,6,4.1667,4.1667,4.0,3.3333,4.1667,4.0,4.0778,9,4.5,5.0,4.0556,3.4444,4.3889,4.0,4.2315,9,4.3333,4.3889,4.1111,3.2222,4.1667,4.1667,4.1352
