Method,Metric,Curve_1_N,Curve_1_Mean,Curve_1_SD,Curve_1_CI95_Lower,Curve_1_CI95_Upper,Curve_2_N,Curve_2_Mean,Curve_2_SD,Curve_2_CI95_Lower,Curve_2_CI95_Upper,Curve_3_N,Curve_3_Mean,Curve_3_SD,Curve_3_CI95_Lower,Curve_3_CI95_Upper,Curve_4_N,Curve_4_Mean,Curve_4_SD,Curve_4_CI95_Lower,Curve_4_CI95_Upper,Curve_5_N,Curve_5_Mean,Curve_5_SD,Curve_5_CI95_Lower,Curve_5_CI95_Upper,Curve_6_N,Curve_6_Mean,Curve_6_SD,Curve_6_CI95_Lower,Curve_6_CI95_Upper,Omnibus_Test,Omnibus_Stat,Omnibus_p,Omnibus_Sig,Curve_1_vs_Curve_2_Test,Curve_1_vs_Curve_2_SW_p_A,Curve_1_vs_Curve_2_SW_p_B,Curve_1_vs_Curve_2_Stat,Curve_1_vs_Curve_2_Mean_Diff,Curve_1_vs_Curve_2_CI95_Lower,Curve_1_vs_Curve_2_CI95_Upper,Curve_1_vs_Curve_2_Cohen_d,Curve_1_vs_Curve_2_p_raw,Curve_1_vs_Curve_2_Sig_raw,Curve_1_vs_Curve_3_Test,Curve_1_vs_Curve_3_SW_p_A,Curve_1_vs_Curve_3_SW_p_B,Curve_1_vs_Curve_3_Stat,Curve_1_vs_Curve_3_Mean_Diff,Curve_1_vs_Curve_3_CI95_Lower,Curve_1_vs_Curve_3_CI95_Upper,Curve_1_vs_Curve_3_Cohen_d,Curve_1_vs_Curve_3_p_raw,Curve_1_vs_Curve_3_Sig_raw,Curve_1_vs_Curve_4_Test,Curve_1_vs_Curve_4_SW_p_A,Curve_1_vs_Curve_4_SW_p_B,Curve_1_vs_Curve_4_Stat,Curve_1_vs_Curve_4_Mean_Diff,Curve_1_vs_Curve_4_CI95_Lower,Curve_1_vs_Curve_4_CI95_Upper,Curve_1_vs_Curve_4_Cohen_d,Curve_1_vs_Curve_4_p_raw,Curve_1_vs_Curve_4_Sig_raw,Curve_1_vs_Curve_5_Test,Curve_1_vs_Curve_5_SW_p_A,Curve_1_vs_Curve_5_SW_p_B,Curve_1_vs_Curve_5_Stat,Curve_1_vs_Curve_5_Mean_Diff,Curve_1_vs_Curve_5_CI95_Lower,Curve_1_vs_Curve_5_CI95_Upper,Curve_1_vs_Curve_5_Cohen_d,Curve_1_vs_Curve_5_p_raw,Curve_1_vs_Curve_5_Sig_raw,Curve_1_vs_Curve_6_Test,Curve_1_vs_Curve_6_SW_p_A,Curve_1_vs_Curve_6_SW_p_B,Curve_1_vs_Curve_6_Stat,Curve_1_vs_Curve_6_Mean_Diff,Curve_1_vs_Curve_6_CI95_Lower,Curve_1_vs_Curve_6_CI95_Upper,Curve_1_vs_Curve_6_Cohen_d,Curve_1_vs_Curve_6_p_raw,Curve_1_vs_Curve_6_Sig_raw,Curve_2_vs_Curve_3_Test,Curve_2_vs_Curve_3_SW_p_A,Curve_2_vs_Curve_3_SW_p_B,Curve_2_vs_Curve_3_Stat,Curve_2_vs_Curve_3_Mean_Diff,Curve_2_vs_Curve_3_CI95_Lower,Curve_2_vs_Curve_3_CI95_Upper,Curve_2_vs_Curve_3_Cohen_d,Curve_2_vs_Curve_3_p_raw,Curve_2_vs_Curve_3_Sig_raw,Curve_2_vs_Curve_4_Test,Curve_2_vs_Curve_4_SW_p_A,Curve_2_vs_Curve_4_SW_p_B,Curve_2_vs_Curve_4_Stat,Curve_2_vs_Curve_4_Mean_Diff,Curve_2_vs_Curve_4_CI95_Lower,Curve_2_vs_Curve_4_CI95_Upper,Curve_2_vs_Curve_4_Cohen_d,Curve_2_vs_Curve_4_p_raw,Curve_2_vs_Curve_4_Sig_raw,Curve_2_vs_Curve_5_Test,Curve_2_vs_Curve_5_SW_p_A,Curve_2_vs_Curve_5_SW_p_B,Curve_2_vs_Curve_5_Stat,Curve_2_vs_Curve_5_Mean_Diff,Curve_2_vs_Curve_5_CI95_Lower,Curve_2_vs_Curve_5_CI95_Upper,Curve_2_vs_Curve_5_Cohen_d,Curve_2_vs_Curve_5_p_raw,Curve_2_vs_Curve_5_Sig_raw,Curve_2_vs_Curve_6_Test,Curve_2_vs_Curve_6_SW_p_A,Curve_2_vs_Curve_6_SW_p_B,Curve_2_vs_Curve_6_Stat,Curve_2_vs_Curve_6_Mean_Diff,Curve_2_vs_Curve_6_CI95_Lower,Curve_2_vs_Curve_6_CI95_Upper,Curve_2_vs_Curve_6_Cohen_d,Curve_2_vs_Curve_6_p_raw,Curve_2_vs_Curve_6_Sig_raw,Curve_3_vs_Curve_4_Test,Curve_3_vs_Curve_4_SW_p_A,Curve_3_vs_Curve_4_SW_p_B,Curve_3_vs_Curve_4_Stat,Curve_3_vs_Curve_4_Mean_Diff,Curve_3_vs_Curve_4_CI95_Lower,Curve_3_vs_Curve_4_CI95_Upper,Curve_3_vs_Curve_4_Cohen_d,Curve_3_vs_Curve_4_p_raw,Curve_3_vs_Curve_4_Sig_raw,Curve_3_vs_Curve_5_Test,Curve_3_vs_Curve_5_SW_p_A,Curve_3_vs_Curve_5_SW_p_B,Curve_3_vs_Curve_5_Stat,Curve_3_vs_Curve_5_Mean_Diff,Curve_3_vs_Curve_5_CI95_Lower,Curve_3_vs_Curve_5_CI95_Upper,Curve_3_vs_Curve_5_Cohen_d,Curve_3_vs_Curve_5_p_raw,Curve_3_vs_Curve_5_Sig_raw,Curve_3_vs_Curve_6_Test,Curve_3_vs_Curve_6_SW_p_A,Curve_3_vs_Curve_6_SW_p_B,Curve_3_vs_Curve_6_Stat,Curve_3_vs_Curve_6_Mean_Diff,Curve_3_vs_Curve_6_CI95_Lower,Curve_3_vs_Curve_6_CI95_Upper,Curve_3_vs_Curve_6_Cohen_d,Curve_3_vs_Curve_6_p_raw,Curve_3_vs_Curve_6_Sig_raw,Curve_4_vs_Curve_5_Test,Curve_4_vs_Curve_5_SW_p_A,Curve_4_vs_Curve_5_SW_p_B,Curve_4_vs_Curve_5_Stat,Curve_4_vs_Curve_5_Mean_Diff,Curve_4_vs_Curve_5_CI95_Lower,Curve_4_vs_Curve_5_CI95_Upper,Curve_4_vs_Curve_5_Cohen_d,Curve_4_vs_Curve_5_p_raw,Curve_4_vs_Curve_5_Sig_raw,Curve_4_vs_Curve_6_Test,Curve_4_vs_Curve_6_SW_p_A,Curve_4_vs_Curve_6_SW_p_B,Curve_4_vs_Curve_6_Stat,Curve_4_vs_Curve_6_Mean_Diff,Curve_4_vs_Curve_6_CI95_Lower,Curve_4_vs_Curve_6_CI95_Upper,Curve_4_vs_Curve_6_Cohen_d,Curve_4_vs_Curve_6_p_raw,Curve_4_vs_Curve_6_Sig_raw,Curve_5_vs_Curve_6_Test,Curve_5_vs_Curve_6_SW_p_A,Curve_5_vs_Curve_6_SW_p_B,Curve_5_vs_Curve_6_Stat,Curve_5_vs_Curve_6_Mean_Diff,Curve_5_vs_Curve_6_CI95_Lower,Curve_5_vs_Curve_6_CI95_Upper,Curve_5_vs_Curve_6_Cohen_d,Curve_5_vs_Curve_6_p_raw,Curve_5_vs_Curve_6_Sig_raw
RAF_NoCritic,RE,20,5.0,0.0,5.0,5.0,27,5.0,0.0,5.0,5.0,23,5.0,0.0,5.0,5.0,16,5.0,0.0,5.0,5.0,20,5.0,0.0,5.0,5.0,24,5.0,0.0,5.0,5.0,N/A (identical values),,,,Mann-Whitney U,,,270.0,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,230.0,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,160.0,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,200.0,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,240.0,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,310.5,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,216.0,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,270.0,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,324.0,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,184.0,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,230.0,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,276.0,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,160.0,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,192.0,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,240.0,0.0,0.0,0.0,0.0,1.0,
RAF_NoCritic,CH,20,5.0,0.0,5.0,5.0,27,5.0,0.0,5.0,5.0,23,5.0,0.0,5.0,5.0,16,5.0,0.0,5.0,5.0,20,5.0,0.0,5.0,5.0,24,5.0,0.0,5.0,5.0,N/A (identical values),,,,Mann-Whitney U,,,270.0,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,230.0,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,160.0,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,200.0,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,240.0,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,310.5,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,216.0,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,270.0,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,324.0,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,184.0,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,230.0,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,276.0,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,160.0,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,192.0,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,240.0,0.0,0.0,0.0,0.0,1.0,
RAF_NoCritic,EM,20,5.0,0.0,5.0,5.0,27,5.0,0.0,5.0,5.0,23,5.0,0.0,5.0,5.0,16,5.0,0.0,5.0,5.0,20,5.0,0.0,5.0,5.0,24,5.0,0.0,5.0,5.0,N/A (identical values),,,,Mann-Whitney U,,,270.0,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,230.0,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,160.0,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,200.0,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,240.0,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,310.5,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,216.0,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,270.0,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,324.0,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,184.0,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,230.0,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,276.0,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,160.0,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,192.0,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,240.0,0.0,0.0,0.0,0.0,1.0,
RAF_NoCritic,SU,20,2.8667,0.3316,2.7115,3.0218,27,2.9259,0.3849,2.7737,3.0782,23,2.913,0.2881,2.7885,3.0376,16,3.0,0.0,3.0,3.0,20,3.05,0.394,2.8656,3.2344,24,3.1667,0.4815,2.9633,3.37,Kruskal-Wallis,10.2845,0.0676,,Mann-Whitney U,0.0,0.0,252.5,-0.0593,-0.2705,0.152,-0.1631,0.5542,,Mann-Whitney U,0.0,0.0,216.5,-0.0464,-0.2396,0.1468,-0.1501,0.5692,,Mann-Whitney U,0.0,,136.0,-0.1333,-0.2885,0.0218,-0.5379,0.1185,,Mann-Whitney U,0.0,0.0,163.5,-0.1833,-0.4167,0.05,-0.5035,0.1168,,Mann-Whitney U,0.0,0.0,172.0,-0.3,-0.5487,-0.0513,-0.7136,0.0238,*,Mann-Whitney U,0.0,0.0,313.5,0.0129,-0.179,0.2047,0.0375,0.9312,,Mann-Whitney U,0.0,,200.0,-0.0741,-0.2263,0.0782,-0.2417,0.4394,,Mann-Whitney U,0.0,0.0,239.0,-0.1241,-0.3566,0.1085,-0.3191,0.2889,,Mann-Whitney U,0.0,0.0,253.0,-0.2407,-0.4888,0.0073,-0.556,0.0544,,Mann-Whitney U,0.0,,168.0,-0.087,-0.2115,0.0376,-0.3914,0.2469,,Mann-Whitney U,0.0,0.0,200.5,-0.137,-0.3536,0.0797,-0.4013,0.2044,,Mann-Whitney U,0.0,0.0,211.0,-0.2536,-0.4869,-0.0204,-0.6359,0.0358,*,Mann-Whitney U,,0.0,152.0,-0.05,-0.2344,0.1344,-0.1697,0.6184,,Mann-Whitney U,,0.0,160.0,-0.1667,-0.37,0.0367,-0.4449,0.1606,,Mann-Whitney U,0.0,0.0,213.5,-0.1167,-0.3831,0.1497,-0.2627,0.3827,
RAF_NoCritic,EG,20,5.0,0.0,5.0,5.0,27,5.0,0.0,5.0,5.0,23,5.0,0.0,5.0,5.0,16,5.0,0.0,5.0,5.0,20,5.0,0.0,5.0,5.0,24,5.0,0.0,5.0,5.0,N/A (identical values),,,,Mann-Whitney U,,,270.0,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,230.0,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,160.0,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,200.0,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,240.0,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,310.5,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,216.0,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,270.0,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,324.0,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,184.0,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,230.0,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,276.0,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,160.0,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,192.0,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,240.0,0.0,0.0,0.0,0.0,1.0,
RAF_NoCritic,CX,20,3.95,0.394,3.7656,4.1344,27,4.1481,0.456,3.9677,4.3286,23,4.0,0.0,4.0,4.0,16,4.125,0.3416,3.943,4.307,20,3.95,0.2236,3.8453,4.0547,24,4.0833,0.2823,3.9641,4.2026,Kruskal-Wallis,7.8846,0.1627,,Mann-Whitney U,0.0,0.0,221.0,-0.1981,-0.4488,0.0525,-0.4598,0.1277,,Mann-Whitney U,0.0,,218.5,-0.05,-0.2344,0.1344,-0.1864,0.5442,,Mann-Whitney U,0.0,0.0,134.0,-0.175,-0.4244,0.0744,-0.4707,0.1767,,Mann-Whitney U,0.0,0.0,199.5,0.0,-0.2069,0.2069,0.0,1.0,,Mann-Whitney U,0.0,0.0,210.0,-0.1333,-0.3474,0.0807,-0.3951,0.2068,,Mann-Whitney U,0.0,,356.5,0.1481,-0.0323,0.3286,0.4414,0.1161,,Mann-Whitney U,0.0,0.0,222.0,0.0231,-0.2246,0.2709,0.0554,0.838,,Mann-Whitney U,0.0,0.0,321.0,0.1981,-0.006,0.4023,0.5272,0.0789,,Mann-Whitney U,0.0,0.0,346.0,0.0648,-0.1468,0.2764,0.1686,0.5202,,Mann-Whitney U,,0.0,161.0,-0.125,-0.307,0.057,-0.5748,0.0928,,Mann-Whitney U,,0.0,241.5,0.05,-0.0547,0.1547,0.3285,0.305,,Mann-Whitney U,,0.0,253.0,-0.0833,-0.2026,0.0359,-0.4129,0.1709,,Mann-Whitney U,0.0,0.0,187.0,0.175,-0.0289,0.3789,0.621,0.0784,,Mann-Whitney U,0.0,0.0,200.0,0.0417,-0.1694,0.2527,0.1357,0.6904,,Mann-Whitney U,0.0,0.0,209.0,-0.1333,-0.2873,0.0207,-0.5179,0.0999,
RAF_NoCritic,OV,20,4.4694,0.0995,4.4229,4.516,27,4.5123,0.0791,4.4811,4.5436,23,4.4855,0.048,4.4647,4.5063,16,4.5208,0.0569,4.4905,4.5512,20,4.5,0.0541,4.4747,4.5253,24,4.5417,0.0886,4.5043,4.5791,Kruskal-Wallis,12.2014,0.0321,*,Mann-Whitney U,0.0,0.0,216.5,-0.0429,-0.0976,0.0118,-0.486,0.1238,,Mann-Whitney U,0.0,0.0,214.5,-0.0161,-0.0662,0.034,-0.2104,0.5696,,Mann-Whitney U,0.0,0.0,120.0,-0.0514,-0.1053,0.0025,-0.6159,0.0686,,Mann-Whitney U,0.0,0.0,171.5,-0.0306,-0.0823,0.0212,-0.3815,0.2525,,Mann-Whitney U,0.0,0.0,157.5,-0.0722,-0.1303,-0.0142,-0.7709,0.016,*,Mann-Whitney U,0.0,0.0,356.5,0.0268,-0.0099,0.0636,0.4026,0.1648,,Mann-Whitney U,0.0,0.0,207.0,-0.0085,-0.0506,0.0337,-0.1183,0.7524,,Mann-Whitney U,0.0,0.0,289.0,0.0123,-0.0268,0.0515,0.1773,0.5426,,Mann-Whitney U,0.0,0.0,272.0,-0.0293,-0.0769,0.0182,-0.3504,0.2127,,Mann-Whitney U,0.0,0.0,147.0,-0.0353,-0.0709,0.0003,-0.6818,0.0477,*,Mann-Whitney U,0.0,0.0,211.0,-0.0145,-0.0463,0.0173,-0.2847,0.3711,,Mann-Whitney U,0.0,0.0,190.0,-0.0562,-0.0981,-0.0142,-0.7834,0.0107,*,Mann-Whitney U,0.0,0.0,179.0,0.0208,-0.0172,0.0589,0.3764,0.2801,,Mann-Whitney U,0.0,0.0,167.0,-0.0208,-0.0674,0.0258,-0.2683,0.3691,,Mann-Whitney U,0.0,0.0,183.0,-0.0417,-0.0857,0.0023,-0.5557,0.0681,
RAF_Critic,RE,21,5.0,0.0,5.0,5.0,17,5.0,0.0,5.0,5.0,16,5.0,0.0,5.0,5.0,18,5.0,0.0,5.0,5.0,18,5.0,0.0,5.0,5.0,21,5.0,0.0,5.0,5.0,N/A (identical values),,,,Mann-Whitney U,,,178.5,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,168.0,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,189.0,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,189.0,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,220.5,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,136.0,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,153.0,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,153.0,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,178.5,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,144.0,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,144.0,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,168.0,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,162.0,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,189.0,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,189.0,0.0,0.0,0.0,0.0,1.0,
RAF_Critic,CH,21,5.0,0.0,5.0,5.0,17,5.0,0.0,5.0,5.0,16,5.0,0.0,5.0,5.0,18,5.0,0.0,5.0,5.0,18,5.0,0.0,5.0,5.0,21,5.0,0.0,5.0,5.0,N/A (identical values),,,,Mann-Whitney U,,,178.5,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,168.0,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,189.0,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,189.0,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,220.5,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,136.0,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,153.0,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,153.0,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,178.5,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,144.0,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,144.0,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,168.0,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,162.0,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,189.0,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,189.0,0.0,0.0,0.0,0.0,1.0,
RAF_Critic,EM,21,5.0,0.0,5.0,5.0,17,5.0,0.0,5.0,5.0,16,5.0,0.0,5.0,5.0,18,5.0,0.0,5.0,5.0,18,5.0,0.0,5.0,5.0,21,5.0,0.0,5.0,5.0,N/A (identical values),,,,Mann-Whitney U,,,178.5,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,168.0,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,189.0,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,189.0,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,220.5,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,136.0,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,153.0,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,153.0,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,178.5,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,144.0,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,144.0,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,168.0,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,162.0,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,189.0,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,189.0,0.0,0.0,0.0,0.0,1.0,
