Method,Metric,Curve_1_N,Curve_1_Mean,Curve_1_SD,Curve_1_CI95_Lower,Curve_1_CI95_Upper,Curve_2_N,Curve_2_Mean,Curve_2_SD,Curve_2_CI95_Lower,Curve_2_CI95_Upper,Curve_3_N,Curve_3_Mean,Curve_3_SD,Curve_3_CI95_Lower,Curve_3_CI95_Upper,Curve_4_N,Curve_4_Mean,Curve_4_SD,Curve_4_CI95_Lower,Curve_4_CI95_Upper,Curve_5_N,Curve_5_Mean,Curve_5_SD,Curve_5_CI95_Lower,Curve_5_CI95_Upper,Curve_6_N,Curve_6_Mean,Curve_6_SD,Curve_6_CI95_Lower,Curve_6_CI95_Upper,Omnibus_Test,Omnibus_Stat,Omnibus_p,Omnibus_Sig,Curve_1_vs_Curve_2_Test,Curve_1_vs_Curve_2_SW_p_A,Curve_1_vs_Curve_2_SW_p_B,Curve_1_vs_Curve_2_Stat,Curve_1_vs_Curve_2_Mean_Diff,Curve_1_vs_Curve_2_CI95_Lower,Curve_1_vs_Curve_2_CI95_Upper,Curve_1_vs_Curve_2_Cohen_d,Curve_1_vs_Curve_2_p_raw,Curve_1_vs_Curve_2_Sig_raw,Curve_1_vs_Curve_3_Test,Curve_1_vs_Curve_3_SW_p_A,Curve_1_vs_Curve_3_SW_p_B,Curve_1_vs_Curve_3_Stat,Curve_1_vs_Curve_3_Mean_Diff,Curve_1_vs_Curve_3_CI95_Lower,Curve_1_vs_Curve_3_CI95_Upper,Curve_1_vs_Curve_3_Cohen_d,Curve_1_vs_Curve_3_p_raw,Curve_1_vs_Curve_3_Sig_raw,Curve_1_vs_Curve_4_Test,Curve_1_vs_Curve_4_SW_p_A,Curve_1_vs_Curve_4_SW_p_B,Curve_1_vs_Curve_4_Stat,Curve_1_vs_Curve_4_Mean_Diff,Curve_1_vs_Curve_4_CI95_Lower,Curve_1_vs_Curve_4_CI95_Upper,Curve_1_vs_Curve_4_Cohen_d,Curve_1_vs_Curve_4_p_raw,Curve_1_vs_Curve_4_Sig_raw,Curve_1_vs_Curve_5_Test,Curve_1_vs_Curve_5_SW_p_A,Curve_1_vs_Curve_5_SW_p_B,Curve_1_vs_Curve_5_Stat,Curve_1_vs_Curve_5_Mean_Diff,Curve_1_vs_Curve_5_CI95_Lower,Curve_1_vs_Curve_5_CI95_Upper,Curve_1_vs_Curve_5_Cohen_d,Curve_1_vs_Curve_5_p_raw,Curve_1_vs_Curve_5_Sig_raw,Curve_1_vs_Curve_6_Test,Curve_1_vs_Curve_6_SW_p_A,Curve_1_vs_Curve_6_SW_p_B,Curve_1_vs_Curve_6_Stat,Curve_1_vs_Curve_6_Mean_Diff,Curve_1_vs_Curve_6_CI95_Lower,Curve_1_vs_Curve_6_CI95_Upper,Curve_1_vs_Curve_6_Cohen_d,Curve_1_vs_Curve_6_p_raw,Curve_1_vs_Curve_6_Sig_raw,Curve_2_vs_Curve_3_Test,Curve_2_vs_Curve_3_SW_p_A,Curve_2_vs_Curve_3_SW_p_B,Curve_2_vs_Curve_3_Stat,Curve_2_vs_Curve_3_Mean_Diff,Curve_2_vs_Curve_3_CI95_Lower,Curve_2_vs_Curve_3_CI95_Upper,Curve_2_vs_Curve_3_Cohen_d,Curve_2_vs_Curve_3_p_raw,Curve_2_vs_Curve_3_Sig_raw,Curve_2_vs_Curve_4_Test,Curve_2_vs_Curve_4_SW_p_A,Curve_2_vs_Curve_4_SW_p_B,Curve_2_vs_Curve_4_Stat,Curve_2_vs_Curve_4_Mean_Diff,Curve_2_vs_Curve_4_CI95_Lower,Curve_2_vs_Curve_4_CI95_Upper,Curve_2_vs_Curve_4_Cohen_d,Curve_2_vs_Curve_4_p_raw,Curve_2_vs_Curve_4_Sig_raw,Curve_2_vs_Curve_5_Test,Curve_2_vs_Curve_5_SW_p_A,Curve_2_vs_Curve_5_SW_p_B,Curve_2_vs_Curve_5_Stat,Curve_2_vs_Curve_5_Mean_Diff,Curve_2_vs_Curve_5_CI95_Lower,Curve_2_vs_Curve_5_CI95_Upper,Curve_2_vs_Curve_5_Cohen_d,Curve_2_vs_Curve_5_p_raw,Curve_2_vs_Curve_5_Sig_raw,Curve_2_vs_Curve_6_Test,Curve_2_vs_Curve_6_SW_p_A,Curve_2_vs_Curve_6_SW_p_B,Curve_2_vs_Curve_6_Stat,Curve_2_vs_Curve_6_Mean_Diff,Curve_2_vs_Curve_6_CI95_Lower,Curve_2_vs_Curve_6_CI95_Upper,Curve_2_vs_Curve_6_Cohen_d,Curve_2_vs_Curve_6_p_raw,Curve_2_vs_Curve_6_Sig_raw,Curve_3_vs_Curve_4_Test,Curve_3_vs_Curve_4_SW_p_A,Curve_3_vs_Curve_4_SW_p_B,Curve_3_vs_Curve_4_Stat,Curve_3_vs_Curve_4_Mean_Diff,Curve_3_vs_Curve_4_CI95_Lower,Curve_3_vs_Curve_4_CI95_Upper,Curve_3_vs_Curve_4_Cohen_d,Curve_3_vs_Curve_4_p_raw,Curve_3_vs_Curve_4_Sig_raw,Curve_3_vs_Curve_5_Test,Curve_3_vs_Curve_5_SW_p_A,Curve_3_vs_Curve_5_SW_p_B,Curve_3_vs_Curve_5_Stat,Curve_3_vs_Curve_5_Mean_Diff,Curve_3_vs_Curve_5_CI95_Lower,Curve_3_vs_Curve_5_CI95_Upper,Curve_3_vs_Curve_5_Cohen_d,Curve_3_vs_Curve_5_p_raw,Curve_3_vs_Curve_5_Sig_raw,Curve_3_vs_Curve_6_Test,Curve_3_vs_Curve_6_SW_p_A,Curve_3_vs_Curve_6_SW_p_B,Curve_3_vs_Curve_6_Stat,Curve_3_vs_Curve_6_Mean_Diff,Curve_3_vs_Curve_6_CI95_Lower,Curve_3_vs_Curve_6_CI95_Upper,Curve_3_vs_Curve_6_Cohen_d,Curve_3_vs_Curve_6_p_raw,Curve_3_vs_Curve_6_Sig_raw,Curve_4_vs_Curve_5_Test,Curve_4_vs_Curve_5_SW_p_A,Curve_4_vs_Curve_5_SW_p_B,Curve_4_vs_Curve_5_Stat,Curve_4_vs_Curve_5_Mean_Diff,Curve_4_vs_Curve_5_CI95_Lower,Curve_4_vs_Curve_5_CI95_Upper,Curve_4_vs_Curve_5_Cohen_d,Curve_4_vs_Curve_5_p_raw,Curve_4_vs_Curve_5_Sig_raw,Curve_4_vs_Curve_6_Test,Curve_4_vs_Curve_6_SW_p_A,Curve_4_vs_Curve_6_SW_p_B,Curve_4_vs_Curve_6_Stat,Curve_4_vs_Curve_6_Mean_Diff,Curve_4_vs_Curve_6_CI95_Lower,Curve_4_vs_Curve_6_CI95_Upper,Curve_4_vs_Curve_6_Cohen_d,Curve_4_vs_Curve_6_p_raw,Curve_4_vs_Curve_6_Sig_raw,Curve_5_vs_Curve_6_Test,Curve_5_vs_Curve_6_SW_p_A,Curve_5_vs_Curve_6_SW_p_B,Curve_5_vs_Curve_6_Stat,Curve_5_vs_Curve_6_Mean_Diff,Curve_5_vs_Curve_6_CI95_Lower,Curve_5_vs_Curve_6_CI95_Upper,Curve_5_vs_Curve_6_Cohen_d,Curve_5_vs_Curve_6_p_raw,Curve_5_vs_Curve_6_Sig_raw
RAF_NoCritic,RE,9,5.0,0.0,5.0,5.0,9,5.0,0.0,5.0,5.0,9,5.0,0.0,5.0,5.0,9,5.0,0.0,5.0,5.0,9,5.0,0.0,5.0,5.0,9,5.0,0.0,5.0,5.0,N/A (identical values),,,,Mann-Whitney U,,,40.5,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,40.5,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,40.5,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,40.5,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,40.5,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,40.5,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,40.5,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,40.5,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,40.5,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,40.5,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,40.5,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,40.5,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,40.5,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,40.5,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,40.5,0.0,0.0,0.0,0.0,1.0,
RAF_NoCritic,CH,9,5.0,0.0,5.0,5.0,9,5.0,0.0,5.0,5.0,9,5.0,0.0,5.0,5.0,9,5.0,0.0,5.0,5.0,9,5.0,0.0,5.0,5.0,9,5.0,0.0,5.0,5.0,N/A (identical values),,,,Mann-Whitney U,,,40.5,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,40.5,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,40.5,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,40.5,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,40.5,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,40.5,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,40.5,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,40.5,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,40.5,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,40.5,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,40.5,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,40.5,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,40.5,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,40.5,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,40.5,0.0,0.0,0.0,0.0,1.0,
RAF_NoCritic,EM,9,5.0,0.0,5.0,5.0,9,5.0,0.0,5.0,5.0,9,5.0,0.0,5.0,5.0,9,5.0,0.0,5.0,5.0,9,5.0,0.0,5.0,5.0,9,5.0,0.0,5.0,5.0,N/A (identical values),,,,Mann-Whitney U,,,40.5,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,40.5,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,40.5,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,40.5,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,40.5,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,40.5,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,40.5,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,40.5,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,40.5,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,40.5,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,40.5,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,40.5,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,40.5,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,40.5,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,40.5,0.0,0.0,0.0,0.0,1.0,
RAF_NoCritic,SU,9,3.0,0.0,3.0,3.0,9,3.1111,0.3333,2.8549,3.3673,9,3.0,0.0,3.0,3.0,9,3.0,0.0,3.0,3.0,9,3.2222,0.441,2.8833,3.5612,9,3.5556,0.527,3.1504,3.9607,Kruskal-Wallis,16.7065,0.0051,**,Mann-Whitney U,,0.0,36.0,-0.1111,-0.3673,0.1451,-0.4714,0.3741,,Mann-Whitney U,,,40.5,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,40.5,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,0.0,31.5,-0.2222,-0.5612,0.1167,-0.7127,0.1686,,Mann-Whitney U,,0.0004,18.0,-0.5556,-0.9607,-0.1504,-1.4907,0.0124,*,Mann-Whitney U,0.0,,45.0,0.1111,-0.1451,0.3673,0.4714,0.3741,,Mann-Whitney U,0.0,,45.0,0.1111,-0.1451,0.3673,0.4714,0.3741,,Mann-Whitney U,0.0,0.0,36.0,-0.1111,-0.5041,0.2819,-0.2843,0.5848,,Mann-Whitney U,0.0,0.0004,22.5,-0.4444,-0.8918,0.0029,-1.0079,0.0588,,Mann-Whitney U,,,40.5,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,0.0,31.5,-0.2222,-0.5612,0.1167,-0.7127,0.1686,,Mann-Whitney U,,0.0004,18.0,-0.5556,-0.9607,-0.1504,-1.4907,0.0124,*,Mann-Whitney U,,0.0,31.5,-0.2222,-0.5612,0.1167,-0.7127,0.1686,,Mann-Whitney U,,0.0004,18.0,-0.5556,-0.9607,-0.1504,-1.4907,0.0124,*,Mann-Whitney U,0.0,0.0004,27.0,-0.3333,-0.8202,0.1535,-0.686,0.1747,
RAF_NoCritic,EG,9,5.0,0.0,5.0,5.0,9,5.0,0.0,5.0,5.0,9,5.0,0.0,5.0,5.0,9,5.0,0.0,5.0,5.0,9,5.0,0.0,5.0,5.0,9,5.0,0.0,5.0,5.0,N/A (identical values),,,,Mann-Whitney U,,,40.5,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,40.5,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,40.5,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,40.5,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,40.5,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,40.5,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,40.5,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,40.5,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,40.5,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,40.5,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,40.5,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,40.5,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,40.5,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,40.5,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,40.5,0.0,0.0,0.0,0.0,1.0,
RAF_NoCritic,CX,9,4.1111,0.3333,3.8549,4.3673,9,4.3333,0.7071,3.7898,4.8769,9,4.0,0.0,4.0,4.0,9,4.2222,0.441,3.8833,4.5612,9,3.8889,0.3333,3.6327,4.1451,9,4.2222,0.441,3.8833,4.5612,Kruskal-Wallis,6.6613,0.2471,,Mann-Whitney U,0.0,0.0235,31.0,-0.2222,-0.7934,0.3489,-0.402,0.3367,,Mann-Whitney U,0.0,,45.0,0.1111,-0.1451,0.3673,0.4714,0.3741,,Mann-Whitney U,0.0,0.0,36.0,-0.1111,-0.5041,0.2819,-0.2843,0.5848,,Mann-Whitney U,0.0,0.0,49.0,0.2222,-0.1109,0.5553,0.6667,0.1958,,Mann-Whitney U,0.0,0.0,36.0,-0.1111,-0.5041,0.2819,-0.2843,0.5848,,Mann-Whitney U,0.0235,,54.0,0.3333,-0.2102,0.8769,0.6667,0.1429,,Mann-Whitney U,0.0235,0.0,46.0,0.1111,-0.4872,0.7094,0.1886,0.607,,Mann-Whitney U,0.0235,0.0,56.5,0.4444,-0.1267,1.0156,0.804,0.1003,,Mann-Whitney U,0.0235,0.0,46.0,0.1111,-0.4872,0.7094,0.1886,0.607,,Mann-Whitney U,,0.0,31.5,-0.2222,-0.5612,0.1167,-0.7127,0.1686,,Mann-Whitney U,,0.0,45.0,0.1111,-0.1451,0.3673,0.4714,0.3741,,Mann-Whitney U,,0.0,31.5,-0.2222,-0.5612,0.1167,-0.7127,0.1686,,Mann-Whitney U,0.0,0.0,53.0,0.3333,-0.0596,0.7263,0.8528,0.1025,,Mann-Whitney U,0.0,0.0,40.5,0.0,-0.4407,0.4407,0.0,1.0,,Mann-Whitney U,0.0,0.0,28.0,-0.3333,-0.7263,0.0596,-0.8528,0.1025,
RAF_NoCritic,OV,9,4.5185,0.0556,4.4758,4.5612,9,4.5741,0.0879,4.5066,4.6416,9,4.5,0.0,4.5,4.5,9,4.537,0.0735,4.4805,4.5935,9,4.5185,0.0556,4.4758,4.5612,9,4.6297,0.0735,4.5732,4.6862,Kruskal-Wallis,18.2103,0.0027,**,Mann-Whitney U,0.0,0.0004,27.0,-0.0556,-0.1301,0.019,-0.7559,0.1396,,Mann-Whitney U,0.0,,45.0,0.0185,-0.0242,0.0612,0.4714,0.3741,,Mann-Whitney U,0.0,0.0,36.0,-0.0185,-0.084,0.047,-0.2843,0.5848,,Mann-Whitney U,0.0,0.0,40.5,0.0,-0.0555,0.0555,0.0,1.0,,Mann-Whitney U,0.0,0.0,13.5,-0.1111,-0.1766,-0.0456,-1.7056,0.0066,**,Mann-Whitney U,0.0004,,58.5,0.0741,0.0066,0.1416,1.1926,0.0321,*,Mann-Whitney U,0.0004,0.0,49.5,0.037,-0.0441,0.1182,0.4573,0.3587,,Mann-Whitney U,0.0004,0.0,54.0,0.0556,-0.019,0.1301,0.7559,0.1396,,Mann-Whitney U,0.0004,0.0,27.0,-0.0556,-0.1367,0.0256,-0.686,0.1747,,Mann-Whitney U,,0.0,31.5,-0.037,-0.0935,0.0195,-0.7127,0.1686,,Mann-Whitney U,,0.0,36.0,-0.0185,-0.0612,0.0242,-0.4714,0.3741,,Mann-Whitney U,,0.0,9.0,-0.1297,-0.1862,-0.0732,-2.4944,0.0012,**,Mann-Whitney U,0.0,0.0,45.0,0.0185,-0.047,0.084,0.2843,0.5848,,Mann-Whitney U,0.0,0.0,18.0,-0.0926,-0.1661,-0.0192,-1.2599,0.0251,*,Mann-Whitney U,0.0,0.0,13.5,-0.1111,-0.1766,-0.0456,-1.7056,0.0066,**
RAF_Critic,RE,9,5.0,0.0,5.0,5.0,9,5.0,0.0,5.0,5.0,9,5.0,0.0,5.0,5.0,9,5.0,0.0,5.0,5.0,9,5.0,0.0,5.0,5.0,9,5.0,0.0,5.0,5.0,N/A (identical values),,,,Mann-Whitney U,,,40.5,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,40.5,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,40.5,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,40.5,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,40.5,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,40.5,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,40.5,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,40.5,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,40.5,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,40.5,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,40.5,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,40.5,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,40.5,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,40.5,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,40.5,0.0,0.0,0.0,0.0,1.0,
RAF_Critic,CH,9,5.0,0.0,5.0,5.0,9,5.0,0.0,5.0,5.0,9,5.0,0.0,5.0,5.0,9,5.0,0.0,5.0,5.0,9,5.0,0.0,5.0,5.0,9,5.0,0.0,5.0,5.0,N/A (identical values),,,,Mann-Whitney U,,,40.5,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,40.5,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,40.5,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,40.5,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,40.5,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,40.5,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,40.5,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,40.5,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,40.5,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,40.5,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,40.5,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,40.5,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,40.5,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,40.5,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,40.5,0.0,0.0,0.0,0.0,1.0,
RAF_Critic,EM,9,5.0,0.0,5.0,5.0,9,5.0,0.0,5.0,5.0,9,5.0,0.0,5.0,5.0,9,5.0,0.0,5.0,5.0,9,5.0,0.0,5.0,5.0,9,5.0,0.0,5.0,5.0,N/A (identical values),,,,Mann-Whitney U,,,40.5,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,40.5,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,40.5,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,40.5,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,40.5,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,40.5,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,40.5,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,40.5,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,40.5,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,40.5,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,40.5,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,40.5,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,40.5,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,40.5,0.0,0.0,0.0,0.0,1.0,,Mann-Whitney U,,,40.5,0.0,0.0,0.0,0.0,1.0,
