Curve_Type,Metric,RAF_NoCritic,RAF_Critic,AVL_NoCritic,AVL_Critic
Curve_1,Count,20.0,21.0,25.0,17.0
Curve_1,RE,5.0,5.0,5.0,5.0
Curve_1,CH,5.0,5.0,5.0,5.0
Curve_1,EM,5.0,5.0,5.0,5.0
Curve_1,SU,2.863,2.8333,3.0264,2.9722
Curve_1,EG,5.0,5.0,5.0,5.0
Curve_1,CX,3.963,4.037,3.8677,4.0
Curve_1,OV,4.471,4.4784,4.4824,4.4954
Curve_2,Count,27.0,17.0,27.0,22.0
Curve_2,RE,5.0,5.0,5.0,5.0
Curve_2,CH,5.0,5.0,5.0,5.0
Curve_2,EM,5.0,5.0,5.0,5.0
Curve_2,SU,2.9259,2.8889,2.9259,2.9394
Curve_2,EG,5.0,5.0,4.8889,4.9697
Curve_2,CX,4.1481,4.1111,4.037,4.0303
Curve_2,OV,4.5124,4.5,4.4753,4.4899
Curve_3,Count,23.0,16.0,23.0,25.0
Curve_3,RE,5.0,5.0,5.0,5.0
Curve_3,CH,5.0,5.0,5.0,5.0
Curve_3,EM,5.0,5.0,5.0,5.0
Curve_3,SU,2.9259,3.0556,3.0247,3.0303
Curve_3,EG,5.0,5.0,5.0,4.9697
Curve_3,CX,4.0,3.8413,3.94,3.9836
Curve_3,OV,4.4877,4.4828,4.4941,4.4973
Curve_4,Count,16.0,18.0,17.0,22.0
Curve_4,RE,5.0,5.0,5.0,5.0
Curve_4,CH,5.0,5.0,5.0,5.0
Curve_4,EM,5.0,5.0,5.0,5.0
Curve_4,SU,3.0,3.1296,2.8667,3.1508
Curve_4,EG,5.0,5.0,4.9333,5.0
Curve_4,CX,4.1111,4.1852,4.0556,4.0556
Curve_4,OV,4.5185,4.5525,4.4759,4.5344
Curve_5,Count,20.0,18.0,19.0,16.0
Curve_5,RE,5.0,5.0,5.0,5.0
Curve_5,CH,5.0,5.0,5.0,5.0
Curve_5,EM,5.0,5.0,5.0,5.0
Curve_5,SU,3.0939,3.0,3.0093,2.9921
Curve_5,EG,5.0,5.0,5.0,5.0
Curve_5,CX,3.9167,4.1111,3.8889,4.0
Curve_5,OV,4.5018,4.5185,4.483,4.4987
Curve_6,Count,24.0,21.0,24.0,31.0
Curve_6,RE,5.0,5.0,5.0,5.0
Curve_6,CH,5.0,5.0,5.0,5.0
Curve_6,EM,5.0,5.0,5.0,5.0
Curve_6,SU,3.2037,2.9444,2.9259,2.7749
Curve_6,EG,5.0,5.0,4.963,4.9744
Curve_6,CX,4.0741,4.1482,4.037,3.9117
Curve_6,OV,4.5463,4.5154,4.4876,4.4435
