Curve_Type,Metric,RAF_NoCritic,RAF_Critic,AVL_NoCritic,AVL_Critic
Curve_1,Count,9.0,9.0,9.0,9.0
Curve_1,RE,5.0,5.0,5.0,5.0
Curve_1,CH,5.0,5.0,5.0,5.0
Curve_1,EM,5.0,5.0,5.0,5.0
Curve_1,SU,3.0,3.0,3.2222,3.1111
Curve_1,EG,5.0,5.0,5.0,5.0
Curve_1,CX,4.1111,4.1111,4.0,4.0
Curve_1,OV,4.5185,4.5185,4.537,4.5185
Curve_2,Count,9.0,9.0,9.0,9.0
Curve_2,RE,5.0,5.0,5.0,5.0
Curve_2,CH,5.0,5.0,5.0,5.0
Curve_2,EM,5.0,5.0,5.0,5.0
Curve_2,SU,3.0,3.1111,3.1111,3.0
Curve_2,EG,5.0,5.0,5.0,5.0
Curve_2,CX,4.4444,4.2222,4.2222,4.2222
Curve_2,OV,4.5741,4.5556,4.5556,4.537
Curve_3,Count,9.0,9.0,9.0,9.0
Curve_3,RE,5.0,5.0,5.0,5.0
Curve_3,CH,5.0,5.0,5.0,5.0
Curve_3,EM,5.0,5.0,5.0,5.0
Curve_3,SU,3.0,3.1111,3.1852,3.1111
Curve_3,EG,5.0,5.0,5.0,5.0
Curve_3,CX,4.0,3.8889,4.0741,4.2222
Curve_3,OV,4.5,4.5,4.5432,4.5556
Curve_4,Count,9.0,9.0,9.0,9.0
Curve_4,RE,5.0,5.0,5.0,5.0
Curve_4,CH,5.0,5.0,5.0,5.0
Curve_4,EM,5.0,5.0,5.0,5.0
Curve_4,SU,3.0,3.3333,3.0,3.3333
Curve_4,EG,5.0,5.0,5.0,5.0
Curve_4,CX,4.2222,4.4445,4.2222,4.1111
Curve_4,OV,4.537,4.6296,4.5371,4.5741
Curve_5,Count,9.0,9.0,9.0,9.0
Curve_5,RE,5.0,5.0,5.0,5.0
Curve_5,CH,5.0,5.0,5.0,5.0
Curve_5,EM,5.0,5.0,5.0,5.0
Curve_5,SU,3.2222,3.0,3.2222,3.1111
Curve_5,EG,5.0,5.0,5.0,5.0
Curve_5,CX,3.8889,4.1111,4.0,4.0
Curve_5,OV,4.5185,4.5185,4.5371,4.5185
Curve_6,Count,9.0,9.0,9.0,9.0
Curve_6,RE,5.0,5.0,5.0,5.0
Curve_6,CH,5.0,5.0,5.0,5.0
Curve_6,EM,5.0,5.0,5.0,5.0
Curve_6,SU,3.5555,3.0,3.2222,3.0
Curve_6,EG,5.0,5.0,5.0,5.0
Curve_6,CX,4.2222,4.3333,4.0,4.1111
Curve_6,OV,4.6297,4.5556,4.537,4.5185
