Theme,Genre,Novel,Curve_Type,Story_ID,RAF_NoCritic_Count,RAF_NoCritic_RE,RAF_NoCritic_CH,RAF_NoCritic_EM,RAF_NoCritic_SU,RAF_NoCritic_EG,RAF_NoCritic_CX,RAF_NoCritic_OV,RAF_Critic_Count,RAF_Critic_RE,RAF_Critic_CH,RAF_Critic_EM,RAF_Critic_SU,RAF_Critic_EG,RAF_Critic_CX,RAF_Critic_OV,AVL_NoCritic_Count,AVL_NoCritic_RE,AVL_NoCritic_CH,AVL_NoCritic_EM,AVL_NoCritic_SU,AVL_NoCritic_EG,AVL_NoCritic_CX,AVL_NoCritic_OV,AVL_Critic_Count,AVL_Critic_RE,AVL_Critic_CH,AVL_Critic_EM,AVL_Critic_SU,AVL_Critic_EG,AVL_Critic_CX,AVL_Critic_OV
Climate_Change,Romance,World_Curve_1_Story_1,Curve_1,Story_1,6,5.0,5.0,5.0,2.8333,5.0,4.0,4.4722,8,5.0,5.0,5.0,2.75,5.0,4.0,4.4583,9,5.0,5.0,5.0,3.0,5.0,3.8889,4.4815,6,5.0,5.0,5.0,3.1667,5.0,4.0,4.5278
Climate_Change,Romance,World_Curve_1_Story_2,Curve_1,Story_2,9,5.0,5.0,5.0,2.8889,5.0,3.8889,4.463,4,5.0,5.0,5.0,2.75,5.0,4.0,4.4583,9,5.0,5.0,5.0,3.2222,5.0,4.0,4.537,4,5.0,5.0,5.0,2.75,5.0,4.0,4.4583
Climate_Change,Romance,World_Curve_1_Story_3,Curve_1,Story_3,5,5.0,5.0,5.0,2.8667,5.0,4.0,4.4778,9,5.0,5.0,5.0,3.0,5.0,4.1111,4.5185,7,5.0,5.0,5.0,2.8571,5.0,3.7143,4.4286,7,5.0,5.0,5.0,3.0,5.0,4.0,4.5
Climate_Change,Romance,World_Curve_2_Story_1,Curve_2,Story_1,9,5.0,5.0,5.0,2.8889,5.0,4.4444,4.5556,6,5.0,5.0,5.0,2.8333,5.0,4.3333,4.5278,9,5.0,5.0,5.0,2.8889,4.8889,4.0,4.463,11,5.0,5.0,5.0,2.8182,4.9091,4.0909,4.4697
Climate_Change,Romance,World_Curve_2_Story_2,Curve_2,Story_2,9,5.0,5.0,5.0,2.8889,5.0,4.0,4.4815,5,5.0,5.0,5.0,3.0,5.0,4.0,4.5,9,5.0,5.0,5.0,3.0,4.8889,4.0,4.4815,5,5.0,5.0,5.0,3.0,5.0,4.0,4.5
Climate_Change,Romance,World_Curve_2_Story_3,Curve_2,Story_3,9,5.0,5.0,5.0,3.0,5.0,4.0,4.5,6,5.0,5.0,5.0,2.8333,5.0,4.0,4.4722,9,5.0,5.0,5.0,2.8889,4.8889,4.1111,4.4815,6,5.0,5.0,5.0,3.0,5.0,4.0,4.5
Climate_Change,Romance,World_Curve_3_Story_1,Curve_3,Story_1,5,5.0,5.0,5.0,3.0,5.0,4.0,4.5,3,5.0,5.0,5.0,3.0,5.0,3.6667,4.4444,9,5.0,5.0,5.0,3.0741,5.0,3.963,4.5062,11,5.0,5.0,5.0,3.0909,4.9091,3.9091,4.4849
Climate_Change,Romance,World_Curve_3_Story_2,Curve_3,Story_2,9,5.0,5.0,5.0,2.8889,5.0,4.0,4.4815,6,5.0,5.0,5.0,3.1667,5.0,4.0,4.5278,7,5.0,5.0,5.0,3.0,5.0,3.8571,4.4762,8,5.0,5.0,5.0,3.0,5.0,3.875,4.4792
Climate_Change,Romance,World_Curve_3_Story_3,Curve_3,Story_3,9,5.0,5.0,5.0,2.8889,5.0,4.0,4.4815,7,5.0,5.0,5.0,3.0,5.0,3.8571,4.4762,7,5.0,5.0,5.0,3.0,5.0,4.0,4.5,6,5.0,5.0,5.0,3.0,5.0,4.1667,4.5278
Climate_Change,Romance,World_Curve_4_Story_1,Curve_4,Story_1,6,5.0,5.0,5.0,3.0,5.0,4.0,4.5,3,5.0,5.0,5.0,3.0,5.0,4.0,4.5,6,5.0,5.0,5.0,3.0,5.0,4.1667,4.5278,9,5.0,5.0,5.0,3.0,5.0,4.0,4.5
