Judge_Model,Metric,Effect,RAF_NoCritic (N/Mean),RAF_Critic (N/Mean),AVL_NoCritic (N/Mean),AVL_Critic (N/Mean),Interaction_Delta,Interaction_Direction,Mean_Diff,CI95,Cohen_d,Test_Used,SW_p_A,SW_p_B,Statistic,p_raw,Conclusion
gemma3:12b-it-fp16,RE,Main Effect A (Curve: RAF vs AVL),130.0 / 4.9462,111.0 / 4.9099,135.0 / 4.9185,133.0 / 4.9549,-0.0727,AVL benefits more from Critic,-0.0071,"[-0.0509, 0.0366]",-0.0284,Mann-Whitney U,0.0,0.0,32064.5,0.7493 nan,A < B (nan)
gemma3:12b-it-fp16,RE,Main Effect B (Critic: No vs With),130.0 / 4.9462,111.0 / 4.9099,135.0 / 4.9185,133.0 / 4.9549,-0.0727,AVL benefits more from Critic,-0.0024,"[-0.0459, 0.0412]",-0.0094,Mann-Whitney U,0.0,0.0,32254.0,0.9161 nan,A < B (nan)
gemma3:12b-it-fp16,RE,Simple Effect: Critic @ RAF,130.0 / 4.9462,111.0 / 4.9099,135.0 / 4.9185,133.0 / 4.9549,-0.0727,AVL benefits more from Critic,0.0362,"[-0.0303, 0.1028]",0.1413,Mann-Whitney U,0.0,0.0,7476.5,0.2753 nan,A > B (nan)
gemma3:12b-it-fp16,RE,Simple Effect: Critic @ AVL,130.0 / 4.9462,111.0 / 4.9099,135.0 / 4.9185,133.0 / 4.9549,-0.0727,AVL benefits more from Critic,-0.0364,"[-0.0950, 0.0222]",-0.1491,Mann-Whitney U,0.0,0.0,8651.0,0.2235 nan,A < B (nan)
gemma3:12b-it-fp16,RE,Simple Effect: Curve @ No_Critic,130.0 / 4.9462,111.0 / 4.9099,135.0 / 4.9185,133.0 / 4.9549,-0.0727,AVL benefits more from Critic,0.0276,"[-0.0332, 0.0884]",0.1096,Mann-Whitney U,0.0,0.0,9017.5,0.3733 nan,A > B (nan)
gemma3:12b-it-fp16,RE,Simple Effect: Curve @ With_Critic,130.0 / 4.9462,111.0 / 4.9099,135.0 / 4.9185,133.0 / 4.9549,-0.0727,AVL benefits more from Critic,-0.045,"[-0.1095, 0.0196]",-0.1817,Mann-Whitney U,0.0,0.0,7049.5,0.1590 nan,A < B (nan)
gemma3:12b-it-fp16,CH,Main Effect A (Curve: RAF vs AVL),130.0 / 4.9538,111.0 / 4.9369,135.0 / 4.8444,133.0 / 4.8722,-0.0447,AVL benefits more from Critic,0.0878,"[0.0370, 0.1387]",0.2952,Mann-Whitney U,0.0,0.0,35131.0,0.0010 ***,A > B (***)
gemma3:12b-it-fp16,CH,Main Effect B (Critic: No vs With),130.0 / 4.9538,111.0 / 4.9369,135.0 / 4.8444,133.0 / 4.8722,-0.0447,AVL benefits more from Critic,-0.0035,"[-0.0559, 0.0489]",-0.0117,Mann-Whitney U,0.0,0.0,32216.0,0.8953 nan,A < B (nan)
gemma3:12b-it-fp16,CH,Simple Effect: Critic @ RAF,130.0 / 4.9538,111.0 / 4.9369,135.0 / 4.8444,133.0 / 4.8722,-0.0447,AVL benefits more from Critic,0.0169,"[-0.0415, 0.0753]",0.0746,Mann-Whitney U,0.0,0.0,7337.0,0.5649 nan,A > B (nan)
gemma3:12b-it-fp16,CH,Simple Effect: Critic @ AVL,130.0 / 4.9538,111.0 / 4.9369,135.0 / 4.8444,133.0 / 4.8722,-0.0447,AVL benefits more from Critic,-0.0277,"[-0.1118, 0.0564]",-0.0793,Mann-Whitney U,0.0,0.0,8728.5,0.5168 nan,A < B (nan)
