Judge_Model,Curve_Type,Metric,RAF_NoCritic,RAF_Critic,AVL_NoCritic,AVL_Critic
gemma3:12b-it-fp16,Curve_1,RE,5.0,5.0,5.0,5.0
mistral:7b-instruct-v0.3-fp16,Curve_1,RE,4.7185,4.8611,4.4762,4.7182
qwen3:14b-fp16,Curve_1,RE,5.0,5.0,5.0,5.0
gemma3:12b-it-fp16,Curve_1,CH,5.0,5.0,5.0,5.0
mistral:7b-instruct-v0.3-fp16,Curve_1,CH,4.8148,4.3981,5.0,4.7341
qwen3:14b-fp16,Curve_1,CH,5.0,5.0,5.0,5.0
gemma3:12b-it-fp16,Curve_1,EM,4.0556,4.037,4.1958,4.131
mistral:7b-instruct-v0.3-fp16,Curve_1,EM,4.0556,4.0185,4.037,4.0278
qwen3:14b-fp16,Curve_1,EM,5.0,5.0,5.0,5.0
gemma3:12b-it-fp16,Curve_1,SU,3.0556,3.0,3.0741,3.0
mistral:7b-instruct-v0.3-fp16,Curve_1,SU,3.437,3.5556,3.3545,3.4682
qwen3:14b-fp16,Curve_1,SU,2.863,2.8333,3.0264,2.9722
gemma3:12b-it-fp16,Curve_1,EG,4.8333,4.75,4.8889,4.9048
mistral:7b-instruct-v0.3-fp16,Curve_1,EG,4.3815,4.2222,4.2698,4.4127
qwen3:14b-fp16,Curve_1,EG,5.0,5.0,5.0,5.0
gemma3:12b-it-fp16,Curve_1,CX,3.963,3.9583,4.0,4.0
mistral:7b-instruct-v0.3-fp16,Curve_1,CX,4.0,4.0185,4.0,4.0278
qwen3:14b-fp16,Curve_1,CX,3.963,4.037,3.8677,4.0
gemma3:12b-it-fp16,Curve_1,OV,4.3179,4.2909,4.3598,4.3393
mistral:7b-instruct-v0.3-fp16,Curve_1,OV,4.2617,4.2633,4.1896,4.2664
qwen3:14b-fp16,Curve_1,OV,4.471,4.4784,4.4824,4.4954
gemma3:12b-it-fp16,Curve_1,Count,20.0,21.0,25.0,17.0
mistral:7b-instruct-v0.3-fp16,Curve_1,Count,20.0,21.0,25.0,17.0
qwen3:14b-fp16,Curve_1,Count,20.0,21.0,25.0,17.0
gemma3:12b-it-fp16,Curve_2,RE,4.8148,4.7444,4.8148,5.0
mistral:7b-instruct-v0.3-fp16,Curve_2,RE,4.3333,4.2055,4.2222,4.4955
qwen3:14b-fp16,Curve_2,RE,5.0,5.0,5.0,5.0
gemma3:12b-it-fp16,Curve_2,CH,4.963,4.8889,4.7037,4.5838
mistral:7b-instruct-v0.3-fp16,Curve_2,CH,4.6296,4.3889,4.537,4.9333
qwen3:14b-fp16,Curve_2,CH,5.0,5.0,5.0,5.0
gemma3:12b-it-fp16,Curve_2,EM,4.1481,4.1778,4.4074,4.5495
mistral:7b-instruct-v0.3-fp16,Curve_2,EM,4.037,4.0278,4.1111,4.1763
qwen3:14b-fp16,Curve_2,EM,5.0,5.0,5.0,5.0
gemma3:12b-it-fp16,Curve_2,SU,3.0,3.0556,2.963,3.0667
mistral:7b-instruct-v0.3-fp16,Curve_2,SU,3.2593,3.0833,3.2408,3.305
qwen3:14b-fp16,Curve_2,SU,2.9259,2.8889,2.9259,2.9394
gemma3:12b-it-fp16,Curve_2,EG,4.1852,4.2333,4.2963,4.2848
mistral:7b-instruct-v0.3-fp16,Curve_2,EG,4.0926,4.0,4.2037,4.2874
qwen3:14b-fp16,Curve_2,EG,5.0,5.0,4.8889,4.9697
gemma3:12b-it-fp16,Curve_2,CX,3.9259,3.8111,3.963,4.0
mistral:7b-instruct-v0.3-fp16,Curve_2,CX,3.9815,4.0278,4.0,4.0303
qwen3:14b-fp16,Curve_2,CX,4.1481,4.1111,4.037,4.0303
gemma3:12b-it-fp16,Curve_2,OV,4.1728,4.1519,4.1913,4.2475
mistral:7b-instruct-v0.3-fp16,Curve_2,OV,4.1025,4.0352,4.1031,4.2046
qwen3:14b-fp16,Curve_2,OV,4.5124,4.5,4.4753,4.4899
gemma3:12b-it-fp16,Curve_2,Count,27.0,17.0,27.0,22.0
mistral:7b-instruct-v0.3-fp16,Curve_2,Count,27.0,17.0,27.0,22.0
qwen3:14b-fp16,Curve_2,Count,27.0,17.0,27.0,22.0
gemma3:12b-it-fp16,Curve_3,RE,5.0,5.0,5.0,4.9583
mistral:7b-instruct-v0.3-fp16,Curve_3,RE,4.5408,4.7857,4.5661,4.6566
qwen3:14b-fp16,Curve_3,RE,5.0,5.0,5.0,5.0
gemma3:12b-it-fp16,Curve_3,CH,4.9333,5.0,4.9153,4.9697
mistral:7b-instruct-v0.3-fp16,Curve_3,CH,4.2963,3.8889,4.7619,5.0
qwen3:14b-fp16,Curve_3,CH,5.0,5.0,5.0,5.0
gemma3:12b-it-fp16,Curve_3,EM,4.1407,4.1587,4.3386,4.0909
mistral:7b-instruct-v0.3-fp16,Curve_3,EM,4.037,4.0476,4.1799,4.0
