Judge_Model,Curve_Type,Metric,RAF_NoCritic,RAF_Critic,AVL_NoCritic,AVL_Critic
gemma3:12b-it-fp16,Curve_1,RE,5.0,5.0,5.0,5.0
mistral:7b-instruct-v0.3-fp16,Curve_1,RE,4.8889,4.9444,5.0,5.0
qwen3:14b-fp16,Curve_1,RE,5.0,5.0,5.0,5.0
gemma3:12b-it-fp16,Curve_1,CH,5.0,5.0,5.0,5.0
mistral:7b-instruct-v0.3-fp16,Curve_1,CH,5.0,4.4444,5.0,5.0
qwen3:14b-fp16,Curve_1,CH,5.0,5.0,5.0,5.0
gemma3:12b-it-fp16,Curve_1,EM,4.1111,4.1111,4.4444,4.2222
mistral:7b-instruct-v0.3-fp16,Curve_1,EM,4.1111,4.0556,4.0,4.0
qwen3:14b-fp16,Curve_1,EM,5.0,5.0,5.0,5.0
gemma3:12b-it-fp16,Curve_1,SU,3.1111,3.0,3.2222,3.0
mistral:7b-instruct-v0.3-fp16,Curve_1,SU,3.7778,3.8889,3.8889,3.7778
qwen3:14b-fp16,Curve_1,SU,3.0,3.0,3.2222,3.1111
gemma3:12b-it-fp16,Curve_1,EG,5.0,5.0,5.0,5.0
mistral:7b-instruct-v0.3-fp16,Curve_1,EG,4.7778,4.5,4.6667,4.6667
qwen3:14b-fp16,Curve_1,EG,5.0,5.0,5.0,5.0
gemma3:12b-it-fp16,Curve_1,CX,4.0,4.0,4.0,4.0
mistral:7b-instruct-v0.3-fp16,Curve_1,CX,4.0,4.0556,4.0,4.0
qwen3:14b-fp16,Curve_1,CX,4.1111,4.1111,4.0,4.0
gemma3:12b-it-fp16,Curve_1,OV,4.3703,4.3518,4.4444,4.3704
mistral:7b-instruct-v0.3-fp16,Curve_1,OV,4.4259,4.3963,4.4259,4.4074
qwen3:14b-fp16,Curve_1,OV,4.5185,4.5185,4.537,4.5185
gemma3:12b-it-fp16,Curve_1,Count,9.0,9.0,9.0,9.0
mistral:7b-instruct-v0.3-fp16,Curve_1,Count,9.0,9.0,9.0,9.0
qwen3:14b-fp16,Curve_1,Count,9.0,9.0,9.0,9.0
gemma3:12b-it-fp16,Curve_2,RE,5.0,4.8889,5.0,5.0
mistral:7b-instruct-v0.3-fp16,Curve_2,RE,4.6667,4.3889,4.6667,4.7778
qwen3:14b-fp16,Curve_2,RE,5.0,5.0,5.0,5.0
gemma3:12b-it-fp16,Curve_2,CH,5.0,4.8889,4.6667,4.6667
mistral:7b-instruct-v0.3-fp16,Curve_2,CH,5.0,4.4444,4.2778,4.8889
qwen3:14b-fp16,Curve_2,CH,5.0,5.0,5.0,5.0
gemma3:12b-it-fp16,Curve_2,EM,4.3333,4.3333,4.5556,4.5556
mistral:7b-instruct-v0.3-fp16,Curve_2,EM,4.1111,4.0556,4.3333,4.3334
qwen3:14b-fp16,Curve_2,EM,5.0,5.0,5.0,5.0
gemma3:12b-it-fp16,Curve_2,SU,3.0,3.2222,3.0,3.1111
mistral:7b-instruct-v0.3-fp16,Curve_2,SU,3.5556,3.1667,3.7222,3.6667
qwen3:14b-fp16,Curve_2,SU,3.0,3.1111,3.1111,3.0
gemma3:12b-it-fp16,Curve_2,EG,4.5556,4.4444,4.7778,4.5556
mistral:7b-instruct-v0.3-fp16,Curve_2,EG,4.2778,4.0,4.6111,4.5556
qwen3:14b-fp16,Curve_2,EG,5.0,5.0,5.0,5.0
