Judge_Model,Theme,Metric,RAF_NoCritic,RAF_Critic,AVL_NoCritic,AVL_Critic
gemma3:12b-it-fp16,Climate_Change,RE,4.9537,4.9204,4.9191,4.9573
mistral:7b-instruct-v0.3-fp16,Climate_Change,RE,4.4436,4.5025,4.4415,4.5553
qwen3:14b-fp16,Climate_Change,RE,5.0,5.0,5.0,5.0
gemma3:12b-it-fp16,Climate_Change,CH,4.9488,4.929,4.8405,4.8763
mistral:7b-instruct-v0.3-fp16,Climate_Change,CH,4.5895,4.492,4.6853,4.7896
qwen3:14b-fp16,Climate_Change,CH,5.0,5.0,5.0,5.0
gemma3:12b-it-fp16,Climate_Change,EM,4.0944,4.1865,4.3486,4.2483
mistral:7b-instruct-v0.3-fp16,Climate_Change,EM,4.0401,4.0203,4.1227,4.0678
qwen3:14b-fp16,Climate_Change,EM,5.0,5.0,5.0,5.0
gemma3:12b-it-fp16,Climate_Change,SU,2.9982,3.0216,3.0516,3.0541
mistral:7b-instruct-v0.3-fp16,Climate_Change,SU,3.3118,3.3231,3.3581,3.366
qwen3:14b-fp16,Climate_Change,SU,3.0021,2.9753,2.9632,2.9766
gemma3:12b-it-fp16,Climate_Change,EG,4.4175,4.4728,4.5811,4.5193
mistral:7b-instruct-v0.3-fp16,Climate_Change,EG,4.1644,4.184,4.2266,4.2629
qwen3:14b-fp16,Climate_Change,EG,5.0,5.0,4.9642,4.9856
gemma3:12b-it-fp16,Climate_Change,CX,3.9704,3.9567,4.0111,3.9858
mistral:7b-instruct-v0.3-fp16,Climate_Change,CX,4.0093,3.9985,4.0345,4.0159
qwen3:14b-fp16,Climate_Change,CX,4.0355,4.0723,3.9711,3.9969
gemma3:12b-it-fp16,Climate_Change,OV,4.2305,4.2478,4.292,4.2735
mistral:7b-instruct-v0.3-fp16,Climate_Change,OV,4.1451,4.1551,4.1809,4.2016
qwen3:14b-fp16,Climate_Change,OV,4.5063,4.5079,4.4831,4.4932
gemma3:12b-it-fp16,Climate_Change,Count,130.0,111.0,135.0,133.0
mistral:7b-instruct-v0.3-fp16,Climate_Change,Count,130.0,111.0,135.0,133.0
qwen3:14b-fp16,Climate_Change,Count,130.0,111.0,135.0,133.0
""
"--- METRIC DEFINITIONS ---"
"RE(Relevance), CH(Coherence), EM(Empathy), SU(Surprise), EG(Engagement), CX(Complexity), OV(Overall)"
"Count(the total number of successfully evaluated story routes)"
