Judge_Model,Theme,Genre,Novel,Curve_Type,Story_ID,RAF_NoCritic_Count,RAF_NoCritic_RE,RAF_NoCritic_CH,RAF_NoCritic_EM,RAF_NoCritic_SU,RAF_NoCritic_EG,RAF_NoCritic_CX,RAF_NoCritic_OV,RAF_Critic_Count,RAF_Critic_RE,RAF_Critic_CH,RAF_Critic_EM,RAF_Critic_SU,RAF_Critic_EG,RAF_Critic_CX,RAF_Critic_OV,AVL_NoCritic_Count,AVL_NoCritic_RE,AVL_NoCritic_CH,AVL_NoCritic_EM,AVL_NoCritic_SU,AVL_NoCritic_EG,AVL_NoCritic_CX,AVL_NoCritic_OV,AVL_Critic_Count,AVL_Critic_RE,AVL_Critic_CH,AVL_Critic_EM,AVL_Critic_SU,AVL_Critic_EG,AVL_Critic_CX,AVL_Critic_OV
gemma3:12b-it-fp16,Climate_Change,Romance,World_Curve_1_Story_1,Curve_1,Story_1,6,5.0,5.0,4.1667,3.1667,4.8333,4.0,4.3611,8,5.0,5.0,4.0,3.0,4.5,3.875,4.2292,9,5.0,5.0,4.1111,3.0,4.6667,4.0,4.2963,6,5.0,5.0,4.0,3.0,5.0,4.0,4.3333
gemma3:12b-it-fp16,Climate_Change,Romance,World_Curve_1_Story_2,Curve_1,Story_2,9,5.0,5.0,4.0,3.0,4.6667,3.8889,4.2592,4,5.0,5.0,4.0,3.0,4.75,4.0,4.2917,9,5.0,5.0,4.3333,3.2222,5.0,4.0,4.4259,4,5.0,5.0,4.25,3.0,5.0,4.0,4.375
gemma3:12b-it-fp16,Climate_Change,Romance,World_Curve_1_Story_3,Curve_1,Story_3,5,5.0,5.0,4.0,3.0,5.0,4.0,4.3333,9,5.0,5.0,4.1111,3.0,5.0,4.0,4.3518,7,5.0,5.0,4.1429,3.0,5.0,4.0,4.3571,7,5.0,5.0,4.1429,3.0,4.7143,4.0,4.3095
mistral:7b-instruct-v0.3-fp16,Climate_Change,Romance,World_Curve_1_Story_1,Curve_1,Story_1,6,5.0,5.0,4.1667,3.6667,4.5,4.0,4.3889,8,4.75,3.75,4.0,3.5,4.25,4.0,4.2167,9,4.4444,5.0,4.0,3.3333,4.2222,4.0,4.1667,6,4.5833,4.9167,4.0833,3.5833,4.4167,4.0833,4.2778
mistral:7b-instruct-v0.3-fp16,Climate_Change,Romance,World_Curve_1_Story_2,Curve_1,Story_2,9,4.5556,4.4444,4.0,3.4444,4.4444,4.0,4.2296,4,5.0,5.0,4.0,3.5,4.25,4.0,4.2917,9,4.5556,5.0,4.1111,3.4444,4.4444,4.0,4.2593,4,5.0,5.0,4.0,3.25,4.25,4.0,4.25
mistral:7b-instruct-v0.3-fp16,Climate_Change,Romance,World_Curve_1_Story_3,Curve_1,Story_3,5,4.6,5.0,4.0,3.2,4.2,4.0,4.1667,9,4.8333,4.4444,4.0556,3.6667,4.1667,4.0556,4.2815,7,4.4286,5.0,4.0,3.2857,4.1429,4.0,4.1429,7,4.5714,4.2857,4.0,3.5714,4.5714,4.0,4.2714
qwen3:14b-fp16,Climate_Change,Romance,World_Curve_1_Story_1,Curve_1,Story_1,6,5.0,5.0,5.0,2.8333,5.0,4.0,4.4722,8,5.0,5.0,5.0,2.75,5.0,4.0,4.4583,9,5.0,5.0,5.0,3.0,5.0,3.8889,4.4815,6,5.0,5.0,5.0,3.1667,5.0,4.0,4.5278
qwen3:14b-fp16,Climate_Change,Romance,World_Curve_1_Story_2,Curve_1,Story_2,9,5.0,5.0,5.0,2.8889,5.0,3.8889,4.463,4,5.0,5.0,5.0,2.75,5.0,4.0,4.4583,9,5.0,5.0,5.0,3.2222,5.0,4.0,4.537,4,5.0,5.0,5.0,2.75,5.0,4.0,4.4583
qwen3:14b-fp16,Climate_Change,Romance,World_Curve_1_Story_3,Curve_1,Story_3,5,5.0,5.0,5.0,2.8667,5.0,4.0,4.4778,9,5.0,5.0,5.0,3.0,5.0,4.1111,4.5185,7,5.0,5.0,5.0,2.8571,5.0,3.7143,4.4286,7,5.0,5.0,5.0,3.0,5.0,4.0,4.5
gemma3:12b-it-fp16,Climate_Change,Romance,World_Curve_2_Story_1,Curve_2,Story_1,9,5.0,4.8889,4.3333,3.0,4.3333,4.0,4.2593,6,5.0,4.8333,4.3333,3.1667,4.3333,4.0,4.2778,9,4.7778,4.6667,4.4444,3.0,4.3333,4.0,4.2037,11,5.0,4.8182,4.1818,3.0,4.4545,4.0,4.2424
gemma3:12b-it-fp16,Climate_Change,Romance,World_Curve_2_Story_2,Curve_2,Story_2,9,5.0,5.0,4.1111,3.0,4.2222,4.0,4.2222,5,4.4,5.0,4.2,3.0,4.2,3.6,4.0667,9,4.8889,4.6667,4.4444,3.0,4.3333,4.1111,4.2407,5,5.0,4.6,4.8,3.2,4.4,4.0,4.3334
gemma3:12b-it-fp16,Climate_Change,Romance,World_Curve_2_Story_3,Curve_2,Story_3,9,4.4444,5.0,4.0,3.0,4.0,3.7778,4.037,6,4.8333,4.8333,4.0,3.0,4.1667,3.8333,4.1111,9,4.7778,4.7778,4.3333,2.8889,4.2222,3.7778,4.1296,6,5.0,4.3333,4.6667,3.0,4.0,4.0,4.1667
mistral:7b-instruct-v0.3-fp16,Climate_Change,Romance,World_Curve_2_Story_1,Curve_2,Story_1,9,4.3333,5.0,4.1111,3.2222,4.0556,4.0556,4.1296,6,4.3333,5.0,4.0,3.1667,4.0,4.0,4.0833,9,4.1667,3.8333,4.0556,3.1667,4.1667,3.8889,4.0315,11,4.1364,5.0,4.0455,3.1818,4.0455,4.0909,4.0833
mistral:7b-instruct-v0.3-fp16,Climate_Change,Romance,World_Curve_2_Story_2,Curve_2,Story_2,9,4.5556,5.0,4.0,3.5556,4.2222,3.8889,4.2037,5,4.2,4.0,4.0,3.0,4.0,4.0,4.0,9,4.2778,4.9444,4.1667,3.2778,4.2222,4.0556,4.1574,5,4.6,4.8,4.4,3.4,4.4,4.0,4.2667
mistral:7b-instruct-v0.3-fp16,Climate_Change,Romance,World_Curve_2_Story_3,Curve_2,Story_3,9,4.1111,3.8889,4.0,3.0,4.0,4.0,3.9741,6,4.0833,4.1667,4.0833,3.0833,4.0,4.0833,4.0222,9,4.2222,4.8333,4.1111,3.2778,4.2222,4.0556,4.1204,6,4.75,5.0,4.0833,3.3333,4.4167,4.0,4.2639
qwen3:14b-fp16,Climate_Change,Romance,World_Curve_2_Story_1,Curve_2,Story_1,9,5.0,5.0,5.0,2.8889,5.0,4.4444,4.5556,6,5.0,5.0,5.0,2.8333,5.0,4.3333,4.5278,9,5.0,5.0,5.0,2.8889,4.8889,4.0,4.463,11,5.0,5.0,5.0,2.8182,4.9091,4.0909,4.4697
qwen3:14b-fp16,Climate_Change,Romance,World_Curve_2_Story_2,Curve_2,Story_2,9,5.0,5.0,5.0,2.8889,5.0,4.0,4.4815,5,5.0,5.0,5.0,3.0,5.0,4.0,4.5,9,5.0,5.0,5.0,3.0,4.8889,4.0,4.4815,5,5.0,5.0,5.0,3.0,5.0,4.0,4.5
