Judge_Model,Theme,Genre,Novel,Curve_Type,Story_ID,RAF_NoCritic_Count,RAF_NoCritic_RE,RAF_NoCritic_CH,RAF_NoCritic_EM,RAF_NoCritic_SU,RAF_NoCritic_EG,RAF_NoCritic_CX,RAF_NoCritic_OV,RAF_Critic_Count,RAF_Critic_RE,RAF_Critic_CH,RAF_Critic_EM,RAF_Critic_SU,RAF_Critic_EG,RAF_Critic_CX,RAF_Critic_OV,AVL_NoCritic_Count,AVL_NoCritic_RE,AVL_NoCritic_CH,AVL_NoCritic_EM,AVL_NoCritic_SU,AVL_NoCritic_EG,AVL_NoCritic_CX,AVL_NoCritic_OV,AVL_Critic_Count,AVL_Critic_RE,AVL_Critic_CH,AVL_Critic_EM,AVL_Critic_SU,AVL_Critic_EG,AVL_Critic_CX,AVL_Critic_OV
gemma3:12b-it-fp16,Climate_Change,Romance,World_Curve_1_Story_1,Curve_1,Story_1,3,5.0,5.0,4.3333,3.3333,5.0,4.0,4.4444,3,5.0,5.0,4.0,3.0,5.0,4.0,4.3333,3,5.0,5.0,4.0,3.0,5.0,4.0,4.3333,3,5.0,5.0,4.0,3.0,5.0,4.0,4.3333
gemma3:12b-it-fp16,Climate_Change,Romance,World_Curve_1_Story_2,Curve_1,Story_2,3,5.0,5.0,4.0,3.0,5.0,4.0,4.3333,3,5.0,5.0,4.0,3.0,5.0,4.0,4.3333,3,5.0,5.0,5.0,3.6667,5.0,4.0,4.6111,3,5.0,5.0,4.3333,3.0,5.0,4.0,4.3889
gemma3:12b-it-fp16,Climate_Change,Romance,World_Curve_1_Story_3,Curve_1,Story_3,3,5.0,5.0,4.0,3.0,5.0,4.0,4.3333,3,5.0,5.0,4.3333,3.0,5.0,4.0,4.3889,3,5.0,5.0,4.3333,3.0,5.0,4.0,4.3889,3,5.0,5.0,4.3333,3.0,5.0,4.0,4.3889
mistral:7b-instruct-v0.3-fp16,Climate_Change,Romance,World_Curve_1_Story_1,Curve_1,Story_1,3,5.0,5.0,4.3333,4.0,5.0,4.0,4.5556,3,5.0,3.3333,4.0,4.0,4.6667,4.0,4.4111,3,5.0,5.0,4.0,4.0,4.6667,4.0,4.4444,3,5.0,5.0,4.0,4.0,4.6667,4.0,4.4444
mistral:7b-instruct-v0.3-fp16,Climate_Change,Romance,World_Curve_1_Story_2,Curve_1,Story_2,3,5.0,5.0,4.0,4.0,5.0,4.0,4.5,3,5.0,5.0,4.0,3.6667,4.3333,4.0,4.3333,3,5.0,5.0,4.0,4.0,5.0,4.0,4.5,3,5.0,5.0,4.0,3.3333,4.3333,4.0,4.2778
mistral:7b-instruct-v0.3-fp16,Climate_Change,Romance,World_Curve_1_Story_3,Curve_1,Story_3,3,4.6667,5.0,4.0,3.3333,4.3333,4.0,4.2222,3,4.8333,5.0,4.1667,4.0,4.5,4.1667,4.4444,3,5.0,5.0,4.0,3.6667,4.3333,4.0,4.3333,3,5.0,5.0,4.0,4.0,5.0,4.0,4.5
qwen3:14b-fp16,Climate_Change,Romance,World_Curve_1_Story_1,Curve_1,Story_1,3,5.0,5.0,5.0,3.0,5.0,4.3333,4.5556,3,5.0,5.0,5.0,3.0,5.0,4.0,4.5,3,5.0,5.0,5.0,3.0,5.0,4.0,4.5,3,5.0,5.0,5.0,3.3333,5.0,4.0,4.5556
qwen3:14b-fp16,Climate_Change,Romance,World_Curve_1_Story_2,Curve_1,Story_2,3,5.0,5.0,5.0,3.0,5.0,4.0,4.5,3,5.0,5.0,5.0,3.0,5.0,4.0,4.5,3,5.0,5.0,5.0,3.6667,5.0,4.0,4.6111,3,5.0,5.0,5.0,3.0,5.0,4.0,4.5
qwen3:14b-fp16,Climate_Change,Romance,World_Curve_1_Story_3,Curve_1,Story_3,3,5.0,5.0,5.0,3.0,5.0,4.0,4.5,3,5.0,5.0,5.0,3.0,5.0,4.3333,4.5556,3,5.0,5.0,5.0,3.0,5.0,4.0,4.5,3,5.0,5.0,5.0,3.0,5.0,4.0,4.5
gemma3:12b-it-fp16,Climate_Change,Romance,World_Curve_2_Story_1,Curve_2,Story_1,3,5.0,5.0,4.6667,3.0,5.0,4.0,4.4444,3,5.0,4.6667,4.6667,3.3333,4.6667,4.0,4.3889,3,5.0,4.3333,5.0,3.0,5.0,4.0,4.3889,3,5.0,5.0,4.0,3.0,5.0,4.0,4.3333
