Judge_Model,Theme,Genre,Metric,Comparison,N (A/B),Mean±SD (A),Mean±SD (B),Test_Type,Pairwise_p,Conclusion
gemma3:12b-it-fp16,Climate_Change,Romance,RE,AVL_NoCritic vs AVL_Critic,135 vs 133,4.92 ± 0.27,4.95 ± 0.21,Mann-Whitney U,0.2235 nan,AVL_Critic higher (ns)
mistral:7b-instruct-v0.3-fp16,Climate_Change,Romance,RE,AVL_NoCritic vs AVL_Critic,135 vs 133,4.43 ± 0.46,4.52 ± 0.48,Mann-Whitney U,0.1300 nan,AVL_Critic higher (ns)
qwen3:14b-fp16,Climate_Change,Romance,RE,AVL_NoCritic vs AVL_Critic,135 vs 133,5.00 ± 0.00,5.00 ± 0.00,Mann-Whitney U,1.0000 nan,Tie (ns)
gemma3:12b-it-fp16,Climate_Change,Romance,RE,RAF_Critic vs AVL_Critic,111 vs 133,4.91 ± 0.29,4.95 ± 0.21,Mann-Whitney U,0.1590 nan,AVL_Critic higher (ns)
mistral:7b-instruct-v0.3-fp16,Climate_Change,Romance,RE,RAF_Critic vs AVL_Critic,111 vs 133,4.52 ± 0.50,4.52 ± 0.48,Mann-Whitney U,0.9532 nan,AVL_Critic higher (ns)
qwen3:14b-fp16,Climate_Change,Romance,RE,RAF_Critic vs AVL_Critic,111 vs 133,5.00 ± 0.00,5.00 ± 0.00,Mann-Whitney U,1.0000 nan,Tie (ns)
gemma3:12b-it-fp16,Climate_Change,Romance,RE,RAF_NoCritic vs AVL_NoCritic,130 vs 135,4.95 ± 0.23,4.92 ± 0.27,Mann-Whitney U,0.3733 nan,RAF_NoCritic higher (ns)
mistral:7b-instruct-v0.3-fp16,Climate_Change,Romance,RE,RAF_NoCritic vs AVL_NoCritic,130 vs 135,4.45 ± 0.49,4.43 ± 0.46,Mann-Whitney U,0.8271 nan,RAF_NoCritic higher (ns)
qwen3:14b-fp16,Climate_Change,Romance,RE,RAF_NoCritic vs AVL_NoCritic,130 vs 135,5.00 ± 0.00,5.00 ± 0.00,Mann-Whitney U,1.0000 nan,Tie (ns)
gemma3:12b-it-fp16,Climate_Change,Romance,RE,RAF_NoCritic vs RAF_Critic,130 vs 111,4.95 ± 0.23,4.91 ± 0.29,Mann-Whitney U,0.2753 nan,RAF_NoCritic higher (ns)
mistral:7b-instruct-v0.3-fp16,Climate_Change,Romance,RE,RAF_NoCritic vs RAF_Critic,130 vs 111,4.45 ± 0.49,4.52 ± 0.50,Mann-Whitney U,0.2869 nan,RAF_Critic higher (ns)
qwen3:14b-fp16,Climate_Change,Romance,RE,RAF_NoCritic vs RAF_Critic,130 vs 111,5.00 ± 0.00,5.00 ± 0.00,Mann-Whitney U,1.0000 nan,Tie (ns)
gemma3:12b-it-fp16,Climate_Change,Romance,CH,AVL_NoCritic vs AVL_Critic,135 vs 133,4.84 ± 0.36,4.87 ± 0.34,Mann-Whitney U,0.5168 nan,AVL_Critic higher (ns)
mistral:7b-instruct-v0.3-fp16,Climate_Change,Romance,CH,AVL_NoCritic vs AVL_Critic,135 vs 133,4.72 ± 1.04,4.79 ± 0.96,Mann-Whitney U,0.1826 nan,AVL_Critic higher (ns)
qwen3:14b-fp16,Climate_Change,Romance,CH,AVL_NoCritic vs AVL_Critic,135 vs 133,5.00 ± 0.00,5.00 ± 0.00,Mann-Whitney U,1.0000 nan,Tie (ns)
gemma3:12b-it-fp16,Climate_Change,Romance,CH,RAF_Critic vs AVL_Critic,111 vs 133,4.94 ± 0.24,4.87 ± 0.34,Mann-Whitney U,0.0918 nan,RAF_Critic higher (ns)
mistral:7b-instruct-v0.3-fp16,Climate_Change,Romance,CH,RAF_Critic vs AVL_Critic,111 vs 133,4.50 ± 1.50,4.79 ± 0.96,Mann-Whitney U,0.4458 nan,AVL_Critic higher (ns)
qwen3:14b-fp16,Climate_Change,Romance,CH,RAF_Critic vs AVL_Critic,111 vs 133,5.00 ± 0.00,5.00 ± 0.00,Mann-Whitney U,1.0000 nan,Tie (ns)
gemma3:12b-it-fp16,Climate_Change,Romance,CH,RAF_NoCritic vs AVL_NoCritic,130 vs 135,4.95 ± 0.21,4.84 ± 0.36,Mann-Whitney U,0.0033 **,RAF_NoCritic significantly better (*)
mistral:7b-instruct-v0.3-fp16,Climate_Change,Romance,CH,RAF_NoCritic vs AVL_NoCritic,130 vs 135,4.61 ± 1.34,4.72 ± 1.04,Mann-Whitney U,0.4602 nan,AVL_NoCritic higher (ns)
qwen3:14b-fp16,Climate_Change,Romance,CH,RAF_NoCritic vs AVL_NoCritic,130 vs 135,5.00 ± 0.00,5.00 ± 0.00,Mann-Whitney U,1.0000 nan,Tie (ns)
gemma3:12b-it-fp16,Climate_Change,Romance,CH,RAF_NoCritic vs RAF_Critic,130 vs 111,4.95 ± 0.21,4.94 ± 0.24,Mann-Whitney U,0.5649 nan,RAF_NoCritic higher (ns)
mistral:7b-instruct-v0.3-fp16,Climate_Change,Romance,CH,RAF_NoCritic vs RAF_Critic,130 vs 111,4.61 ± 1.34,4.50 ± 1.50,Mann-Whitney U,0.8285 nan,RAF_NoCritic higher (ns)
