Judge_Model,Theme,Metric,Comparison,N (A/B),Mean±SD (A),Mean±SD (B),Test_Type,Pairwise_p,Conclusion
gemma3:12b-it-fp16,Climate_Change,RE,AVL_NoCritic vs AVL_Critic,54 vs 54,4.98 ± 0.14,5.00 ± 0.00,Mann-Whitney U,0.3264 nan,AVL_Critic higher (ns)
mistral:7b-instruct-v0.3-fp16,Climate_Change,RE,AVL_NoCritic vs AVL_Critic,54 vs 54,4.81 ± 0.31,4.87 ± 0.29,Mann-Whitney U,0.2185 nan,AVL_Critic higher (ns)
qwen3:14b-fp16,Climate_Change,RE,AVL_NoCritic vs AVL_Critic,54 vs 54,5.00 ± 0.00,5.00 ± 0.00,Mann-Whitney U,1.0000 nan,Tie (ns)
gemma3:12b-it-fp16,Climate_Change,RE,RAF_Critic vs AVL_Critic,54 vs 54,4.98 ± 0.14,5.00 ± 0.00,Mann-Whitney U,0.3264 nan,AVL_Critic higher (ns)
mistral:7b-instruct-v0.3-fp16,Climate_Change,RE,RAF_Critic vs AVL_Critic,54 vs 54,4.64 ± 0.47,4.87 ± 0.29,Mann-Whitney U,0.0076 **,AVL_Critic significantly better (*)
qwen3:14b-fp16,Climate_Change,RE,RAF_Critic vs AVL_Critic,54 vs 54,5.00 ± 0.00,5.00 ± 0.00,Mann-Whitney U,1.0000 nan,Tie (ns)
gemma3:12b-it-fp16,Climate_Change,RE,RAF_NoCritic vs AVL_NoCritic,54 vs 54,5.00 ± 0.00,4.98 ± 0.14,Mann-Whitney U,0.3264 nan,RAF_NoCritic higher (ns)
mistral:7b-instruct-v0.3-fp16,Climate_Change,RE,RAF_NoCritic vs AVL_NoCritic,54 vs 54,4.71 ± 0.42,4.81 ± 0.31,Mann-Whitney U,0.3030 nan,AVL_NoCritic higher (ns)
qwen3:14b-fp16,Climate_Change,RE,RAF_NoCritic vs AVL_NoCritic,54 vs 54,5.00 ± 0.00,5.00 ± 0.00,Mann-Whitney U,1.0000 nan,Tie (ns)
gemma3:12b-it-fp16,Climate_Change,RE,RAF_NoCritic vs RAF_Critic,54 vs 54,5.00 ± 0.00,4.98 ± 0.14,Mann-Whitney U,0.3264 nan,RAF_NoCritic higher (ns)
mistral:7b-instruct-v0.3-fp16,Climate_Change,RE,RAF_NoCritic vs RAF_Critic,54 vs 54,4.71 ± 0.42,4.64 ± 0.47,Mann-Whitney U,0.4782 nan,RAF_NoCritic higher (ns)
qwen3:14b-fp16,Climate_Change,RE,RAF_NoCritic vs RAF_Critic,54 vs 54,5.00 ± 0.00,5.00 ± 0.00,Mann-Whitney U,1.0000 nan,Tie (ns)
gemma3:12b-it-fp16,Climate_Change,CH,AVL_NoCritic vs AVL_Critic,54 vs 54,4.87 ± 0.34,4.87 ± 0.34,Mann-Whitney U,1.0000 nan,Tie (ns)
mistral:7b-instruct-v0.3-fp16,Climate_Change,CH,AVL_NoCritic vs AVL_Critic,54 vs 54,4.56 ± 1.32,4.78 ± 0.96,Mann-Whitney U,0.1148 nan,AVL_Critic higher (ns)
qwen3:14b-fp16,Climate_Change,CH,AVL_NoCritic vs AVL_Critic,54 vs 54,5.00 ± 0.00,5.00 ± 0.00,Mann-Whitney U,1.0000 nan,Tie (ns)
gemma3:12b-it-fp16,Climate_Change,CH,RAF_Critic vs AVL_Critic,54 vs 54,4.93 ± 0.26,4.87 ± 0.34,Mann-Whitney U,0.3451 nan,RAF_Critic higher (ns)
mistral:7b-instruct-v0.3-fp16,Climate_Change,CH,RAF_Critic vs AVL_Critic,54 vs 54,4.72 ± 1.16,4.78 ± 0.96,Mann-Whitney U,0.5072 nan,AVL_Critic higher (ns)
qwen3:14b-fp16,Climate_Change,CH,RAF_Critic vs AVL_Critic,54 vs 54,5.00 ± 0.00,5.00 ± 0.00,Mann-Whitney U,1.0000 nan,Tie (ns)
gemma3:12b-it-fp16,Climate_Change,CH,RAF_NoCritic vs AVL_NoCritic,54 vs 54,4.96 ± 0.19,4.87 ± 0.34,Mann-Whitney U,0.0843 nan,RAF_NoCritic higher (ns)
mistral:7b-instruct-v0.3-fp16,Climate_Change,CH,RAF_NoCritic vs AVL_NoCritic,54 vs 54,4.98 ± 0.10,4.56 ± 1.32,Mann-Whitney U,0.0071 **,RAF_NoCritic significantly better (*)
qwen3:14b-fp16,Climate_Change,CH,RAF_NoCritic vs AVL_NoCritic,54 vs 54,5.00 ± 0.00,5.00 ± 0.00,Mann-Whitney U,1.0000 nan,Tie (ns)
gemma3:12b-it-fp16,Climate_Change,CH,RAF_NoCritic vs RAF_Critic,54 vs 54,4.96 ± 0.19,4.93 ± 0.26,Mann-Whitney U,0.4074 nan,RAF_NoCritic higher (ns)
mistral:7b-instruct-v0.3-fp16,Climate_Change,CH,RAF_NoCritic vs RAF_Critic,54 vs 54,4.98 ± 0.10,4.72 ± 1.16,Mann-Whitney U,0.6186 nan,RAF_NoCritic higher (ns)
qwen3:14b-fp16,Climate_Change,CH,RAF_NoCritic vs RAF_Critic,54 vs 54,5.00 ± 0.00,5.00 ± 0.00,Mann-Whitney U,1.0000 nan,Tie (ns)
gemma3:12b-it-fp16,Climate_Change,EM,AVL_NoCritic vs AVL_Critic,54 vs 54,4.59 ± 0.50,4.43 ± 0.50,Mann-Whitney U,0.0853 nan,AVL_NoCritic higher (ns)
mistral:7b-instruct-v0.3-fp16,Climate_Change,EM,AVL_NoCritic vs AVL_Critic,54 vs 54,4.24 ± 0.36,4.13 ± 0.29,Mann-Whitney U,0.0581 nan,AVL_NoCritic higher (ns)
qwen3:14b-fp16,Climate_Change,EM,AVL_NoCritic vs AVL_Critic,54 vs 54,5.00 ± 0.00,5.00 ± 0.00,Mann-Whitney U,1.0000 nan,Tie (ns)
gemma3:12b-it-fp16,Climate_Change,EM,RAF_Critic vs AVL_Critic,54 vs 54,4.33 ± 0.48,4.43 ± 0.50,Mann-Whitney U,0.3255 nan,AVL_Critic higher (ns)
mistral:7b-instruct-v0.3-fp16,Climate_Change,EM,RAF_Critic vs AVL_Critic,54 vs 54,4.05 ± 0.18,4.13 ± 0.29,Mann-Whitney U,0.0830 nan,AVL_Critic higher (ns)
qwen3:14b-fp16,Climate_Change,EM,RAF_Critic vs AVL_Critic,54 vs 54,5.00 ± 0.00,5.00 ± 0.00,Mann-Whitney U,1.0000 nan,Tie (ns)
gemma3:12b-it-fp16,Climate_Change,EM,RAF_NoCritic vs AVL_NoCritic,54 vs 54,4.20 ± 0.41,4.59 ± 0.50,Mann-Whitney U,<0.001 ***,AVL_NoCritic significantly better (*)
