Theme,Genre,Curve_Type,Novel (Case),RAF_NoCritic (Routes),RAF_Critic (Routes),AVL_NoCritic (Routes),AVL_Critic (Routes)
Climate_Change,Romance,Curve_1,World_Curve_1_Story_1,6,8,9,6
Climate_Change,Romance,Curve_1,World_Curve_1_Story_2,9,4,9,4
Climate_Change,Romance,Curve_1,World_Curve_1_Story_3,5,9,7,7
Climate_Change,Romance,Curve_2,World_Curve_2_Story_1,9,6,9,11
Climate_Change,Romance,Curve_2,World_Curve_2_Story_2,9,5,9,5
Climate_Change,Romance,Curve_2,World_Curve_2_Story_3,9,6,9,6
Climate_Change,Romance,Curve_3,World_Curve_3_Story_1,5,3,9,11
Climate_Change,Romance,Curve_3,World_Curve_3_Story_2,9,6,7,8
Climate_Change,Romance,Curve_3,World_Curve_3_Story_3,9,7,7,6
Climate_Change,Romance,Curve_4,World_Curve_4_Story_1,6,3,6,9
Climate_Change,Romance,Curve_4,World_Curve_4_Story_2,4,6,5,7
Climate_Change,Romance,Curve_4,World_Curve_4_Story_3,6,9,6,6
Climate_Change,Romance,Curve_5,World_Curve_5_Story_1,9,7,9,6
Climate_Change,Romance,Curve_5,World_Curve_5_Story_2,7,3,6,7
Climate_Change,Romance,Curve_5,World_Curve_5_Story_3,4,8,4,3
Climate_Change,Romance,Curve_6,World_Curve_6_Story_1,9,6,6,13
Climate_Change,Romance,Curve_6,World_Curve_6_Story_2,6,9,9,9
Climate_Change,Romance,Curve_6,World_Curve_6_Story_3,9,6,9,9
